# App module LOW-confidence upgrades
# Generated from decompiled.c analysis of 116 LOW-confidence "app" module entries
# Format: address	old_name	new_name	module	confidence	evidence
#
# === FreeRTOS Task Enumeration (0x4531-0x4542) ===
0x004531c4	app_callee_31c4	uxTaskGetSystemState	rtos.freertos	HIGH	iterates 0x38 ready lists + delayed + suspended + terminated via vTaskSuspendAll/xTaskResumeAll, fills 0x24-byte TaskStatus_t array
0x004539b4	app_callee_39b4	vTaskGetInfo_internal	rtos.freertos	HIGH	fills TaskStatus_t struct (0x24 bytes) from TCB: base priority, stack watermark, handle, state
0x00453a3c	app_callee_3a3c	prvListTasksWithinSingleList	rtos.freertos	HIGH	iterates FreeRTOS list, calls vTaskGetInfo_internal for each item, returns count
0x00453aac	app_callee_3aac	usTaskCheckFreeStackSpace	rtos.freertos	HIGH	counts consecutive 0xA5 (tskSTACK_FILL_BYTE) canary bytes, returns count>>2 = stack high watermark
0x004542b2	app_callee_42b2	pcTaskGetName_current	rtos.freertos	MEDIUM	returns *(pxCurrentTCB + 0x54) which is the task name pointer in TCB
0x004542ba	app_callee_42ba	pxTaskGetName_ptr	rtos.freertos	MEDIUM	returns pxCurrentTCB + 0x34 which is the name field offset in TCB
#
# === BLE WSF Event Post (0x4565) ===
0x004565e4	APP_callee_65e4	DmSecGeneralIndSend	ble.dm	MEDIUM	allocs 8-byte WSF msg, sets event=0x24, conn/params, posts via WsfMsgSend to handler
#
# === SMP DB Record Helpers (0x4731-0x473f) ===
0x0047313c	APP_callee_313c	appSmpDbIsRecordActive	ble.smpdb	MEDIUM	iterates 10 records (stride 200), checks +0x2f and +0x30 flags, returns 1 if match found
0x00473fa8	APP_callee_3fa8	appSmpDbSetSecLevelAll	ble.smpdb	MEDIUM	iterates 10 records (stride 200) or single record, writes param_2 to +0x84 (security level)
0x00473fca	APP_callee_3fca	appSmpDbGetDbPtr	ble.smpdb	MEDIUM	returns DAT_00474784 = pointer to SMP database global struct
0x00473fd8	APP_callee_3fd8	appSmpDbSetDbKeys	ble.smpdb	MEDIUM	copies 0x10 bytes (key data) to SMP DB struct if param_1 != 0
0x00473ff8	APP_neighbor_00473ff8	appSmpDbSetRecordFlag	ble.smpdb	MEDIUM	sets byte at record+0xC2 = param_2, single-field setter on SMP DB record
#
# === Ring Buffer / EasyLogger Stream (0x4761) ===
0x00476184	app_callee_6184	elog_stream_remaining_space	elog.stream	MEDIUM	checks buffer offset < 0x1195, calls FUN_004cd110 to compute remaining; returns 0 if full
0x0047619e	app_callee_619e	elog_stream_validate	elog.stream	MEDIUM	validates stream buffer state: checks magic, mode=1, size in [1..0x1194], compares computed hash
0x004761e0	app_neighbor_004761e0	elog_stream_reset	elog.stream	MEDIUM	clears buffer (memset 0x11ac bytes to 0), resets write pointer to 0
0x00476200	app_callee_6200	elog_stream_append_formatted	elog.stream	MEDIUM	appends formatted data to stream buffer via snprintf-like call, clamps to 0x1194 max
#
# === DM Connection / Slave UART Handlers (0x48b6-0x48b7) ===
0x0048b694	APP_callee_b694	dmConnSmProcessCredits	ble.dm	MEDIUM	iterates conn entries by handle, adjusts +0x18/+0x19 credit counters, calls flow control callback
0x0048b7e0	APP_callee_b7e0	dmConnSmIsSlaveReady	ble.dm	MEDIUM	returns bool from DAT+0x91 flag (slave connection readiness check)
#
# === Slave Eye Processing Helpers (0x495e-0x4968) ===
0x00495e08	APP_callee_5e08	slave_frame_extract_payload	app.slave	MEDIUM	if sync frame active, copies param_1+0x10 into destination via task handler
0x00496022	APP_callee_6022	slave_display_cmd_complete	app.slave	MEDIUM	calls slave_cmd_extract, invokes callback at +0x7c, then APP_evenhub_page_handler
0x00496046	APP_callee_6046	slave_display_cmd_init	app.slave	MEDIUM	calls FUN_0049db7c (disconnect check), then slave_cmd_reset, invokes callback
0x0049606c	APP_callee_606c	slave_cmd_extract_pipe	app.slave	MEDIUM	extracts pipe byte from *param_1 into param_2+4
0x00496072	APP_callee_6072	slave_cmd_reset	app.slave	MEDIUM	resets slave command state: clears pipe, descriptor, display lock, iterates 2 eyes
0x00496894	APP_callee_6894	slave_audio_route_cmd	app.slave	MEDIUM	routes audio command based on mode flag (0=coordinate copy, 1=direct dispatch)
0x0049db7c	APP_neighbor_0049db7c	slave_conn_disconnect_cleanup	app.slave	MEDIUM	checks connection flags, calls system_alert handler and SMP DB cleanup on disconnect
#
# === Protobuf / Nanopb Encode Helpers (0x4a29) ===
0x004a298c	app_callee_298c	pb_encode_svarint_zigzag	nanopb	HIGH	implements zigzag encoding: negative -> ~(val<<1), positive -> val<<1, then calls pb_encode varint
0x004a29ba	app_callee_29ba	pb_encode_fixed32	nanopb	HIGH	calls nanopb_process(param_1, param_2, 4) - writes 4-byte fixed-width field
0x004a29c4	app_callee_29c4	pb_encode_fixed64	nanopb	HIGH	calls nanopb_process(param_1, param_2, 8) - writes 8-byte fixed-width field
#
# === CRC32 Table-Driven (0x4cd1) ===
0x004cd144	app_callee_d144	crc32_compute	lib.crc	HIGH	table-driven CRC32 with inverted init (~*param_3) and final (~result), byte-by-byte via DAT_004cd17c lookup table
#
# === frexp wrapper (0x4cdca8) ===
0x004cdca8	app_helper_dca8	frexp_wrapper	compiler_rt	MEDIUM	calls frexp(), stores exponent in *param_1, returns mantissa
#
# === L2CAP Connection-Oriented Channel Management (0x4d1c-0x4d24) ===
0x004d1cc4	APP_callee_1cc4	l2cCocRegisterCid	ble.l2c	HIGH	finds empty slot (handle==-1) in 3-slot table (stride 0x1c), assigns handle and zeros state
0x004d1cf8	APP_callee_1cf8	l2cCocDeregisterCid	ble.l2c	HIGH	finds slot by handle, frees WSF buffers, resets handle to 0xFFFF, adjusts credit counter
0x004d1d4c	APP_neighbor_004d1d4c	l2cCocFindCidByHandle	ble.l2c	HIGH	searches 3-slot table for matching handle, returns slot pointer or 0
0x004d1d76	APP_neighbor_004d1d76	l2cCocFindActiveCid	ble.l2c	HIGH	searches 3-slot table for entry with valid handle AND active flag set
0x004d1da0	APP_callee_1da0	l2cCocRegisterCid_wrapper	ble.l2c	MEDIUM	thin wrapper calling l2cCocRegisterCid
0x004d1daa	APP_callee_1daa	l2cCocDeregisterCid_wrapper	ble.l2c	MEDIUM	thin wrapper calling l2cCocDeregisterCid
0x004d1e98	module_callee_0048B7C0	l2cCocDataSend	ble.l2c	MEDIUM	manages L2CAP credit flow: splits data if needed, writes handle bytes, calls l2cCocSendPacket
#
# === L2CAP PSM Registration (0x4d23-0x4d24) ===
0x004d23e4	APP_callee_23e4	l2cCocAddPsm	ble.l2c	HIGH	finds empty slot (-1) in 6-element PSM table, stores protocol/service multiplexer handle
0x004d240a	APP_callee_240a	l2cCocRemovePsm	ble.l2c	HIGH	finds matching PSM handle in 6-element table, sets slot to -1
#
# === ANCC Notification Config Parser (0x4d36) ===
