# Apollo opacity wave 1; research-only typed unavailable-provider boundary
entry	end_exclusive	envelope_bytes	corpus_body_bytes	body_sha256	role	disposition
0x005202EC	0x005223A2	8374	8300	95db31afd7f15370eb52a769548b4f649dd47b05e6c4c2fbfb69807955e9345d	graphics-command-renderer-root	typed-external-provider-unavailable
0x0052262E	0x0052264E	32	32	febf143780cb665d1db87e417928c93964d02b70166ab5d928ca1caaa72e5ab3	root-direct-state-leaf	typed-external-provider-unavailable
0x0052264E	0x0052266E	32	32	cc78612cbec66588bb12e0b4e47cb6177b72038d6232242f79ce29fceed80636	root-direct-state-leaf	typed-external-provider-unavailable
0x005226B2	0x005226D6	36	36	96431b0363591daf67017c7076be194ee48b524c1414eacd16e1604c1894caf9	root-direct-state-leaf	typed-external-provider-unavailable
0x005226E8	0x00522848	352	352	8f3348a5fb7af704e72d88d7e58cd81ee7cf28bdc89c878006545156da7d84ca	root-direct-command-builder	typed-external-provider-unavailable
0x005228B0	0x00522916	102	102	ca0c3c944a392ba1f48e08bd1955c286d515a6d63110d99eda4543678a95417d	root-direct-command-builder	typed-external-provider-unavailable
0x00522920	0x0052294C	44	44	3228442b34bcf52d54c8b7da3f0a264cb7711d247f9c739e07fd1b5900217be9	root-direct-state-leaf	typed-external-provider-unavailable
0x0052294C	0x00522956	10	10	f227809feced82f14acda32b25b32a161f27301314e02f04746458cb3e43d47d	root-direct-state-leaf	typed-external-provider-unavailable
0x00522956	0x00522960	10	10	13ce8f8c8e8f184901114f9b50d4fcba06ef1cfaa8f340af4e8a34d4bdf0ff10	root-direct-state-leaf	typed-external-provider-unavailable
0x00522A16	0x00522A20	10	10	1fa2df446335cccdbc67f68d7b33ca7095bf3226532b07fbba739948114a44eb	root-direct-state-leaf	typed-external-provider-unavailable
