# Ghidra call-like renderings of unsupported MVE/Helium operations; none is a machine-code branch
pseudo_identifier	occurrences	machine_branch_sites	classification	disposition	wave10_additional_function_bytes
0x00D2A29C	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x00D2A3C4	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x00D2A42C	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x00D2A554	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x00D2A60C	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x00D2A734	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x00D2A7E0	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x00D2A908	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x00D6926C	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x00D693FC	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x00D695DC	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x00D697B0	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x01169320	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x011694B0	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x01169690	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
0x01169864	1	0	ghidra-callother-artifact	not-a-static-call-boundary	0
