# Direct four-byte data cells referenced by the complete positive-byte closure; these add zero function-envelope bytes
address	size	bytes_hex	sha256	symbol	value_or_target	classification	consumers	wave11_additional_function_bytes
0x005AD760	4	6c09ffff	2eb1e6a5e01f597669e0825f7a45b9216b167ba55ac7147cd54fd8317441d780	DAT_005ad760	0xFFFF096C	source-owned-constant-or-table-pointer	0x005ACD86	0
0x005AD764	4	cccccc0c	d8861f701b8664b417a555e66c875209faebdec23ed4ab4a94c1b384bfed6490	DAT_005ad764	0x0CCCCCCC	source-owned-constant-or-table-pointer	0x005ACE10	0
0x005AD768	4	d4807400	8eaff16fdc0c740cbd0be262f918c2b4be94f6a5667dd3795f32f230eb895f11	DAT_005ad768	0x007480D4	source-owned-constant-or-table-pointer	0x005ACE10,0x005AD0DA	0
0x005AD76C	4	fc807400	061bb7db6796d0d83ba0eac0cd90464161e1b73f3a428d90741418a04553228b	DAT_005ad76c	0x007480FC	source-owned-constant-or-table-pointer	0x005AD0DA	0
0x005AD770	4	01000080	1f38e773e3b24875f3f5549c2a70dfd8d71019c46bc44ffb0e7fa38600020503	DAT_005ad770	0x80000001	source-owned-constant-or-table-pointer	0x005AD0DA	0
0x005AD774	4	0180ffff	0d769aef5769c6ab17b608793a1883450a40ce1104d1c53a589f76d76ffc9ad1	DAT_005ad774	0xFFFF8001	source-owned-constant-or-table-pointer	0x005AD0DA	0
0x005AE110	4	f0f16700	b63db0c650ce76417903a69ed2327793e6e76d5282115202fd272f2680cbc0d9	DAT_005ae110	0x0067F1F0	source-owned-constant-or-table-pointer	0x005AD564	0
0x005AEBE8	4	601c6c00	e18da29ba1eb21acc0b662d4e483c2b4cf04f22d27ef73f69921eae0d98608d3	PTR_DAT_005aebe8	0x006C1C60	source-owned-constant-or-table-pointer	0x005ADEF0	0
0x005AEBEC	4	b0936c00	70428813a9c44f60a4bc343692a608b3906cbb65976094a8ef81db6e1cb05a9f	PTR_DAT_005aebec	0x006C93B0	source-owned-constant-or-table-pointer	0x005ADEF0	0
0x005AEBF0	4	fc226d00	3f962a5511390224421abe88a7da7c7e5163cc713a6bef0b65ab1a1017965db7	PTR_DAT_005aebf0	0x006D22FC	source-owned-constant-or-table-pointer	0x005ADEF0	0
0x005AF418	4	50ff6b00	ca8e728295723d921f2e7b256441c5b193515e64806888d47b6ca5511278622e	DAT_005af418	0x006BFF50	source-owned-constant-or-table-pointer	0x005AE818	0
0x005AF41C	4	50016c00	634096cf892b553b66298e7fa2a9f6353ca5c7d4a07d6ed7c4f3d638c87f8e67	DAT_005af41c	0x006C0150	source-owned-constant-or-table-pointer	0x005AE818	0
