# Apollo opacity wave 11; residual-only static closure rooted at cff_face_init
entry	end_exclusive	envelope_bytes	corpus_body_bytes	body_sha256	closure_depth	symbol	module	source_path	provider_identity	license_status	disposition	evidence
0x005AF88C	0x005B0004	1912	1912	448e9d7671c724fe85f75a59274450975c44b3a30837b0082f9b247cd2c5a35c	0	cff_face_init	cff	g2/third_party/freetype/src/cff/cffobjs.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	postscript-cmaps|psaux|cff-load|Regular|Black literals and exact face initialization topology
0x0044B610	0x0044B63A	42	42	54f728bd5a2e5182930c90a30b127c9f6690dbdfbc727e781bf4ee3a7cbab045	1	strncmp	IAR-DLIB	unavailable	IAR-DLIB-proprietary-runtime	unavailable	typed-external-provider-unavailable	exact bounded three-argument string-prefix comparison; maintained provider source/config absent
0x00524754	0x005247C6	114	114	98edc082f57d31ac54c8292c67299f05a2bd5cc62622c453e1bdcbfe8abe5e89	1	FT_DivFix	base	g2/third_party/freetype/src/base/ftcalc.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	signed 16.16 division with 0x7fffffff saturation and ft_div64by32 path
0x00524820	0x005248AE	142	142	16f7326472c202dec0d28140d6e754c1163cad751a51be0f334d1b972675cac8	1	FT_Matrix_Multiply_Scaled	base	g2/third_party/freetype/src/base/ftcalc.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	eight FT_MulDiv terms over a 2x2 matrix with scaling shifted by 16
0x005248AE	0x00524902	84	84	1a4b67e74101f50eab048e173a2ace7c6c30226af189ab20f9eeb9dfe8c36b43	1	FT_Vector_Transform_Scaled	base	g2/third_party/freetype/src/base/ftcalc.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	four FT_MulDiv terms over vector and matrix with scaling shifted by 16
0x00527406	0x00527466	96	96	37c392f940a71ed71f282d5c6ce234594e69f75fcb33b2455858309e6216110b	1	ft_module_get_service	base	g2/third_party/freetype/src/base/ftobjs.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	module get_interface first then global module scan when requested
0x005ADC5E	0x005ADCC6	104	104	c0d94d581ba94a27631775de9aad1a0a46bfb3d1bf8cfe296a5364e50c3fad52	1	cff_index_get_name	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	index element access plus byte_len+1 allocation copy terminator and forget
0x005ADCDC	0x005ADD1A	62	62	e58aa906a38d0c8cf2ede4a1614cd1dd22df74d0b99dc9c14af491c1190cad65	1	cff_index_get_sid_string	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	0xffff missing SID 391 standard-string boundary and psnames callback
0x005AEE7C	0x005AF2D8	1116	1116	6211cc5064cbb2563178720075048c8c4904f745f228cd67f873fa96148cef04	1	cff_font_load	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	CFF/CFF2 indexes top dict vstore FDArray charset encoding and name load topology
0x005AF7B4	0x005AF7CC	24	24	e75ae217b3ce9117e9243622c71491dfe0557bf685bc72b3208b5f4d512721af	1	cff_strcpy	cff	g2/third_party/freetype/src/cff/cffobjs.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	FT_STRDUP wrapper with ignored error
