# Non-overlapping physical spans closing all direct data labels, pointer tables, and byte-exact upstream table targets; function-envelope overlaps add zero bytes
address	size	sha256	symbol	classification	consumers	within_selected_envelope	wave13_additional_function_bytes
0x00438BD0	32	19b1ee0c0b593f439261f08a9a04065582cc55fe1409e27072614365cff7041f	h4_q15	byte-exact-upstream-table	0x00438924	no	0
0x00438F9C	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0.0f	upstream-literal	0x00438EF0	no	0
0x00438FA0	16	5a0bf1bdfdbcdb4a171dd9d195b869a7cd9eb625b23b7901c404b1bb82dd8547	hp50-coefficients	upstream-literal-vector	0x00438504,0x00438BF0,0x00438D8A	no	0
0x00438FB0	4	457215fa110189b4038a7126d9f4751aba7be0a4a4785f64b1c0d775987525b2	PTR_h_32k_12k8_q15	upstream-table-pointer	0x00438504	no	0
0x00439350	16	afc5694db1a091c06bbade67f5e4eff60069f327e68d57f47f6d8b5990c1f100	pitch-detection-literals	upstream-literal-vector	0x00438FB8	yes	0
0x00439614	4	35c2b904d71646198c08e2d1ccff53400e0fa8a1e82612147078feef74491159	0.85f	upstream-literal	0x00438FB8	yes	0
0x00439668	24	313502c776617fd00087436d47962f885c99165afdcf0bf6c17e1a8c6a1dc4ae	pitch-and-h4-phase0-literals	upstream-literal-vector	0x00438FB8	no	0
0x00439680	28	fc5776a4b0c283604ef6af2c468262a2bf48898ce5d2192ed7eaba61bd12ac85	resample_12k8	seven-slot-thumb-dispatch-table	0x00438FB8	no	0
0x0043969C	12	2546a07e6da72c60193e7b4dc9358a24a9a31276937b49e5b6d34ee5ee75f0d4	activation-thresholds	upstream-literal-vector	0x00438FB8	no	0
0x004396A8	12	19745a6d9d64bb935be6fe1b91122d23d30f5e5be8d02e68386e37d9af08ce12	resampler-coefficient-pointers	upstream-table-pointer-vector	0x00438D8A,0x00438EBA,0x00438ED4	no	0
0x004396B4	4	e6c866107574748cb58806fae34fd588dc8bde1acdecd3fa9a557277d9ea9cfd	PTR_h4	upstream-table-pointer	0x00438EF0	no	0
0x006C1120	480	4299bd31c206504faf63bdb9378eb9b6ab8ad8fae665ce112876f2d537589b77	h_48k_12k8_q15	byte-exact-upstream-table	0x00438604	no	0
0x006C1300	480	92f907e922b615541d5202ff3e4ee71aff9634ae2ab6e3883bbec58ae3288ab6	h_24k_12k8_q15	byte-exact-upstream-table	0x00438EBA	no	0
0x006C14E0	480	f094553e3510e1513a79a5920c0d89909c6aa3c5f251e4b960c07ff717cfd170	h_96k_12k8_q15	byte-exact-upstream-table	0x00438ED4	no	0
0x006D2F98	160	6f42e5320cf66d9d608b6658c6ecd099fc5329390ba81deff3e5dcd738c89ad0	h_16k_12k8_q15	byte-exact-upstream-table	0x00438400	no	0
0x006D3038	160	8c901fab87771283b8cb947085d6753b5d6673e1cb2b24fcb100ca021c756fa8	h_32k_12k8_q15	byte-exact-upstream-table	0x00438504	no	0
0x006D30D8	160	064820ec718aa3c6a02a3675682612463c3e7eeafe17b89e65da326ff24e2b22	h_8k_12k8_q15	byte-exact-upstream-table	0x00438D8A	no	0
0x006D54D8	128	a611158615614a5cee3b048fbdb42f3c5bf59cc670c98bc803d00e687fe77124	h4	byte-exact-upstream-table	0x00438EF0	no	0
