# Apollo opacity wave 13; static plus resample_12k8[] indirect residual closure rooted at 0x00438FB8
entry	end_exclusive	envelope_bytes	corpus_body_bytes	body_sha256	closure_depth	edge_class	symbol	module	source_path	provider_identity	license_status	disposition	evidence
0x00438FB8	0x00439666	1710	1684	2c5a55fe1c184dd084ac2485fb66c66342f75d0e9c8022993c0342bf11c3ba9a	0	root	lc3_ltpf_analyse (+ inlined detect_pitch/refine_pitch/argmax helpers)	ltpf	g2/third_party/liblc3/src/ltpf.c	google-liblc3-v1.1.3-compatible-96a3af0beb5487aca3b98a4b992a539a1f6d80d1	Apache-2.0	source-attributed-compatible-baseline-research-only	exact resample/detect/refine/interpolate/activation topology and constants; generating private checkout remains unproven
0x00438770	0x004387B0	64	64	220ecc380c1ddd21a1d98d09755e023fde11f09832e2526db87a7fa71fb1d83a	1	static	dot	ltpf	g2/third_party/liblc3/src/ltpf.c	google-liblc3-v1.1.3-compatible-96a3af0beb5487aca3b98a4b992a539a1f6d80d1	Apache-2.0	source-attributed-compatible-baseline-research-only	sole LTPF caller; fixed Q6 int16 vector dot semantics with compiler-generated MVE
0x004387B0	0x00438924	372	372	919619bc7f661846144b5ca4cb6013a691ee6f30af74116246abfe1485f7d15c	1	static	correlate	ltpf	g2/third_party/liblc3/src/ltpf.c	google-liblc3-v1.1.3-compatible-96a3af0beb5487aca3b98a4b992a539a1f6d80d1	Apache-2.0	source-attributed-compatible-baseline-research-only	correlation vector over decrementing lag pointer; compiler-generated four-output MVE body
0x00438924	0x00438BCC	680	660	eb500840793c1dc3bef1455d7def0180c3a4ddfb7cc93182ae5b684786599990	1	static	interpolate	ltpf	g2/third_party/liblc3/src/ltpf.c	google-liblc3-v1.1.3-compatible-96a3af0beb5487aca3b98a4b992a539a1f6d80d1	Apache-2.0	source-attributed-compatible-baseline-research-only	byte-exact private h4_q15 table and exact four-phase Q15 recurrence
0x00438EF0	0x00438F98	168	168	d79737d5b66adb1b6fe7ba69f352877af00b4d32405f8c528ca2cc08701f4da0	1	static	interpolate_corr	ltpf	g2/third_party/liblc3/src/ltpf.c	google-liblc3-v1.1.3-compatible-96a3af0beb5487aca3b98a4b992a539a1f6d80d1	Apache-2.0	source-attributed-compatible-baseline-research-only	byte-exact 4x8 float table and exact signed-phase interpolation topology
0x00439710	0x004397A6	0	150	31caf15ad676c4a99eace5673e1fe46b818b64d901707c461074e8acc5474b28	1	static	memmove	IAR-DLIB	unavailable	IAR-DLIB-proprietary-runtime	unavailable	prior-reconciled-zero-opaque	shared compiler runtime body already carries zero official opaque bytes
0x00438D8A	0x00438EBA	304	304	677874d7d1245de19846dcbf5cd201b8b9d9dc1fe0f053ecfedf6a2ef89e2e3e	1	indirect-dispatch	resample_8k_12k8	ltpf	g2/third_party/liblc3/src/ltpf.c	google-liblc3-v1.1.3-compatible-96a3af0beb5487aca3b98a4b992a539a1f6d80d1	Apache-2.0	source-attributed-compatible-baseline-research-only	dispatch slot 8K plus byte-exact h_8k_12k8_q15 table and HP50 recurrence
0x00438504	0x00438604	256	256	541e4f2a0d4f1d1b0228bbb36f51fed3e8b71bed96c6de0d72fe302adbb96c72	1	indirect-dispatch	resample_32k_12k8	ltpf	g2/third_party/liblc3/src/ltpf.c	google-liblc3-v1.1.3-compatible-96a3af0beb5487aca3b98a4b992a539a1f6d80d1	Apache-2.0	source-attributed-compatible-baseline-research-only	dispatch slot 32K plus byte-exact h_32k_12k8_q15 table and compiler-generated MVE
0x00438EBA	0x00438ED4	26	26	d0bfd86e8f92aa82cea732907d6b520c1e8c9dd3e003699674a7dc589b7a4c14	1	indirect-dispatch	resample_24k_12k8	ltpf	g2/third_party/liblc3/src/ltpf.c	google-liblc3-v1.1.3-compatible-96a3af0beb5487aca3b98a4b992a539a1f6d80d1	Apache-2.0	source-attributed-compatible-baseline-research-only	26-byte wrapper fixes p=8 and byte-exact h_24k_12k8_q15 table
0x00438ED4	0x00438EEE	26	26	c45eeeca763dfae144bac82363fc95f147b83516412859136e8769cc84d287f1	1	indirect-dispatch	resample_96k_12k8	ltpf	g2/third_party/liblc3/src/ltpf.c	google-liblc3-v1.1.3-compatible-96a3af0beb5487aca3b98a4b992a539a1f6d80d1	Apache-2.0	source-attributed-compatible-baseline-research-only	26-byte wrapper fixes p=2 and byte-exact h_96k_12k8_q15 table
0x00438BF0	0x00438D8A	410	410	76a5ed3dd617517bdd054156e15c947b982745ffcfec80675151b89baa7ccb7e	2	static-from-indirect	resample_x192k_12k8	ltpf	g2/third_party/liblc3/src/ltpf.c	google-liblc3-v1.1.3-compatible-96a3af0beb5487aca3b98a4b992a539a1f6d80d1	Apache-2.0	source-attributed-compatible-baseline-research-only	shared 15-tap phase loop called by the 24K and 96K wrappers
