# Apollo opacity wave 3; research-only full unresolved call closure
entry	end_exclusive	envelope_bytes	corpus_body_bytes	body_sha256	closure_depth	role	disposition
0x00517E18	0x00519280	5224	5170	6dc530a49a2708b76b2d07accb0c43dd7f79b64c29fa46ee8083cd3da6408370	0	vector-path-command-interpreter-root	typed-external-provider-unavailable
0x005177A4	0x00517850	172	172	09fab9518945ffdf3e8644d137a1b0464660a97459426c64e9370a7757aaeb2e	1	root-direct-vector-geometry-leaf	typed-external-provider-unavailable
0x0051785C	0x005179D0	372	372	996bc50f76c32ab90a0e522a24122f3c6cceebf7bcfe5372baee39fee74b9f6a	1	root-direct-vector-geometry-leaf	typed-external-provider-unavailable
0x00522622	0x0052262E	12	12	1cd7d7e0efeb722f8bafd7a39fd68edc0f96241cb8317c20c81362b1301064f2	1	root-direct-command-state-leaf	typed-external-provider-unavailable
0x00522F50	0x00522FB4	100	100	4d1d7c8496a4711553aebdaf916df218f2ee4389f9ff1c2fb05f0783199dfe23	1	root-direct-vector-geometry-leaf	typed-external-provider-unavailable
0x00522FB4	0x00523280	716	716	f3eb7d43880d4c3f318d95339e3bc95d78ce4a6dc9941a0ffa21fe5a0694ab47	1	root-direct-command-record-builder	typed-external-provider-unavailable
0x00523284	0x005232C2	62	62	1a9c120174b97a5dcefa1305de4452c0ea611407d7a5ef8e1a60959e55786429	1	root-direct-command-wrapper	typed-external-provider-unavailable
0x00524218	0x00524258	64	64	c0197264d2b600e455097d534a68ad28d774c60e68f8a850a13f52f1fbcf17f1	1	root-direct-scalar-math-leaf	typed-external-provider-unavailable
0x00514D2C	0x00514D92	102	102	9d168de3d061b1341db50849ba8162c226ce49d7622d3d23557961b46a787020	2	closure-command-storage-helper	typed-external-provider-unavailable
0x005242CC	0x005242E2	22	22	4077cb0139505930ac63ea7f27b5fce9732ef372925d8a247f9da18d445328ba	2	closure-scalar-state-leaf	typed-external-provider-unavailable
0x00514504	0x005147B0	684	684	f93c897c48573e17a793ef8bfd015d52150e53812bc0fddd9492558bf8e61af7	3	closure-command-storage-coordinator	typed-external-provider-unavailable
0x00514070	0x005140C6	86	86	d9beae1fc551852d210f2cb11e3bd58e873e219da4092e9dd74f3184b0a99dd4	4	closure-buffer-provider-helper	typed-external-provider-unavailable
0x0051416C	0x00514178	12	12	888b1d4507fb20a1b9d9d9a3bb7dc8b40c330c690bd0df172e4367219dc2aa77	4	closure-allocation-facade	typed-external-provider-unavailable
0x00514178	0x00514184	12	12	6bc561ef9feaf8c8f327bb904b93da1a391b244ea3321319207f26b0c1b786c4	4	closure-release-facade	typed-external-provider-unavailable
0x00514050	0x00514070	32	32	9ea14c05d38180b70a4375535ad95003861ad83728c38133641b5ed3964a26e3	5	closure-buffer-state-leaf	typed-external-provider-unavailable
