# Apollo opacity wave 4; positive-opaque closure rows
entry	end_exclusive	envelope_bytes	corpus_body_bytes	body_sha256	closure_depth	role	provider_identity	license_status	disposition
0x0043A698	0x0043BA6C	5076	4952	301ca2b8bbbe07bc5ceda41d9234c3b6b953372cc6b19367eb76a8e4610c7e11	0	orientation-calibration-numerical-root	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x00439CE0	0x00439E7E	414	414	4aac05ddd121150afde1c527fbd3dbfc0a97cb3e4be538198383572d1d685e52	1	numerical-closure-helper	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x00439E90	0x00439E9C	12	12	6f346ef9c2e2f8e361b9c3e090cf7f8fc194b23dfda2a233baeec822a94026f9	1	numerical-copy-facade	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x00439E9C	0x00439EFC	96	96	99c13fff7dbb002a4916693cfeb66c4a5dc95184afae4f457d94cd099028a376	1	numerical-closure-helper	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x00439EFC	0x00439F24	40	40	1ab10543294b0387fe944447b77c0f56d78db95e8032c8c24f63eccf8e3116f7	1	numerical-leaf	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x00439F24	0x00439F86	98	98	f17d7e6e816cb4af3dbe13ab0e1c96d0977b60962d71b51b3af8b7031702bd6c	1	numerical-closure-helper	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x00439F88	0x00439FB4	44	44	b52cab9d9bda2ed98cc548c755e5fb877844011709926c371de1721ef9b09922	1	numerical-leaf	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x00439FB4	0x00439FE4	48	48	faf22290dcef45e5b4841067180972213d66a9d32bf062b18a01fe6bd18020c5	1	numerical-leaf	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x00439FE4	0x0043A0EE	266	266	f91ec9ce03d64317ef0fcc1b8cf87db9437c5fcde4ddcd2658b289f0596a9519	1	numerical-closure-helper	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x0043A0F4	0x0043A10E	26	26	d709bf2348b65012a420c3ea108c30d266dbf26b7ea3c6fc7c2f11602480e858	1	numerical-dispatch-helper	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x0043A110	0x0043A11E	14	14	aea8784b66f355be4df946b1dc5801da1265391e1f37497bb51352ff7ffcf145	1	numerical-state-leaf	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x0043A5DC	0x0043A690	180	180	e6c24e45d7b55e023a349aabc2de035c63a1e3b85670e37a7f80e1134b68bc4a	1	numerical-closure-helper	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x0043BA6C	0x0043BA96	42	42	3790fd9ea5bf31db3c5a55e3c20204e524f621f721d8ce1d3d850079b4aad8a1	1	numerical-state-leaf	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x0043BA98	0x0043C08E	1526	276	7b4b38522a01117fd89ea74441d7ad4a0ea9e5f042044d74911a03cd47e2b22f	1	overlapping-numerical-helper-envelope	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x0043A19C	0x0043A1B0	20	20	5dd89c8cd4e82e68ba7815fd537ec87765005b07b3de4c8b312227dc53b93610	2	numerical-leaf	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x0043A5A0	0x0043A5B0	16	16	da866fc4fccf0259dd93fd26bc7447b0f0335ec8275f5cd31b4849a8f6de046b	2	numerical-wrapper	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x0043C0B0	0x0043C0E4	52	52	f477d157e5470add8ec143ce6102542cd5c77ef7e185f09bbd80f3113d6b813d	2	floating-point-range-leaf	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x0043C0E4	0x0043C0EC	8	8	d228ee6e554e7763e9cd764cd9f07d3074feac13e9fd05250611ffa1079041fc	2	memory-fill-entry	IAR-DLIB-memset-family	proprietary-source-unavailable	typed-external-iar-dlib-source-unavailable
0x0043A5B0	0x0043A5DC	44	44	ba53107c41d7b78d37fea9f4c52330599640f8dab9d4be1bc94e05c8c932d234	3	numerical-leaf	unresolved-linked-algorithm-behind-first-party-seam	unavailable	typed-external-provider-unavailable
0x0043C0EC	0x0043C14A	94	94	de6af19826a3eebd3415d6f983375b833af22ec7667f9cbbde6cc35b00c6bf5b	3	memory-fill-continuation	IAR-DLIB-memset-family	proprietary-source-unavailable	typed-external-iar-dlib-source-unavailable
