# Apollo opacity wave 8; complete positive-byte actionable closure rooted at 0x005A8D06
entry	end_exclusive	envelope_bytes	corpus_body_bytes	body_sha256	closure_depth	role	provider_identity	license_status	disposition	source_path
0x005A8D06	0x005A9628	2338	2338	14658ddc90fe22fb9452ca421abbc3e56c0585cf6f7b2bb6476c551bb1f4b8a9	0	unicode-script-glyph-fit-coordinator	unresolved-product-font-sequence-provider	unavailable	typed-external-provider-unavailable	-
0x00525574	0x00525832	702	702	60a92bbfdbdd17fbb95e9209d7a5fd50143e2176d58bfd6d92bbb6adaa740623	1	FT_Load_Glyph	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftobjs.c
0x005A6260	0x005A62A2	66	66	162b8ca37f50932c9bcb69ecfe10d401b02dddd52a0f9dbd8a11185a912e7332	1	integer-pointer-insertion-sort	unresolved-product-font-sequence-provider	unavailable	typed-external-provider-unavailable	-
0x005A8C8A	0x005A8D06	124	124	5892d4adc3635b84097b55b7e822ededbd907c2407605da111a2552575463033	1	glyph-record-insertion-sort	unresolved-product-font-sequence-provider	unavailable	typed-external-provider-unavailable	-
0x005ABA26	0x005ABA34	14	14	f59f09061fac22047476c72d60d9258dd0c77885f5d3f024356460ff503d1619	1	four-byte-scratch-allocation-wrapper	unresolved-product-font-sequence-provider	unavailable	typed-external-provider-unavailable	-
0x005ABA34	0x005ABA40	12	12	06d186fd3143cbfbf6454edb6f59afd74349aa907192ba3495872a64f528c4d0	1	scratch-allocation-free-wrapper	unresolved-product-font-sequence-provider	unavailable	typed-external-provider-unavailable	-
0x005ABA40	0x005ABAF8	184	184	744a1cb965f65713545fdfc82559c92e94876573bbdf95d179de549897cd2d09	1	utf8-first-scalar-token-decoder	unresolved-product-font-sequence-provider	unavailable	typed-external-provider-unavailable	-
0x005ABAF8	0x005ABB1C	36	36	33c531945a0a48c5f9f501dd84ebb41eb3e3de775e603d6494390419b9e8eed1	1	glyph-advance-query-wrapper	unresolved-product-font-sequence-provider	unavailable	typed-external-provider-unavailable	-
0x0044B63A	0x0044B666	44	44	3807c4da8b7f2aa7353295d2d625cc6c982739c1fddfc99f99e68711d2166cc5	2	strstr-compatible-runtime-helper	IAR-DLIB-family-exact-release-unavailable	proprietary-runtime-source-unavailable	typed-external-provider-unavailable	-
0x00524398	0x00524412	122	122	1b42ba7838059cf31a650e3915415876ce347ef1ea33e6cd8a242fee19beef5d	2	FT_Get_Advance	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftadvanc.c
