# Complete terminal call frontier; all rows were classified before wave 9 and add zero wave-9 bytes
entry	classification	role	source_wave	provider_identity	license_status	disposition	wave9_additional_function_bytes
0x004397A8	existing-iar-source-recreated	sqrtf	IAR-runtime	openCFW-clean-room-runtime	MIT	prior-source-recreated	0
0x0050968C	existing-parent-first-party	cosf-compatible-math-entry	parent-census	unresolved-first-party-math-provider	unavailable	parent-first-party-reconciled	0
0x00509690	existing-parent-first-party	sinf-compatible-shared-interior-entry	parent-census	unresolved-first-party-math-provider	unavailable	parent-first-party-reconciled	0
0x0050969C	existing-parent-first-party	atan2f-compatible-math-entry	parent-census	unresolved-first-party-math-provider	unavailable	parent-first-party-reconciled	0
0x00514AEC	prior-typed	command-record-allocation-helper	apollo-opacity-wave2	unresolved-linked-vector-path-provider	unavailable	prior-typed-external-provider-unavailable	0
0x0051565C	prior-typed	state-bit-helper	apollo-opacity-wave2	unresolved-linked-vector-path-provider	unavailable	prior-typed-external-provider-unavailable	0
0x00516B34	prior-typed	command-record-builder	apollo-opacity-wave2	unresolved-linked-vector-path-provider	unavailable	prior-typed-external-provider-unavailable	0
0x005179D0	prior-typed	vector-geometry-helper	apollo-opacity-wave2	unresolved-linked-vector-path-provider	unavailable	prior-typed-external-provider-unavailable	0
0x00517E18	prior-typed	vector-path-command-interpreter	apollo-opacity-wave3	unresolved-linked-vector-path-provider	unavailable	prior-typed-external-provider-unavailable	0
0x0052266E	prior-typed	command-state-mask-helper	apollo-opacity-wave2	unresolved-linked-vector-path-provider	unavailable	prior-typed-external-provider-unavailable	0
0x005226B2	prior-typed	state-leaf	apollo-opacity-wave1	unresolved-linked-vector-path-provider	unavailable	prior-typed-external-provider-unavailable	0
