command	handler_stock_start	handler_ordinal	decompilation_sha256
0x01	0x0056FC0C	7	74e3d82b1ecb183604778f2cadd347e20d205c00fba4673d30db9d521dca299d
0x05	0x0057293C	27	d3a398807079eb9c68f4095a4c6c8027ffbec9ca7be66aaae2e37b21a969b654
0x06	0x00572A34	28	8929ab58824aabad52d952635f41f67a24e8e124db0384955bef69703831021b
0x07	0x00572AF0	29	9433ce14ab25b3cc4f039ba83d8be59f2d696956a86fc1d7d401ca906b1d8189
0x08	0x00572BA0	30	e4a05620e7aacdb6be1850d437e42b65e32044c17d34bfa5b320895ad724ef43
0x0B	0x0056FFC4	9	e88a933d19e1802a8662a1285576194d832e96121c3f55f2ee4ba68853d31454
0x11	0x0056FDB4	8	44a0c0225771e68482f89a6deaef965449912f018ef1ad2931b4efc6f09061c8
0x13	0x00570780	13	61eab22468ae081dd8d56d061a27f55bb5f19bb8da778a7df358545b102a9697
0x17	0x005709C4	14	4444a88836efd4490e61ce7310646dcaf2c65f9231ed95e961b715cf91f116b7
0x18	0x00570D40	16	859ee7cc3ef03c5611b4af36719248d25e2c791286b87e37e4f5481b04ba2b84
0x19	0x00571064	17	4dd842867b4964e11855c75c249e1dc894137992112ff6cfee95c13a704513ac
0x1A	0x005713D8	18	048d531935c8459c5acf7d960c60c1020189463acc42b717ef338e5492238fe5
0x1B	0x0057200C	21	89d1f46ebd2ca52410abab726ae471d7051e25b4913f459606c75d42bd1ea0b3
0x1C	0x00570570	12	0e3022cf2790008ebe4ee7a3bb7067e90aeb63dab028e9264282022e7efdc9e7
0x20	0x00571CD4	19	06a28d5faa7f6b238bb6d12416b8b48afe3eee5fd8531f8f17f05944d1eab820
0x22	0x00571E44	20	47e9941dfe8a24e2b1eda2efb0785cef4a26f4aaf4e2711a0c601ff17b3e1202
0x24	0x005726F0	25	c4cdc1076e9d088e1837f51b74ae64cf649052ed70b99b51a0a2798e751daed0
0x25	0x00572858	26	a977c96ba642841231e50be19853eae50d99aa178c695f7027b49867bdf184c6
0x26	0x0057222C	22	5b4c6fe0fe5e1814956d0566c655ed2fdfce538cb624e399829939fd7972c101
0x29	0x00572394	23	2f0d72fb2ec64d7ebd1caa32d118198bc8dc67be9de7348857526746a42ea0f8
0x2A	0x00572C64	31	b2d0ffed67fadff137c650adcf509063c1faa97a0f9e93f43e90e544f4c1fed5
0x2D	0x00570210	10	7c9f6a1d082b73c3e7689431c3f609a091225a1039aee4bbe585039cf3750da1
0x2E	0x00570B60	15	3f4dd7666098058e02a44bcadb62d0916cf2c2266a9be55321eba8f50b7cb23d
0x30	0x005724F4	24	bf2627b0b4bc3d9a6282f2c26073f48b23ded68f0f096e86e5e6a769dc736c32
0x31	0x0057303C	32	bbdd35c6e9103fbc7bd701aea7faf91f990167dc9bc558565ffed72fe272e182
0x35	0x0057320C	33	5c7fe5783a40bbbc5594db26beb4dc6f44a296719dae97440bb43275ed3f7d78
0x38	0x00573310	34	c8a7d9be5656889cc8c5d2d33fb5e576fab3939eb47958c4f2b84c5953f1cce0
0x39	0x005734CC	35	b22963422b0219e80a08f447bde8da0c403aa20d5cd030e2c507a45936b8d5fa
0x3A	0x00573604	36	0450efb9d4b00a305b8d31736a1e6e3d9fa2f25b24e09c6eb1a6c94106bd7003
0x3D	0x005738D0	37	c5458f43986c26a5b1890ca1c269919d58e1b633365ce474e7ab33d2eed60bb6
0x3E	0x00573C58	38	eb8ffe1f8f80a89754df011c3745c7378b55bf9eaf2701008a5618c1cd90329c
0x42	0x00573F88	39	fc95302484eae3a6f478b4ef0024e5688b739067a8f0bb615e463418d5951df6
0x43	0x005741E0	40	203fe9a26701c37657d633617724902926ed7f776c2ab49211c14004d4b9213b
0x44	0x00574464	41	6278f7ed51731d8c98d9b5c275a7f4105051733fb11dc77778d43bf291584c22
0x45	0x00570438	11	d02e89de59c34a30929fedd1a3daf2a2328aafcaf5906a1a98ed2b6b16e773be
0x46	0x00574580	42	5cce074436c8938acc1171d9818980c58ba14a77949e1aa218db571e872c40da
0x47	0x00574808	43	106aa3b9b410f0aae5ed1c2371bbf7feb8f6216e1825bfe714ba5673f956272e
0x48	0x00574F60	44	d71d9e7cfe6ba212c2c61257d6c3cd869e6a8cd24659c546b1dcc380ca73c7a1
0x49	0x0057522C	45	af27d32501b360b79dbf8db5c7802b25d235e7131220e619054acbf606e2bf1e
0x52	0x00575470	48	a7a8620b56efccad6558da47f8a7bbbc56295340cd463501af5d086711f6dcab
0x53	0x00575548	49	a6fad2fcaf5795880a78bd2a08f29856599f453d1d74fe76ca547e4733e88acf
0x54	0x00575708	50	8cd10de0e951024e28659c02834b8aba58d69191699f8d361061aba15cc9d9f8
0x55	0x005759FC	51	334b2350ea2884456912827d7f8c3130a34050194d80a4b9dd3775660308e2b3
0x57	0x0057536C	46	d9d902d7a5cb846d2a4fc7bd39d5c076445891939a7e47912f89f9fac1bc5190
0x58	0x00575AF8	52	9f65a52f1928bf0f0c3a1c5e6c36f7b1bd30efce5bb072349ca002d7df2576e9
0x59	0x00575EB4	53	44a7da9978e1c945a579a87559d7958cf0ea007cff257b5b70692698299bfa1f
0x5A	0x0057612C	54	376f19b9d6fb668533784fe2b2b4d7fc805014aa35f950493f3bb0b25f9c4714
0x5B	0x00576518	55	15cf6a7d57dad70b31a029c3e2f7745e0dc29704e3cdded682fb3501c1cefb27
0x60	0x00576714	56	ca4e99836af2816ddecf773d5a20a7feb75233232ce2d19307daefafa9847247
0x61	0x00576800	57	27f859dc681b4de781485b924006bf2aab61c259901704aaa0a4f8cee310d23e
0x62	0x005768C8	58	1fe4e168253dca00a97ff5d0a44d085d6161cb75581d98dda682967f6d7a4575
0x63	0x00576A54	59	05ed3e8a7821b25db2b6272622606cf140da40811ee8a9cc1e2e4b5c5e4d2406
0x64	0x00576BD4	60	6030f8d20bdb9fe02d3fd5ff692cbe8ad1f6648e312a3ede7e90eb6227e50512
0x65	0x00576D48	61	5d227fd04d0777198406537f13157658101866f829ce004701842c67f95f6467
0x66	0x00576DF8	62	d11ea62e9b1f1c2dd2a5676729d00eeda21ba4f05e4e6b55aa54a5b4568233a5
0x67	0x00576FD0	63	c4353568d8edbb0ff482702f5651d00596fd9ec419000cb8926e02646143b99f
0x69	0x005770CC	64	6191ab09c941983d30cd860d85b23192d0f365e3bd6f7128473826f25840c7ec
0x6A	0x005771D4	65	77f64f70fe23c8bcd78221e3e20da9b585b7f2de703f77ee607cf4349987e8ae
0x6B	0x00577364	66	0af47170c2e574b1ccfba5da264d233ac71af31bf55ef22dbaf3e56476af5a3f
0x6C	0x0057747C	67	75cc988d2b1d57752893b79439e4e26f3fdad5a0b19c78e070769a190ee1dd2c
0x6D	0x0057757C	68	eda84fd8cc6c3c10d070aa80c095bc5bd6b7c331776536b21aa2783e1b0d8b54
0x6E	0x00577678	69	62cefb353446cb35886786606439d6e44647dedf5ca3e769b9f8332635925132
0x74	0x00577794	70	e03b6d1aea0757f39aa32e6b89edc7a38c0a685ae7f5de174b6addfc8f1caa85
0x75	0x005778D4	71	2a431530b28969fd066ee5ca6f18bd6cd03c8377e7ba38fc7f36d0d74844f2b7
0x77	0x005779E0	72	30a6366992a41df9cf72b128ed1617d85e7ff9b81acc076d8268d5740d6f0f01
0xF3	0x00577AFC	73	3c8d75d0c832ce36aaae218b948338cac2894767b78c137266c41ae7a22336d6
