# SPDX-License-Identifier: MIT
caller	callee	callee_in_frontier
0x08000270	0x0800A24A	true
0x08000270	0x0800A598	false
0x08000310	0x0800A176	true
0x08000310	0x0800A19A	true
0x08000310	0x0800A24A	true
0x08000310	0x0800A2C4	true
0x08000310	0x0800A310	true
0x08000310	0x0800B5D6	true
0x08000310	0x0800C412	true
0x08000310	0x0800C43C	true
0x080004C0	0x0800A176	true
0x080004C0	0x0800A19A	true
0x080004C0	0x0800A24A	true
0x080004C0	0x0800A2C4	true
0x080004C0	0x0800A310	true
0x080004C0	0x0800B5D6	true
0x080004C0	0x0800C412	true
0x080004C0	0x0800C43C	true
0x08000610	0x0800A19A	true
0x08000610	0x0800A24A	true
0x08000610	0x0800A2C4	true
0x08000610	0x0800A310	true
0x08000610	0x0800C412	true
0x08000610	0x0800C43C	true
0x080006C4	0x08004330	false
0x080006D4	0x08004EAC	true
0x080006D4	0x0800678A	true
0x08000734	0x08004EAC	true
0x08000734	0x0800677A	true
0x080007A8	0x08000160	false
0x080007A8	0x08004EAC	true
0x080007A8	0x0800677A	true
0x08002888	0x080001E6	false
0x08002888	0x08004D30	false
0x08002888	0x0800A4DC	true
0x080028B4	0x0800A3D2	true
0x080028B4	0x0800A414	true
0x080028B4	0x0800A436	true
0x080028B4	0x0800A46C	true
0x080028B4	0x0800A4B4	true
0x080028B4	0x0800A4DC	true
0x080028B4	0x0800A4FA	true
0x0800292C	0x0800A3D2	true
0x0800292C	0x0800A414	true
0x0800292C	0x0800A436	true
0x0800292C	0x0800A46C	true
0x0800292C	0x0800A4B4	true
0x0800292C	0x0800A4DC	true
0x0800292C	0x0800A4FA	true
0x080029A4	0x0800A46C	true
0x080029A4	0x0800A4B4	true
0x080029A4	0x0800A4DC	true
0x080029A4	0x0800A4FA	true
0x08002A00	0x0800A46C	true
0x08002A00	0x0800A4B4	true
0x08002A00	0x0800A4DC	true
0x08002A00	0x0800A4FA	true
0x08002B40	0x080039C8	false
0x08002EDC	0x08000160	false
0x08002EDC	0x08004328	true
0x08002EDC	0x08004710	true
0x08002EDC	0x080047D4	false
0x08002EDC	0x0800483C	true
0x08002F28	0x080035B8	true
0x08002F46	0x08004A00	true
0x080035B8	0x080028B4	true
0x080035F0	0x080039E4	false
0x080035F0	0x08004958	true
0x08003656	0x080039C8	false
0x080038A0	0x08004958	true
0x080038A0	0x08006B80	false
0x080038A0	0x08006B98	false
0x08003A30	0x08003A3C	false
0x08003A30	0x08003A60	false
0x08003BB0	0x080066AC	true
0x08003F6C	0x08004EAC	true
0x08003FD0	0x08000160	false
0x08003FD0	0x08000734	true
0x08003FD0	0x08004EAC	true
0x08003FD0	0x08006782	true
0x08004100	0x08000160	false
0x08004100	0x0800678A	true
0x08004100	0x080067A2	true
0x080046A4	0x080001E6	false
0x080046A4	0x08004D30	false
0x080046A4	0x0800500C	true
0x080046A4	0x08005024	true
0x08004710	0x08004EAC	true
0x08004710	0x0800678A	true
0x08004710	0x08006792	true
0x0800483C	0x080006D4	true
0x0800483C	0x08000734	true
0x08004958	0x08004EAC	true
0x0800497C	0x08003E94	true
0x0800497C	0x08003EEC	true
0x0800497C	0x08003F6C	true
0x08004A00	0x08003EA8	true
0x08004A00	0x08003EC0	true
0x08004B94	0x08003F1C	true
0x08004B94	0x08003F38	true
0x08004B94	0x08003F6C	true
0x08004D04	0x08004D00	true
0x08004D04	0x08004D2C	true
0x08004EEC	0x08004F14	true
0x08004EEC	0x08004FB0	true
0x08004F14	0x08000160	false
0x08004F14	0x0800500C	true
0x08004F14	0x08005024	true
0x08004F14	0x0800543C	true
0x08004F14	0x08005474	true
0x08004F14	0x08005BDA	true
0x08004F14	0x08005C28	true
0x08004FB0	0x08005024	true
0x08004FB0	0x08005BC0	false
0x08005024	0x080091AC	true
0x08005048	0x08000160	false
0x080052E4	0x08004EAC	true
0x080052E4	0x08004F14	true
0x080052E4	0x0800549C	true
0x0800549C	0x08000160	false
0x08005528	0x08000160	false
0x08005528	0x08004EAC	true
0x08005528	0x08004F14	true
0x08005910	0x08004EAC	true
0x08005A52	0x08005A50	true
0x08005A74	0x08005B24	true
0x08005A74	0x08006D72	true
0x08005A74	0x08006DB8	true
0x08005B24	0x080001E6	false
0x08005B24	0x08003E90	true
0x08005B24	0x0800500C	true
0x08005B24	0x08005024	true
0x08005B24	0x08005128	false
0x08005B8C	0x08004EAC	true
0x08005BDA	0x08005C26	true
0x08005BDA	0x080084C0	true
0x08005E18	0x08004EDC	true
0x08005E6E	0x0800856C	false
0x08005EB6	0x0800856C	false
0x08005F00	0x080062AC	true
0x08006240	0x08006308	true
0x08006240	0x080085B0	true
0x08006240	0x0800867C	true
0x08006240	0x08008BD8	false
0x080062AC	0x08004C1C	true
0x080062AC	0x08004FEC	true
0x08006308	0x080001E6	false
0x08006308	0x08003E90	true
0x08006308	0x08004D30	false
0x08006308	0x0800500C	true
0x08006308	0x08005024	true
0x08006308	0x08005128	false
0x080063EC	0x08004EAC	true
0x080063EC	0x08008EC4	true
0x080064EC	0x08008D98	true
0x08006544	0x080063EC	true
0x08006544	0x080064EC	true
0x08006544	0x0800A358	true
0x08006544	0x0800A888	false
0x08006544	0x0800BE74	true
0x080066AC	0x08004EAC	true
0x080066AC	0x08008EC4	true
0x080068F0	0x08003E90	true
0x080068F0	0x08003FD0	true
0x080068F0	0x08004100	true
0x080068F0	0x08004480	false
0x08006A40	0x080001E6	false
0x08006A40	0x08004D30	false
0x08006A40	0x08004E9E	true
0x08006A40	0x0800500C	true
0x08006A40	0x08005024	true
0x08006BB0	0x08003E90	true
0x08006BB0	0x08005910	true
0x08006BB0	0x0800598C	false
0x08006BB0	0x08005A74	true
0x08006C00	0x08003E90	true
0x08006C00	0x08005E2E	true
0x08006C00	0x08005E6E	true
0x08006C00	0x08005EB6	true
0x08006C00	0x08006240	true
0x08006C00	0x080064EC	true
0x08006C80	0x08003E90	true
0x08006C80	0x08005E2E	true
0x08006C80	0x08005E6E	true
0x08006C80	0x08005EB6	true
0x08006C80	0x08005F00	true
0x08006C80	0x08006240	true
0x08006CF8	0x08003E90	true
0x08006CF8	0x08005E2E	true
0x08006CF8	0x08005E6E	true
0x08006CF8	0x08005EB6	true
0x08006CF8	0x08005F00	true
0x08006CF8	0x08006240	true
0x08006D72	0x08004EAC	true
0x08006DB8	0x08005B8C	true
0x08006E08	0x08005A52	true
0x08008438	0x080001E6	false
0x08008438	0x08005048	true
0x08008438	0x080052E4	true
0x08008438	0x08005528	true
0x080084B0	0x08005C90	false
0x0800867C	0x08004EAC	true
0x0800867C	0x08008EC4	true
0x080086E0	0x08005F42	false
0x08008758	0x08005E6A	false
0x08008758	0x08006544	true
0x08008808	0x08005E6A	false
0x08008808	0x08005F42	false
0x08008808	0x08006544	true
0x08008998	0x08005E6A	false
0x08008998	0x08006544	true
0x08008A48	0x08005E6A	false
0x08008A48	0x08005F42	false
0x08008A48	0x08006544	true
0x08008EC4	0x08004EAC	true
0x08008F98	0x08005F50	false
0x080099E8	0x08009108	false
0x08009E0C	0x0800A0EA	true
0x08009E0C	0x0800A124	true
0x08009E0C	0x0800A13A	true
0x08009E0C	0x0800A148	true
0x08009EF8	0x0800A124	true
0x08009F80	0x0800A124	true
0x0800A046	0x08009E0C	true
0x0800A046	0x08009EF8	true
0x0800A046	0x08009F80	true
0x0800A074	0x0800A130	true
0x0800A074	0x0800A148	true
0x0800A0EA	0x0800A13A	true
0x0800A0EA	0x0800A148	true
0x0800A124	0x080035B8	true
0x0800A130	0x080035B8	true
0x0800A13A	0x080039C8	false
0x0800A164	0x0800A188	true
0x0800A164	0x0800C3F8	true
0x0800A176	0x0800A19A	true
0x0800A176	0x0800C412	true
0x0800A188	0x0800A1AC	true
0x0800A188	0x0800A1E8	true
0x0800A19A	0x0800A1CA	true
0x0800A19A	0x0800A206	true
0x0800A1AC	0x0800A794	true
0x0800A1AC	0x0800BA84	true
0x0800A1AC	0x0800BAC4	true
0x0800A1AC	0x0800BAE8	true
0x0800A1CA	0x0800A7A2	true
0x0800A1CA	0x0800BAA4	true
0x0800A1CA	0x0800BAD8	true
0x0800A1CA	0x0800BAFC	true
0x0800A1E8	0x0800A794	true
0x0800A1E8	0x0800BA84	true
0x0800A1E8	0x0800BAC4	true
0x0800A1E8	0x0800BAE8	true
0x0800A206	0x0800A7A2	true
0x0800A206	0x0800BAA4	true
0x0800A206	0x0800BAD8	true
0x0800A206	0x0800BAFC	true
0x0800A224	0x0800A794	true
0x0800A224	0x0800BA84	true
0x0800A224	0x0800BAC4	true
0x0800A224	0x0800BAE8	true
0x0800A24A	0x0800A7A2	true
0x0800A24A	0x0800BAA4	true
0x0800A24A	0x0800BAD8	true
0x0800A24A	0x0800BAFC	true
0x0800A270	0x0800A794	true
0x0800A270	0x0800BA84	true
0x0800A270	0x0800BAC4	true
0x0800A270	0x0800BAE8	true
0x0800A2A2	0x0800A188	true
0x0800A2C4	0x0800A19A	true
0x0800A2E6	0x0800A794	true
0x0800A2E6	0x0800BA84	true
0x0800A2E6	0x0800BAC4	true
0x0800A2E6	0x0800BAE8	true
0x0800A310	0x0800A7A2	true
