label	source_path	git_blob	sha256	size	exit_status	duration_ns	function_count	unique_match_count	compiler_anchors_matched	report_sha256
app_entry	libs/app_entry/lib_app_entry.a	ffca8a5bc6b956f8899d05971e0dce040ada7902	26ae4bcdeeee1be9fb411de0111b06b2f5c6b3c342d78270a42e75c359331532	90870	0	154051823	45	3	True	89f51de5cd749f3f49b63ad07c47b5f11ea8750955898146d0f867815d33332b
em_core	libs/em_core/lib_em_core.a	47b2d5fd0adacaec2913ec0f5d2a7b0e7f1e1394	d18564c04282543cbb8800cb1498bcb29489cc3e689ae927be6f6d0c5250f565	69006	0	144158606	44	3	True	6f49ee753cba0882a0eb40fc66cf00c485a789275f6a5829f9698548f9b05e9e
em_hw_api	libs/em_hw_api/lib_em_hw_api.a	729ca978bb728f0289db4b3ee743e333670e4dc1	74888e6952ff261b080e50c6267eed3e77d3a931dbe2dbb12f910068ca229865	294702	0	257303538	52	37	True	8c501926a8950b2086106144a03283eea7641143f4c4aeb57bc56496dcd3fd77
em_system	libs/em_system/lib_em_system.a	47acd3c20c78d983b605267b18d4f8d6eb1e50d1	390b2d610c01b79a01b461dc5c88c7aa249e7bbd46d528455bce3dbce93f7b96	755250	0	435929334	53	27	True	b0f868849611b734c2a573f0c8373a4d4121572cdf6c625a73299bb996777708
em_system_stack	libs/em_system_stack/lib_em_system_stack.a	88605d53ff5322789a101b52c885e5f0de1989b4	3a0226a159f123eef2e86de0efb55a8fabc85eefa16194d36f0405f33223592c	120478	0	199283851	25	2	True	d02ed501ebf6e4a81f3a1dc5d038d900c3b3a7d46e96bd5e0f2ae62ffd5aaedc
memory_manager	libs/memory_manager/lib_memory_manager.a	6c6106a9bcc80df1230c85a849a3261422373465	d5adf14e83594715c8dc72f0ba87150a86412975730f15f431462975bd37a200	39334	0	134823280	11	0	True	d4b12043265376f580858259894b021d843c26f14def95ba9c1ba84c4f7e45b9
nvm_fix	libs/nvm/lib_nvm_fix.a	d5bef24c4c9a5288a8e7c52394d993f1d5d02043	7e922b6e3903fe23b50764412b1a3e1bc795095231f340d3127b8789f9f50f50	68112	0	140595684	12	3	True	5acb80e3dee07e408c5234dd98121e85852699ab9bcff7ad397102fb828805ab
nvm_entry	libs/nvm_entry/lib_nvm_entry.a	b42f99d5cb9f9ffedef5fa3095e92a3e2da3a970	75144c94bced9a7c4c79804619ee5671a84d9ab89da4973a23e6e5b590ccfe84	59860	0	130324956	7	1	True	331a110b0a4bffa90e6822b525eeae1fbad3f7091ad77b25bf423dfd65ebb054
radio	libs/radio/lib_radio.a	00ce66bc3ff9968c8b233fd740332fde85d061b4	de6ae31e5bf6436533296efa116c17a4fa37c3cce7652118b0b3e9e2474759cc	485604	0	354665679	65	34	True	e3bb729a1ee7c47b46cf84347e0b0cc3c94ece6d0c3d90cec390e757fb69f55f
rc_calib	libs/rc_calib/lib_rc_calib.a	2a19d0c43bf03121a5a85117cc160e0b67033535	12264c76c73482aee42be0aff8b2b2bf41938d1769465a2a9d7916d9835231a6	68410	0	141703321	10	2	True	032badc6aa95a14705b8db74b0e53ab3fa2116f2ce72c027a66c68cae012274a
rtc	libs/rtc/lib_rtc.a	307432195b55958ed992bd2565efb4ce3b498e31	9ada026351b3f40d8189e400db3eea7c8735f56fd7d2eb6882c2c9bfba82f18b	154664	0	195922108	25	0	True	48e58d68f0ebf48af194a36f1b0b704dea38a7a1db5dabe3fb27cb3b85853665
emb_controller	libs/third_party/emb/lib_emb_controller.a	6a1a8e3df756a97e0afbcf7d10482eecc7856336	3b256ac3352955dc4bd9b49554e011e1587be7fdb58538f0ac7b9d4fe42ac971	12857758	0	7472449277	2181	1057	True	d9320ce9cc048ff7adc88252aa4886810a3e9f0935eca8012c3de8fc6e6ad0ba
emb_database	libs/third_party/emb/lib_emb_database.a	d0261d8f2a8edc72178234f44f35166dfe423128	5fe378c118e1471b2fbc74efd2ce061fcc175f70addaa42341c775c90cbd10c1	65192	0	170673785	21	0	True	cf4e1f227e30084f428721d8f2b3c40b99b161b31de47fd6bef632c5bba4d877
emb_ll_pal	libs/third_party/emb/lib_emb_ll_pal.a	1a175c48bdd6a0cb7cae5f96d7bff3350799ae6f	b2a310f4134f17914653b88ca3dc2ad416cf99900518149991bbb918a6a5c558	519862	0	595092535	166	30	True	1565c05cdf96d901b86e0362e6f29bfda9b6fcb690125a60544b6b27efe609a8
emb_peripheral	libs/third_party/emb/lib_emb_peripheral.a	c9e2ee6f0762fb710aa987000cb0fd6eb4bcce79	8ee9b24d6a8e295b949f24c1796b8c775244a0f12d72998ad44163c9a3c0a962	19280932	0	12228627754	3873	980	True	56625d6bc61fbc9671a9714a740b388ab4518e6927bd068b606cbf23cfd455de
transport	libs/transport/lib_transport.a	3d0e76655f2fdcc5e4bbca697b79a72010581580	639c3529955d6b370a1707c54b16a38faae7b8884c67378c4fe2594147edff77	50938	0	109259533	1	1	True	6ba1e79739e7887d72f73b848e03dc704f58ecf6bacff2b95e1599f676806dbe
