label	source_path	git_blob	sha256	size	exit_status	duration_ns	function_count	unique_match_count	compiler_anchors_matched	report_sha256
app_entry	libs/app_entry/lib_app_entry.a	ffca8a5bc6b956f8899d05971e0dce040ada7902	26ae4bcdeeee1be9fb411de0111b06b2f5c6b3c342d78270a42e75c359331532	90870	0	153591916	45	3	True	89f51de5cd749f3f49b63ad07c47b5f11ea8750955898146d0f867815d33332b
em_core	libs/em_core/lib_em_core.a	47b2d5fd0adacaec2913ec0f5d2a7b0e7f1e1394	d18564c04282543cbb8800cb1498bcb29489cc3e689ae927be6f6d0c5250f565	69006	0	153600993	44	3	True	6f49ee753cba0882a0eb40fc66cf00c485a789275f6a5829f9698548f9b05e9e
em_hw_api	libs/em_hw_api/lib_em_hw_api.a	729ca978bb728f0289db4b3ee743e333670e4dc1	74888e6952ff261b080e50c6267eed3e77d3a931dbe2dbb12f910068ca229865	294702	0	248575898	52	38	True	9539d99cc7e582bb7b0516291617a3b878e68e0e98cbf4e5db34ae9f771e0e26
em_system	libs/em_system/lib_em_system.a	47acd3c20c78d983b605267b18d4f8d6eb1e50d1	390b2d610c01b79a01b461dc5c88c7aa249e7bbd46d528455bce3dbce93f7b96	755250	0	442014517	53	29	True	9c1899e76014112e237df30f5126522e50f114c73321c432c392613d321e52c9
em_system_stack	libs/em_system_stack/lib_em_system_stack.a	88605d53ff5322789a101b52c885e5f0de1989b4	3a0226a159f123eef2e86de0efb55a8fabc85eefa16194d36f0405f33223592c	120478	0	193400247	25	3	True	b9f762021e55e2fc6f8b73b4526ad420f8be3e40f96c4471a9322ae54a84207a
memory_manager	libs/memory_manager/lib_memory_manager.a	6c6106a9bcc80df1230c85a849a3261422373465	d5adf14e83594715c8dc72f0ba87150a86412975730f15f431462975bd37a200	39334	0	139387489	11	0	True	d4b12043265376f580858259894b021d843c26f14def95ba9c1ba84c4f7e45b9
nvm_fix	libs/nvm/lib_nvm_fix.a	d5bef24c4c9a5288a8e7c52394d993f1d5d02043	7e922b6e3903fe23b50764412b1a3e1bc795095231f340d3127b8789f9f50f50	68112	0	149269644	12	3	True	5acb80e3dee07e408c5234dd98121e85852699ab9bcff7ad397102fb828805ab
nvm_entry	libs/nvm_entry/lib_nvm_entry.a	b42f99d5cb9f9ffedef5fa3095e92a3e2da3a970	75144c94bced9a7c4c79804619ee5671a84d9ab89da4973a23e6e5b590ccfe84	59860	0	137596635	7	1	True	45e9f213fbd00aadd44a6b40aa04834f9baa728f8533ef4a5377903b6f9d24a6
radio	libs/radio/lib_radio.a	00ce66bc3ff9968c8b233fd740332fde85d061b4	de6ae31e5bf6436533296efa116c17a4fa37c3cce7652118b0b3e9e2474759cc	485604	0	349628059	65	40	True	699fdac5d884d36454f979017100e129e5d1ec1deaddbd01cb7a96d32ce0ddea
rc_calib	libs/rc_calib/lib_rc_calib.a	2a19d0c43bf03121a5a85117cc160e0b67033535	12264c76c73482aee42be0aff8b2b2bf41938d1769465a2a9d7916d9835231a6	68410	0	139086922	10	3	True	1906d2c16f9ccdef35c86c514b8e72d66b0b7c9f1dbb4f27636172cab766c639
rtc	libs/rtc/lib_rtc.a	307432195b55958ed992bd2565efb4ce3b498e31	9ada026351b3f40d8189e400db3eea7c8735f56fd7d2eb6882c2c9bfba82f18b	154664	0	193104370	25	1	True	0cef5c6973a6c9354f6f390eb7f9edcd3d2357a5fcb58d8ddb3b977c13cfbd52
emb_controller	libs/third_party/emb/lib_emb_controller.a	6a1a8e3df756a97e0afbcf7d10482eecc7856336	3b256ac3352955dc4bd9b49554e011e1587be7fdb58538f0ac7b9d4fe42ac971	12857758	0	7530080814	2181	1171	True	dfe669a3370e3e8417c45e1619f62c4225a9598c90156ea7649b4d9aad84a525
emb_database	libs/third_party/emb/lib_emb_database.a	d0261d8f2a8edc72178234f44f35166dfe423128	5fe378c118e1471b2fbc74efd2ce061fcc175f70addaa42341c775c90cbd10c1	65192	0	171452361	21	0	True	cf4e1f227e30084f428721d8f2b3c40b99b161b31de47fd6bef632c5bba4d877
emb_ll_pal	libs/third_party/emb/lib_emb_ll_pal.a	1a175c48bdd6a0cb7cae5f96d7bff3350799ae6f	b2a310f4134f17914653b88ca3dc2ad416cf99900518149991bbb918a6a5c558	519862	0	598203555	166	45	True	263ed75e88c01aad3e7bec71760abd32e08b28e04ee331d213be94f85fdf589b
emb_peripheral	libs/third_party/emb/lib_emb_peripheral.a	c9e2ee6f0762fb710aa987000cb0fd6eb4bcce79	8ee9b24d6a8e295b949f24c1796b8c775244a0f12d72998ad44163c9a3c0a962	19280932	0	12315648885	3873	1100	True	197713bb7e510573e5479dbab39b6b43e7ee426728e9c872d4a633474dfaf6ba
transport	libs/transport/lib_transport.a	3d0e76655f2fdcc5e4bbca697b79a72010581580	639c3529955d6b370a1707c54b16a38faae7b8884c67378c4fe2594147edff77	50938	0	115941711	1	1	True	6ba1e79739e7887d72f73b848e03dc704f58ecf6bacff2b95e1599f676806dbe
