config	function	candidate_size	stock_size	size_delta	raw_match	normalized_match	candidate_sha256	normalized_sha256
O0	wsfTimerRemove	76	40	36	no	no	e6904e50aed1c96fc12a66a2520168a16309764d6ab4389729abeb10755987bb	b5463fb092c8a34f69bbc2fca3816433562d1ceec6b5f226bb4c75233dffc6a1
O0	wsfTimerInsert	104	68	36	no	no	6f12d17d00205d12f7855b52cf0b1be0682323d4f16f4bcef9fb690ced88c5e8	1db6d7c651a91cc0da9bb1103d85e42fecfed93cf38ee4759715e03e060cddf2
O0	WsfTimer_handler	22	12	10	no	no	5de28f9618d8c2559635b31edc3480df2f9044607d7c749b9f18834673442e0f	fbe32ad7a39318f792140aa2ed940cc41329ef57fda32cb130e3cf27a3756493
O0	WsfTimerInit	100	68	32	no	no	2a12f7a5d31d82e89326508052f879e5d407db46b1279740472022f438ca10c0	e603ba2b4062f01bf5208af122e912ffa746768432951ef03eaee571aa7cd8b4
O0	WsfTimerStartSec	32	12	20	no	no	a6e8b7715aebaa0e60a311a5a824b29ea85e57b6a79d1b73f3191ad656c1f715	3e7c164e2f8cee1de366933d2bb45baf52e58780b32287c2337a81ca0d3542c5
O0	WsfTimerStartMs	40	14	26	no	no	1d7b8392b0c45dad0345bf8f8065c61957e8717ede588dc1e40bd5b61df3c1fa	e814a6a7a9fb495444788f93fd9b83481bd02b34d3bf05d42524621765b2f0dd
O0	WsfTimerStop	28	20	8	no	no	48e9ca9527580a18b7d20eb79464e737fd4b7e90a0c8ab02d43d79a99fdfe895	830995f92b9c67ff4daa11d62c32c5374a8ed517b4f76fdbc00d3302d4b52cd5
O0	WsfTimerUpdate	88	52	36	no	no	41914f747c75cb50932e28d18cf7064dff4ebf56fbd8b0fced66543ba9c7124c	5a3840c7ed2c0f18af0a169984431a006cd42f508c35a8e073d80ebc25af5e62
O0	WsfTimerNextExpiration	64	40	24	no	no	f4df5b8835c0969794545b2ad2eab8bcbdd3d71638e27936dd3655a2c27af286	86a583dcba7b6860ade41c38c62a6d8ebc0493d26b9f98c414fa9be53bb51606
O0	WsfTimerServiceExpired	76	50	26	no	no	09b8dbdbe452d3868a8edb35d1ae8c760ef2c46b788c26c4a373dc4c92e06361	c2ff737021bf1d95cc2531bcd0c4350bde7f4885f2b0fb5f9c3f128f13acb3a5
O0	WsfTimerUpdateTicks	148	160	-12	no	no	fbe1c73bcbd6a3a5a34f333e016d729e250698f52f2778e6cd90e9da5b10e14b	eb743094d2c138788236266f127343b6b2fcb9bacb1bf7a36833360d39c09f9f
O1	wsfTimerRemove	48	40	8	no	no	8c4a81885ebebb463e88d7df245257334e56bf938848958965bdecfce3ba3cbe	b9ad5303d7ab0bf5cb7780a08f62bee2809d61cc0a526b1f8e0c3b0a88cec926
O1	wsfTimerInsert	72	68	4	no	no	a5becea64a4062ee0e95e28e8270bfb2e83e90ea164c1e059e87f271f74301e0	780f91a771bc71be84d6c32b012ee7a4f40b7a482bf5f1b346c04eab1ea24186
