kind	path
packetcraft_r20.05	ble-host/sources/stack/att/attc_disc.c
probe_shim	string.h
compiler_builtin	/usr/lib/gcc/arm-none-eabi/13.2.1/include/stddef.h
packetcraft_r20.05	wsf/include/wsf_types.h
compiler_builtin	/usr/lib/gcc/arm-none-eabi/13.2.1/include/stdint.h
packetcraft_r20.05	wsf/include/wsf_trace.h
compiler_builtin	/usr/lib/gcc/arm-none-eabi/13.2.1/include/stdarg.h
packetcraft_r20.05	wsf/include/util/bstream.h
packetcraft_r20.05	wsf/include/util/bda.h
packetcraft_r20.05	ble-host/include/att_api.h
packetcraft_r20.05	wsf/include/wsf_timer.h
packetcraft_r20.05	wsf/include/wsf_os.h
packetcraft_r20.05	wsf/include/wsf_types.h
packetcraft_r20.05	wsf/include/wsf_queue.h
packetcraft_r20.05	ble-host/include/att_defs.h
packetcraft_r20.05	ble-host/include/att_uuid.h
packetcraft_r20.05	ble-host/include/dm_api.h
packetcraft_r20.05	ble-host/include/hci_api.h
packetcraft_r20.05	wsf/include/hci_defs.h
packetcraft_r20.05	wsf/include/wsf_os.h
packetcraft_r20.05	ble-host/sources/stack/cfg/cfg_stack.h
packetcraft_r20.05	ble-host/include/smp_defs.h
packetcraft_r20.05	ble-host/include/sec_api.h
packetcraft_r20.05	ble-host/include/att_uuid.h
packetcraft_r20.05	ble-host/sources/stack/att/att_main.h
packetcraft_r20.05	wsf/include/wsf_queue.h
packetcraft_r20.05	ble-host/include/l2c_api.h
packetcraft_r20.05	ble-host/include/l2c_defs.h
packetcraft_r20.05	ble-host/include/dm_api.h
