source_order	function	linkage	stock_status
1	attcUuidCmp	static	not_in_conservative_anchor_ledger
2	attcDiscVerify	static	not_in_conservative_anchor_ledger
3	attcDiscDescriptors	static	not_in_conservative_anchor_ledger
4	attcDiscProcDescPair	static	anchored_stock
5	attcDiscProcDesc	static	not_in_conservative_anchor_ledger
6	attcDiscProcCharDecl	static	anchored_stock
7	attcDiscProcChar	static	not_in_conservative_anchor_ledger
8	attcDiscConfigNext	static	not_in_conservative_anchor_ledger
9	attcDiscProcIncSvc	static	pending_stock_closure
10	AttcDiscService	public	not_in_conservative_anchor_ledger
11	AttcDiscServiceCmpl	public	anchored_stock
12	AttcDiscCharStart	public	not_in_conservative_anchor_ledger
13	AttcDiscCharCmpl	public	anchored_stock
14	AttcDiscIncSvcStart	public	pending_stock_closure
15	AttcDiscIncSvcCmpl	public	pending_stock_closure
16	AttcDiscConfigStart	public	not_in_conservative_anchor_ledger
17	AttcDiscConfigCmpl	public	not_in_conservative_anchor_ledger
18	AttcDiscConfigResume	public	not_in_conservative_anchor_ledger
