symbol	provider	closure_probe
AttcFindByTypeValueReq	ATT client request API	resolved_by_local_stub
AttcFindInfoReq	ATT client request API	resolved_by_local_stub
AttcReadByTypeReq	ATT client request API	resolved_by_local_stub
AttcReadReq	ATT client request API	resolved_by_local_stub
AttcWriteReq	ATT client request API	resolved_by_local_stub
WsfTrace	WSF trace provider	resolved_by_local_stub
attChUuid	ATT characteristic UUID constant	resolved_by_local_stub
attIncUuid	ATT include UUID constant	resolved_by_local_stub
attUuidCmp16to128	ATT UUID utility	resolved_by_local_stub
memcmp	freestanding C runtime or SDK provider	resolved_by_local_stub
memset	freestanding C runtime or SDK provider	resolved_by_local_stub
