profile	function	candidate_size	stock_size	absolute_size_delta	raw_match_possible_by_size	normalized_compare
Os	attsCccCback	inlined_or_absent			not_applicable	not_run_readiness_probe_only
O1	attsCccCback	inlined_or_absent			not_applicable	not_run_readiness_probe_only
Os	attsCccAllocTbl	inlined_or_absent	352		not_applicable	not_run_readiness_probe_only
O1	attsCccAllocTbl	inlined_or_absent	352		not_applicable	not_run_readiness_probe_only
Os	attsCccGetTbl	36	316	-280	no	not_run_readiness_probe_only
O1	attsCccGetTbl	40	316	-276	no	not_run_readiness_probe_only
Os	attsCccFreeTbl	inlined_or_absent	346		not_applicable	not_run_readiness_probe_only
O1	attsCccFreeTbl	inlined_or_absent	346		not_applicable	not_run_readiness_probe_only
Os	attsCccReadValue	inlined_or_absent			not_applicable	not_run_readiness_probe_only
O1	attsCccReadValue	inlined_or_absent			not_applicable	not_run_readiness_probe_only
Os	attsCccWriteValue	inlined_or_absent			not_applicable	not_run_readiness_probe_only
O1	attsCccWriteValue	inlined_or_absent			not_applicable	not_run_readiness_probe_only
Os	attsCccMainCback	216			not_applicable	not_run_readiness_probe_only
O1	attsCccMainCback	252			not_applicable	not_run_readiness_probe_only
Os	AttsCccRegister	32			not_applicable	not_run_readiness_probe_only
O1	AttsCccRegister	32			not_applicable	not_run_readiness_probe_only
Os	AttsCccInitTable	168	384	-216	no	not_run_readiness_probe_only
O1	AttsCccInitTable	192	384	-192	no	not_run_readiness_probe_only
Os	AttsCccClearTable	60	546	-486	no	not_run_readiness_probe_only
O1	AttsCccClearTable	68	546	-478	no	not_run_readiness_probe_only
Os	AttsCccGet	48			not_applicable	not_run_readiness_probe_only
O1	AttsCccGet	52			not_applicable	not_run_readiness_probe_only
Os	AttsCccSet	48			not_applicable	not_run_readiness_probe_only
O1	AttsCccSet	52			not_applicable	not_run_readiness_probe_only
Os	AttsCccEnabled	72			not_applicable	not_run_readiness_probe_only
O1	AttsCccEnabled	72			not_applicable	not_run_readiness_probe_only
Os	AttsGetCccTableLen	12			not_applicable	not_run_readiness_probe_only
O1	AttsGetCccTableLen	12			not_applicable	not_run_readiness_probe_only
