remaining_rank	bounded_body_bytes	anchor_count	status	module	relative_path
	4798	8	closed_previous_tranche	atts_csf.c	third_party/cordio/ble-host/sources/stack/att/atts_csf.c
1	4258	10	remaining	dm_conn.c	third_party/cordio/ble-host/sources/stack/dm/dm_conn.c
	2688	7	closed_previous_tranche	smp_db.c	third_party/cordio/ble-host/sources/stack/smp/smp_db.c
2	2154	4	remaining	attc_disc.c	third_party/cordio/ble-host/sources/stack/att/attc_disc.c
3	1944	5	remaining	atts_ccc.c	third_party/cordio/ble-host/sources/stack/att/atts_ccc.c
4	1914	5	remaining	dm_adv_leg.c	third_party/cordio/ble-host/sources/stack/dm/dm_adv_leg.c
5	1598	1	remaining	dm_conn_sm.c	third_party/cordio/ble-host/sources/stack/dm/dm_conn_sm.c
6	1562	2	remaining	smp_act.c	third_party/cordio/ble-host/sources/stack/smp/smp_act.c
7	1538	4	remaining	smp_main.c	third_party/cordio/ble-host/sources/stack/smp/smp_main.c
8	1290	2	remaining	smp_sc_main.c	third_party/cordio/ble-host/sources/stack/smp/smp_sc_main.c
9	1194	2	remaining	attc_main.c	third_party/cordio/ble-host/sources/stack/att/attc_main.c
10	660	1	remaining	atts_main.c	third_party/cordio/ble-host/sources/stack/att/atts_main.c
11	552	1	remaining	atts_proc.c	third_party/cordio/ble-host/sources/stack/att/atts_proc.c
12	390	1	remaining	atts_ind.c	third_party/cordio/ble-host/sources/stack/att/atts_ind.c
13	354	1	remaining	dm_dev.c	third_party/cordio/ble-host/sources/stack/dm/dm_dev.c
14	340	1	remaining	attc_proc.c	third_party/cordio/ble-host/sources/stack/att/attc_proc.c
15	314	1	remaining	atts_sign.c	third_party/cordio/ble-host/sources/stack/att/atts_sign.c
16	288	1	remaining	att_main.c	third_party/cordio/ble-host/sources/stack/att/att_main.c
17	274	1	remaining	l2c_slave.c	third_party/cordio/ble-host/sources/stack/l2c/l2c_slave.c
18	0	0	remaining	l2c_main.c	third_party/cordio/ble-host/sources/stack/l2c/l2c_main.c
19	0	0	remaining	l2c_master.c	third_party/cordio/ble-host/sources/stack/l2c/l2c_master.c
20	0	0	remaining	smpr_act.c	third_party/cordio/ble-host/sources/stack/smp/smpr_act.c
