source_order	function	stock_start	stock_end_exclusive	stock_size	stock_sha256	stock_status	evidence	source_line_markers	direct_callee_count
1	attsCsfSetHashUpdateStatus	0x0052C6C0	0x0052C914	596	3e82cdcf8bf6da52ceffe46b07aa79953cdfa886b77e41ba9d438319f4601298	linked	retained_path_anchor		6
2	attsCsfGetHashUpdateStatus	0x0052C914	0x0052C91C	8	e5832fa04a4f4191d1bcdeac73ab1e4f2dde3554c5cbef9774abbbcc1a279e53	linked	tiny_unanchored_ghidra_function		
3	attsCsfIsClientChangeAware	0x0052C928	0x0052CA9C	372	b00ee5a3ddb20016ee5b8aed9bd359b34b9e159a6ffafc9787a78ffc81b00670	linked	retained_path_anchor	128	5
4	attsCsfActClientState	0x0052CAA8	0x0052D06E	1478	849c162055eda43262db91479bdb8fa0fc871067b878c845a936875d34509f59	linked	retained_path_anchor	179,200,239,246	5
5	AttsCsfSetClientChangeAwareState	0x0052D090	0x0052D35A	714	00d960d49cac61b86ac49c890005a97aca98f4fa0bcc8fcbe1fb606794a2e287	linked	retained_path_anchor	286,291	5
6	AttsCsfConnOpen	0x0052D370	0x0052D4E0	368	7e588c21c9d085103a9dd83eb3cd4d574d197a5d7e075bad359f5b4b1d05cb31	linked	retained_path_anchor	311	7
7	AttsCsfRegister	0x0052D4E0	0x0052D4E8	8	35fd5f87a5d1760d18de0d80da1d8305e8d922ef8d71e379085c77a016abe77b	linked	tiny_unanchored_ghidra_function		
8	AttsCsfInit					no_standalone_body_dead_stripped_or_inlined	source_inventory_only		
9	AttsCsfWriteFeatures	0x0052D508	0x0052D7B6	686	94830e4b9c49ab72bc62f524a2ba7807d3dc7e96fea6303bd7479c55e0b03ca1	linked	retained_path_anchor	370,396	5
10	AttsCsfGetFeatures	0x0052D7C4	0x0052D8EE	298	d8cfcde7d9789d6fec8d1b30906eedb59dc5a65ae8fd531ff0d9ae91b3a4d7ba	linked	retained_path_anchor	422	6
11	AttsCsfGetClientChangeAwareState	0x0052D8EE	0x0052DA0C	286	c4c1172ec2756d26686491c8e0f2a2683c347d212ea0bec4550ab0a9394ef6ea	linked	retained_path_anchor	444	5
