source_order	function	linkage	stock_status
1	dmAdvConfig	static	not_in_conservative_anchor_ledger
2	dmAdvActConfig	public	anchored_stock
3	dmAdvActSetData	public	not_in_conservative_anchor_ledger
4	dmAdvActStart	public	not_in_conservative_anchor_ledger
5	dmAdvActStop	public	not_in_conservative_anchor_ledger
6	dmAdvActRemoveSet	public	not_in_conservative_anchor_ledger
7	dmAdvActClearSets	public	not_in_conservative_anchor_ledger
8	dmAdvActSetRandAddr	public	not_in_conservative_anchor_ledger
9	dmAdvActTimeout	public	not_in_conservative_anchor_ledger
10	dmAdvReset	public	not_in_conservative_anchor_ledger
11	dmAdvHciHandler	public	not_in_conservative_anchor_ledger
12	dmAdvMsgHandler	public	not_in_conservative_anchor_ledger
13	dmAdvStartDirected	public	anchored_stock
14	dmAdvStopDirected	public	anchored_stock
15	dmAdvConnected	public	anchored_stock
16	dmAdvConnectFailed	public	anchored_stock
17	DmAdvInit	public	not_in_conservative_anchor_ledger
18	DmAdvModeLeg	public	not_in_conservative_anchor_ledger
