source_order	line	function	linkage	signature
1	139	dmConnCmplStates	static	static dmConnCcb_t *dmConnCmplStates(void)
2	169	dmConnCcbAlloc	external	dmConnCcb_t *dmConnCcbAlloc(uint8_t *pAddr)
3	207	dmConnCcbDealloc	external	void dmConnCcbDealloc(dmConnCcb_t *pCcb)
4	223	dmConnCcbByHandle	external	dmConnCcb_t *dmConnCcbByHandle(uint16_t handle)
5	250	dmConnCcbByBdAddr	external	dmConnCcb_t *dmConnCcbByBdAddr(uint8_t *pAddr)
6	277	dmConnCcbById	external	dmConnCcb_t *dmConnCcbById(dmConnId_t connId)
7	297	dmConnNum	external	uint8_t dmConnNum(void)
8	323	dmConnExecCback	external	void dmConnExecCback(dmConnMsg_t *pMsg)
9	353	dmConnOpenAccept	external	dmConnId_t dmConnOpenAccept(uint8_t clientId, uint8_t initPhys, uint8_t advHandle, uint8_t advType,
10	417	dmConnSmActNone	external	void dmConnSmActNone(dmConnCcb_t *pCcb, dmConnMsg_t *pMsg)
11	432	dmConnSmActClose	external	void dmConnSmActClose(dmConnCcb_t *pCcb, dmConnMsg_t *pMsg)
12	447	dmConnSmActConnOpened	external	void dmConnSmActConnOpened(dmConnCcb_t *pCcb, dmConnMsg_t *pMsg)
13	513	dmConnSmActConnFailed	external	void dmConnSmActConnFailed(dmConnCcb_t *pCcb, dmConnMsg_t *pMsg)
14	547	dmConnSmActConnClosed	external	void dmConnSmActConnClosed(dmConnCcb_t *pCcb, dmConnMsg_t *pMsg)
15	576	dmConnSmActHciUpdated	external	void dmConnSmActHciUpdated(dmConnCcb_t *pCcb, dmConnMsg_t *pMsg)
16	593	dmConnUpdActNone	external	void dmConnUpdActNone(dmConnCcb_t *pCcb, dmConnMsg_t *pMsg)
17	608	dmConnUpdExecute	external	void dmConnUpdExecute(dmConnCcb_t *pCcb, dmConnMsg_t *pMsg)
18	641	dmConnReset	external	void dmConnReset(void)
19	685	dmConnMsgHandler	external	void dmConnMsgHandler(wsfMsgHdr_t *pMsg)
20	706	dmConnHciHandler	external	void dmConnHciHandler(hciEvt_t *pEvent)
21	766	dmConn2MsgHandler	external	void dmConn2MsgHandler(wsfMsgHdr_t *pMsg)
22	829	dmConn2HciHandler	external	void dmConn2HciHandler(hciEvt_t *pEvent)
23	887	dmConnUpdMsgHandler	external	void dmConnUpdMsgHandler(wsfMsgHdr_t *pMsg)
24	913	dmConn2ActRssiRead	static	static void dmConn2ActRssiRead(dmConnCcb_t *pCcb, hciEvt_t *pEvent)
25	937	dmConn2ActRemoteConnParamReq	static	static void dmConn2ActRemoteConnParamReq(dmConnCcb_t *pCcb, hciEvt_t *pEvent)
26	964	dmConn2ActDataLenChange	static	static void dmConn2ActDataLenChange(dmConnCcb_t *pCcb, hciEvt_t *pEvent)
27	991	dmConn2ActWriteAuthToCmpl	static	static void dmConn2ActWriteAuthToCmpl(dmConnCcb_t *pCcb, hciEvt_t *pEvent)
28	1015	dmConn2ActAuthToExpired	static	static void dmConn2ActAuthToExpired(dmConnCcb_t *pCcb, hciEvt_t *pEvent)
29	1038	dmConn2ActReadRemoteFeaturesCmpl	static	static void dmConn2ActReadRemoteFeaturesCmpl(dmConnCcb_t *pCcb, hciEvt_t *pEvent)
30	1068	dmConn2ActReadRemoteVerInfoCmpl	static	static void dmConn2ActReadRemoteVerInfoCmpl(dmConnCcb_t *pCcb, hciEvt_t *pEvent)
31	1096	dmConn2ActReqPeerSca	static	static void dmConn2ActReqPeerSca(dmConnCcb_t *pCcb, hciEvt_t *pEvent)
32	1117	DmConnInit	external	void DmConnInit(void)
33	1141	DmConnRegister	external	void DmConnRegister(uint8_t clientId, dmCback_t cback)
34	1162	DmConnClose	external	void DmConnClose(uint8_t clientId, dmConnId_t connId, uint8_t reason)
35	1187	DmReadRemoteFeatures	external	void DmReadRemoteFeatures(dmConnId_t connId)
36	1229	DmReadRemoteVerInfo	external	void DmReadRemoteVerInfo(dmConnId_t connId)
37	1251	DmConnUpdate	external	void DmConnUpdate(dmConnId_t connId, hciConnSpec_t *pConnSpec)
38	1277	dmConnSetConnSpec	static	static void dmConnSetConnSpec(uint8_t initPhy, hciConnSpec_t *pConnSpec)
39	1299	dmConnSetScanInterval	static	static void dmConnSetScanInterval(uint8_t initPhy, uint16_t scanInterval, uint16_t scanWindow)
40	1322	DmConnSetScanInterval	external	void DmConnSetScanInterval(uint16_t scanInterval, uint16_t scanWindow)
41	1339	DmExtConnSetScanInterval	external	void DmExtConnSetScanInterval(uint8_t initPhys, uint16_t *pScanInterval, uint16_t *pScanWindow)
42	1363	DmConnSetConnSpec	external	void DmConnSetConnSpec(hciConnSpec_t *pConnSpec)
43	1379	DmExtConnSetConnSpec	external	void DmExtConnSetConnSpec(uint8_t initPhys, hciConnSpec_t *pConnSpec)
44	1403	DmConnReadRssi	external	void DmConnReadRssi(dmConnId_t connId)
45	1428	DmRemoteConnParamReqReply	external	void DmRemoteConnParamReqReply(dmConnId_t connId, hciConnSpec_t *pConnSpec)
46	1454	DmRemoteConnParamReqNegReply	external	void DmRemoteConnParamReqNegReply(dmConnId_t connId, uint8_t reason)
47	1479	DmConnSetDataLen	external	void DmConnSetDataLen(dmConnId_t connId, uint16_t txOctets, uint16_t txTime)
48	1504	DmWriteAuthPayloadTimeout	external	void DmWriteAuthPayloadTimeout(dmConnId_t connId, uint16_t timeout)
49	1527	DmConnRequestPeerSca	external	void DmConnRequestPeerSca(dmConnId_t connId)
50	1549	DmConnIdByHandle	external	dmConnId_t DmConnIdByHandle(uint16_t handle)
51	1576	DmConnInUse	external	bool_t DmConnInUse(dmConnId_t connId)
52	1592	DmConnPeerAddrType	external	uint8_t DmConnPeerAddrType(dmConnId_t connId)
53	1608	DmConnPeerAddr	external	uint8_t *DmConnPeerAddr(dmConnId_t connId)
54	1624	DmConnLocalAddrType	external	uint8_t DmConnLocalAddrType(dmConnId_t connId)
55	1640	DmConnLocalAddr	external	uint8_t *DmConnLocalAddr(dmConnId_t connId)
56	1656	DmConnPeerRpa	external	uint8_t *DmConnPeerRpa(dmConnId_t connId)
57	1672	DmConnLocalRpa	external	uint8_t *DmConnLocalRpa(dmConnId_t connId)
58	1688	DmConnSecLevel	external	uint8_t DmConnSecLevel(dmConnId_t connId)
59	1706	DmConnSetIdle	external	void DmConnSetIdle(dmConnId_t connId, uint16_t idleMask, uint8_t idle)
60	1738	DmConnCheckIdle	external	uint16_t DmConnCheckIdle(dmConnId_t connId)
61	1760	DmConnRole	external	uint8_t DmConnRole(dmConnId_t connId)
