lane	profile	function	candidate_text_bytes	status
r441_hybrid	Os	DmFindAdType	42	standalone
r441_hybrid	Os	DmHandler	64	standalone
r441_hybrid	Os	DmHandlerInit	24	standalone
r441_hybrid	Os	DmHostAddrType	28	standalone
r441_hybrid	Os	DmInitPhyToIdx	4	standalone
r441_hybrid	Os	DmLlAddrType	24	standalone
r441_hybrid	Os	DmLlPrivEnabled	12	standalone
r441_hybrid	Os	DmRegister	56	standalone
r441_hybrid	Os	DmScanPhyToIdx	4	standalone
r441_hybrid	Os	DmSizeOfEvt	24	standalone
r441_hybrid	Os	dmDevPassHciEvtToConn	12	standalone
r441_hybrid	Os	dmEmptyHandler	2	standalone
r441_hybrid	Os	dmEmptyReset	2	standalone
r441_hybrid	Os	dmHciEvtCback	68	standalone
r441_hybrid	Os	dmInitPhyToIdx	34	standalone
r441_hybrid	Os	dmScanPhyToIdx		inlined_or_absent
r441_hybrid	O1	DmFindAdType	54	standalone
r441_hybrid	O1	DmHandler	64	standalone
r441_hybrid	O1	DmHandlerInit	28	standalone
r441_hybrid	O1	DmHostAddrType	28	standalone
r441_hybrid	O1	DmInitPhyToIdx	4	standalone
r441_hybrid	O1	DmLlAddrType	24	standalone
r441_hybrid	O1	DmLlPrivEnabled	12	standalone
r441_hybrid	O1	DmRegister	72	standalone
r441_hybrid	O1	DmScanPhyToIdx	4	standalone
r441_hybrid	O1	DmSizeOfEvt	28	standalone
r441_hybrid	O1	dmDevPassHciEvtToConn	16	standalone
r441_hybrid	O1	dmEmptyHandler	2	standalone
r441_hybrid	O1	dmEmptyReset	2	standalone
r441_hybrid	O1	dmHciEvtCback	68	standalone
r441_hybrid	O1	dmInitPhyToIdx	38	standalone
r441_hybrid	O1	dmScanPhyToIdx		inlined_or_absent
r20_public	Os	DmFindAdType	42	standalone
r20_public	Os	DmHandler	64	standalone
r20_public	Os	DmHandlerInit	24	standalone
r20_public	Os	DmHostAddrType	28	standalone
r20_public	Os	DmInitPhyToIdx	4	standalone
r20_public	Os	DmLlAddrType	24	standalone
r20_public	Os	DmLlPrivEnabled	12	standalone
r20_public	Os	DmRegister	56	standalone
r20_public	Os	DmScanPhyToIdx	4	standalone
r20_public	Os	DmSizeOfEvt	24	standalone
r20_public	Os	dmDevPassHciEvtToConn	12	standalone
r20_public	Os	dmEmptyHandler	2	standalone
r20_public	Os	dmEmptyReset	2	standalone
r20_public	Os	dmHciEvtCback	68	standalone
r20_public	Os	dmInitPhyToIdx	34	standalone
r20_public	Os	dmScanPhyToIdx		inlined_or_absent
r20_public	O1	DmFindAdType	54	standalone
r20_public	O1	DmHandler	64	standalone
r20_public	O1	DmHandlerInit	28	standalone
r20_public	O1	DmHostAddrType	28	standalone
r20_public	O1	DmInitPhyToIdx	4	standalone
r20_public	O1	DmLlAddrType	24	standalone
r20_public	O1	DmLlPrivEnabled	12	standalone
r20_public	O1	DmRegister	72	standalone
r20_public	O1	DmScanPhyToIdx	4	standalone
r20_public	O1	DmSizeOfEvt	28	standalone
r20_public	O1	dmDevPassHciEvtToConn	16	standalone
r20_public	O1	dmEmptyHandler	2	standalone
r20_public	O1	dmEmptyReset	2	standalone
r20_public	O1	dmHciEvtCback	68	standalone
r20_public	O1	dmInitPhyToIdx	38	standalone
r20_public	O1	dmScanPhyToIdx		inlined_or_absent
