lane	function	linkage	source_line	signature
r441_hybrid	DmFindAdType	global	377	uint8_t *DmFindAdType(uint8_t adType, uint16_t dataLen, uint8_t *pData)
r441_hybrid	DmHandler	global	431	void DmHandler(wsfEventMask_t event, wsfMsgHdr_t *pMsg)
r441_hybrid	DmHandlerInit	global	409	void DmHandlerInit(wsfHandlerId_t handlerId)
r441_hybrid	DmHostAddrType	global	502	uint8_t DmHostAddrType(uint8_t addrType)
r441_hybrid	DmInitPhyToIdx	global	627	uint8_t DmInitPhyToIdx(uint8_t initPhy)
r441_hybrid	DmLlAddrType	global	473	uint8_t DmLlAddrType(uint8_t addrType)
r441_hybrid	DmLlPrivEnabled	global	459	bool_t DmLlPrivEnabled(void)
r441_hybrid	DmRegister	global	345	void DmRegister(dmCback_t cback)
r441_hybrid	DmScanPhyToIdx	global	585	uint8_t DmScanPhyToIdx(uint8_t scanPhy)
r441_hybrid	DmSizeOfEvt	global	531	uint16_t DmSizeOfEvt(dmEvt_t *pDmEvt)
r441_hybrid	dmDevPassHciEvtToConn	global	330	void dmDevPassHciEvtToConn(hciEvt_t *pEvent)
r441_hybrid	dmEmptyHandler	global	316	void dmEmptyHandler(wsfMsgHdr_t *pMsg)
r441_hybrid	dmEmptyReset	global	302	void dmEmptyReset(void)
r441_hybrid	dmHciEvtCback	static	283	static void dmHciEvtCback(hciEvt_t *pEvent)
r441_hybrid	dmInitPhyToIdx	global	600	uint8_t dmInitPhyToIdx(uint8_t numPhys, uint8_t initPhy)
r441_hybrid	dmScanPhyToIdx	static	558	static uint8_t dmScanPhyToIdx(uint8_t numPhys, uint8_t scanPhy)
r20_public	DmFindAdType	global	371	uint8_t *DmFindAdType(uint8_t adType, uint16_t dataLen, uint8_t *pData)
r20_public	DmHandler	global	425	void DmHandler(wsfEventMask_t event, wsfMsgHdr_t *pMsg)
r20_public	DmHandlerInit	global	403	void DmHandlerInit(wsfHandlerId_t handlerId)
r20_public	DmHostAddrType	global	496	uint8_t DmHostAddrType(uint8_t addrType)
r20_public	DmInitPhyToIdx	global	621	uint8_t DmInitPhyToIdx(uint8_t initPhy)
r20_public	DmLlAddrType	global	467	uint8_t DmLlAddrType(uint8_t addrType)
r20_public	DmLlPrivEnabled	global	453	bool_t DmLlPrivEnabled(void)
r20_public	DmRegister	global	339	void DmRegister(dmCback_t cback)
r20_public	DmScanPhyToIdx	global	579	uint8_t DmScanPhyToIdx(uint8_t scanPhy)
r20_public	DmSizeOfEvt	global	525	uint16_t DmSizeOfEvt(dmEvt_t *pDmEvt)
r20_public	dmDevPassHciEvtToConn	global	324	void dmDevPassHciEvtToConn(hciEvt_t *pEvent)
r20_public	dmEmptyHandler	global	310	void dmEmptyHandler(wsfMsgHdr_t *pMsg)
r20_public	dmEmptyReset	global	296	void dmEmptyReset(void)
r20_public	dmHciEvtCback	static	277	static void dmHciEvtCback(hciEvt_t *pEvent)
r20_public	dmInitPhyToIdx	global	594	uint8_t dmInitPhyToIdx(uint8_t numPhys, uint8_t initPhy)
r20_public	dmScanPhyToIdx	static	552	static uint8_t dmScanPhyToIdx(uint8_t numPhys, uint8_t scanPhy)
