profile	function	candidate_text_bytes	status
Os	DmPrivAddDevToResList	96	standalone
Os	DmPrivClearResList	36	standalone
Os	DmPrivGenerateAddr	52	standalone
Os	DmPrivInit	36	standalone
Os	DmPrivReadLocalResolvableAddr	4	standalone
Os	DmPrivReadPeerResolvableAddr	4	standalone
Os	DmPrivRemDevFromResList	56	standalone
Os	DmPrivResolveAddr	64	standalone
Os	DmPrivSetAddrResEnable	44	standalone
Os	DmPrivSetPrivacyMode	56	standalone
Os	DmPrivSetResolvablePrivateAddrTimeout	4	standalone
Os	dmPrivActAddDevToResList	32	standalone
Os	dmPrivActClearResList	4	standalone
Os	dmPrivActGenAddr	104	standalone
Os	dmPrivActRemDevFromResList	20	standalone
Os	dmPrivActResolveAddr	108	standalone
Os	dmPrivActSetAddrResEnable	16	standalone
Os	dmPrivActSetPrivacyMode	10	standalone
Os	dmPrivAesActGenAddrAesCmpl	64	standalone
Os	dmPrivAesActResAddrAesCmpl	60	standalone
Os	dmPrivAesMsgHandler	20	standalone
Os	dmPrivHciHandler	160	standalone
Os	dmPrivMsgHandler	20	standalone
Os	dmPrivReset	20	standalone
Os	dmPrivSetAddrResEnable		inlined_or_absent
O1	DmPrivAddDevToResList	88	standalone
O1	DmPrivClearResList	32	standalone
O1	DmPrivGenerateAddr	48	standalone
O1	DmPrivInit	36	standalone
O1	DmPrivReadLocalResolvableAddr	8	standalone
O1	DmPrivReadPeerResolvableAddr	8	standalone
O1	DmPrivRemDevFromResList	52	standalone
O1	DmPrivResolveAddr	60	standalone
O1	DmPrivSetAddrResEnable	40	standalone
O1	DmPrivSetPrivacyMode	52	standalone
O1	DmPrivSetResolvablePrivateAddrTimeout	8	standalone
O1	dmPrivActAddDevToResList	36	standalone
O1	dmPrivActClearResList	8	standalone
O1	dmPrivActGenAddr	116	standalone
O1	dmPrivActRemDevFromResList	24	standalone
O1	dmPrivActResolveAddr	112	standalone
O1	dmPrivActSetAddrResEnable	20	standalone
O1	dmPrivActSetPrivacyMode	14	standalone
O1	dmPrivAesActGenAddrAesCmpl	64	standalone
O1	dmPrivAesActResAddrAesCmpl	56	standalone
O1	dmPrivAesMsgHandler	24	standalone
O1	dmPrivHciHandler	172	standalone
O1	dmPrivMsgHandler	24	standalone
O1	dmPrivReset	20	standalone
O1	dmPrivSetAddrResEnable		inlined_or_absent
