function	linkage	source_line	signature
DmPrivAddDevToResList	global	524	void DmPrivAddDevToResList(uint8_t addrType, const uint8_t *pIdentityAddr, uint8_t *pPeerIrk,
DmPrivClearResList	global	591	void DmPrivClearResList(void)
DmPrivGenerateAddr	global	719	void DmPrivGenerateAddr(uint8_t *pIrk, uint16_t param)
DmPrivInit	global	460	void DmPrivInit(void)
DmPrivReadLocalResolvableAddr	global	631	void DmPrivReadLocalResolvableAddr(uint8_t addrType, const uint8_t *pIdentityAddr)
DmPrivReadPeerResolvableAddr	global	614	void DmPrivReadPeerResolvableAddr(uint8_t addrType, const uint8_t *pIdentityAddr)
DmPrivRemDevFromResList	global	560	void DmPrivRemDevFromResList(uint8_t addrType, const uint8_t *pIdentityAddr, uint16_t param)
DmPrivResolveAddr	global	483	void DmPrivResolveAddr(uint8_t *pAddr, uint8_t *pIrk, uint16_t param)
DmPrivSetAddrResEnable	global	652	void DmPrivSetAddrResEnable(bool_t enable)
DmPrivSetPrivacyMode	global	695	void DmPrivSetPrivacyMode(uint8_t addrType, const uint8_t *pIdentityAddr, uint8_t mode)
DmPrivSetResolvablePrivateAddrTimeout	global	674	void DmPrivSetResolvablePrivateAddrTimeout(uint16_t rpaTimeout)
dmPrivActAddDevToResList	global	168	void dmPrivActAddDevToResList(dmPrivMsg_t *pMsg)
dmPrivActClearResList	global	211	void dmPrivActClearResList(dmPrivMsg_t *pMsg)
dmPrivActGenAddr	global	260	void dmPrivActGenAddr(dmPrivMsg_t *pMsg)
dmPrivActRemDevFromResList	global	191	void dmPrivActRemDevFromResList(dmPrivMsg_t *pMsg)
dmPrivActResolveAddr	global	100	void dmPrivActResolveAddr(dmPrivMsg_t *pMsg)
dmPrivActSetAddrResEnable	global	226	void dmPrivActSetAddrResEnable(dmPrivMsg_t *pMsg)
dmPrivActSetPrivacyMode	global	243	void dmPrivActSetPrivacyMode(dmPrivMsg_t *pMsg)
dmPrivAesActGenAddrAesCmpl	global	298	void dmPrivAesActGenAddrAesCmpl(dmPrivMsg_t *pMsg)
dmPrivAesActResAddrAesCmpl	global	139	void dmPrivAesActResAddrAesCmpl(dmPrivMsg_t *pMsg)
dmPrivAesMsgHandler	global	447	void dmPrivAesMsgHandler(wsfMsgHdr_t *pMsg)
dmPrivHciHandler	global	324	void dmPrivHciHandler(hciEvt_t *pEvent)
dmPrivMsgHandler	global	418	void dmPrivMsgHandler(wsfMsgHdr_t *pMsg)
dmPrivReset	global	431	void dmPrivReset(void)
dmPrivSetAddrResEnable	static	400	static void dmPrivSetAddrResEnable(bool_t enable)
