profile	function	candidate_text_bytes	status
Os	DmSecCalcOobReq	152	standalone
Os	DmSecCompareRsp	48	standalone
Os	DmSecGenerateEccKeyReq	16	standalone
Os	DmSecGetCompareValue	40	standalone
Os	DmSecGetEccKey	8	standalone
Os	DmSecKeypressReq	32	standalone
Os	DmSecLescInit	16	standalone
Os	DmSecSetDebugEccKey	108	standalone
Os	DmSecSetEccKey	16	standalone
Os	DmSecSetOob	4	standalone
Os	dmSecLescMsgHandler	88	standalone
O1	DmSecCalcOobReq	164	standalone
O1	DmSecCompareRsp	44	standalone
O1	DmSecGenerateEccKeyReq	20	standalone
O1	DmSecGetCompareValue	44	standalone
O1	DmSecGetEccKey	8	standalone
O1	DmSecKeypressReq	28	standalone
O1	DmSecLescInit	16	standalone
O1	DmSecSetDebugEccKey	120	standalone
O1	DmSecSetEccKey	20	standalone
O1	DmSecSetOob	8	standalone
O1	dmSecLescMsgHandler	92	standalone
