profile	function	candidate_text_bytes	status
Os	DmSecAuthRsp	68	standalone
Os	DmSecCancelReq	32	standalone
Os	DmSecGetLocalCsrk	12	standalone
Os	DmSecGetLocalIrk	12	standalone
Os	DmSecInit	32	standalone
Os	DmSecSetLocalCsrk	24	standalone
Os	DmSecSetLocalIrk	24	standalone
Os	DmSmpCbackExec	48	standalone
Os	dmSecApiLtkMsg	64	standalone
Os	dmSecHciHandler	212	standalone
Os	dmSecMsgHandler	100	standalone
Os	dmSecReset	4	standalone
O1	DmSecAuthRsp	68	standalone
O1	DmSecCancelReq	28	standalone
O1	DmSecGetLocalCsrk	12	standalone
O1	DmSecGetLocalIrk	12	standalone
O1	DmSecInit	32	standalone
O1	DmSecSetLocalCsrk	24	standalone
O1	DmSecSetLocalIrk	24	standalone
O1	DmSmpCbackExec	48	standalone
O1	dmSecApiLtkMsg	60	standalone
O1	dmSecHciHandler	216	standalone
O1	dmSecMsgHandler	94	standalone
O1	dmSecReset	8	standalone
