profile	function	candidate_size	stock_size	absolute_size_delta	raw_match_possible_by_size	normalized_compare
Os	smpDbStartServiceTimer	24			not_applicable	not_run_readiness_probe_only
O1	smpDbStartServiceTimer	32			not_applicable	not_run_readiness_probe_only
Os	smpDbRecordInUse	22			not_applicable	not_run_readiness_probe_only
O1	smpDbRecordInUse	26			not_applicable	not_run_readiness_probe_only
Os	smpDbAddDevice	inlined_or_absent	326		not_applicable	not_run_readiness_probe_only
O1	smpDbAddDevice	inlined_or_absent	326		not_applicable	not_run_readiness_probe_only
Os	smpDbGetRecord	164	716	-552	no	not_run_readiness_probe_only
O1	smpDbGetRecord	164	716	-552	no	not_run_readiness_probe_only
Os	SmpDbInit	56			not_applicable	not_run_readiness_probe_only
O1	SmpDbInit	64			not_applicable	not_run_readiness_probe_only
Os	SmpDbGetPairingDisabledTime	32	340	-308	no	not_run_readiness_probe_only
O1	SmpDbGetPairingDisabledTime	32	340	-308	no	not_run_readiness_probe_only
Os	SmpDbSetFailureCount	44	344	-300	no	not_run_readiness_probe_only
O1	SmpDbSetFailureCount	44	344	-300	no	not_run_readiness_probe_only
Os	SmpDbGetFailureCount	28	324	-296	no	not_run_readiness_probe_only
O1	SmpDbGetFailureCount	28	324	-296	no	not_run_readiness_probe_only
Os	SmpDbMaxAttemptReached	80	362	-282	no	not_run_readiness_probe_only
O1	SmpDbMaxAttemptReached	80	362	-282	no	not_run_readiness_probe_only
Os	SmpDbPairingFailed	36	276	-240	no	not_run_readiness_probe_only
O1	SmpDbPairingFailed	36	276	-240	no	not_run_readiness_probe_only
Os	SmpDbService	132			not_applicable	not_run_readiness_probe_only
O1	SmpDbService	140			not_applicable	not_run_readiness_probe_only
Os	SmpDbRemoveAllDevices	36			not_applicable	not_run_readiness_probe_only
O1	SmpDbRemoveAllDevices	40			not_applicable	not_run_readiness_probe_only
Os	SmpDbRemoveDevice	72			not_applicable	not_run_readiness_probe_only
O1	SmpDbRemoveDevice	72			not_applicable	not_run_readiness_probe_only
