symbol	provider	closure_probe
BdaCmp	WSF BDA utility	resolved_by_local_stub
BdaCpy	WSF BDA utility	resolved_by_local_stub
DmConnPeerAddr	DM connection API	resolved_by_local_stub
DmConnPeerAddrType	DM connection API	resolved_by_local_stub
DmHostAddrType	DM address API	resolved_by_local_stub
WsfTimerStartMs	WSF timer	resolved_by_local_stub
WsfTimerStop	WSF timer	resolved_by_local_stub
WsfTrace	WSF trace	resolved_by_local_stub
memset	freestanding C runtime or SDK	resolved_by_local_stub
pSmpCfg	SMP configuration object	resolved_by_local_stub
smpCb	SMP control block	resolved_by_local_stub
