profile	symbol	type	size
Os	smpMsgAlloc	T	6
Os	smpStateIdle	T	12
Os	smpPktLenTbl	R	15
Os	SmpDmMsgSend	T	16
Os	smpCcbByConnId	T	16
Os	SmpDmEncryptInd	T	20
Os	SmpDmLescEnabled	T	24
Os	SmpDmGetLtk	T	32
Os	smpCcbByHandle	T	32
Os	smpGetScSecLevel	T	36
Os	smpSendPkt	T	64
Os	SmpHandlerInit	T	76
Os	smpCalcS1	T	80
Os	smpGenerateLtk	T	86
Os	smpL2cCtrlCback	t	88
Os	SmpDmGetStk	T	92
Os	SmpHandler	T	104
Os	smpL2cDataCback	t	108
Os	smpDmConnCback	t	248
Os	smpCb	B	252
Os	smpCalcC1Part2	T	272
Os	smpCalcC1Part1	T	276
O1	smpMsgAlloc	T	10
O1	smpStateIdle	T	12
O1	smpPktLenTbl	R	15
O1	smpCcbByConnId	T	16
O1	SmpDmMsgSend	T	20
O1	SmpDmEncryptInd	T	24
O1	SmpDmLescEnabled	T	28
O1	smpCcbByHandle	T	28
O1	SmpDmGetLtk	T	36
O1	smpGetScSecLevel	T	38
O1	smpSendPkt	T	60
O1	smpCalcS1	T	88
O1	smpGenerateLtk	T	94
O1	SmpHandlerInit	T	96
O1	smpL2cCtrlCback	t	100
O1	smpL2cDataCback	t	116
O1	SmpDmGetStk	T	124
O1	SmpHandler	T	124
O1	smpCb	B	252
O1	smpDmConnCback	t	268
O1	smpCalcC1Part1	T	288
O1	smpCalcC1Part2	T	292
hybrid-Os	smpMsgAlloc	T	6
hybrid-Os	smpStateIdle	T	12
hybrid-Os	smpPktLenTbl	R	15
hybrid-Os	SmpDmMsgSend	T	16
hybrid-Os	smpCcbByConnId	T	16
hybrid-Os	SmpDmEncryptInd	T	20
hybrid-Os	SmpDmLescEnabled	T	24
hybrid-Os	SmpDmGetLtk	T	32
hybrid-Os	smpCcbByHandle	T	32
hybrid-Os	smpGetScSecLevel	T	36
hybrid-Os	smpSendPkt	T	64
hybrid-Os	SmpHandlerInit	T	76
hybrid-Os	smpCalcS1	T	80
hybrid-Os	smpGenerateLtk	T	86
hybrid-Os	smpL2cCtrlCback	t	88
hybrid-Os	SmpDmGetStk	T	92
hybrid-Os	smpL2cDataCback	t	108
hybrid-Os	SmpHandler	T	136
hybrid-Os	smpDmConnCback	t	248
hybrid-Os	smpCb	B	252
hybrid-Os	smpCalcC1Part2	T	272
hybrid-Os	smpCalcC1Part1	T	276
hybrid-O1	smpMsgAlloc	T	10
hybrid-O1	smpStateIdle	T	12
hybrid-O1	smpPktLenTbl	R	15
hybrid-O1	smpCcbByConnId	T	16
hybrid-O1	SmpDmMsgSend	T	20
hybrid-O1	SmpDmEncryptInd	T	24
hybrid-O1	SmpDmLescEnabled	T	28
hybrid-O1	smpCcbByHandle	T	28
hybrid-O1	SmpDmGetLtk	T	36
hybrid-O1	smpGetScSecLevel	T	38
hybrid-O1	smpSendPkt	T	60
hybrid-O1	smpCalcS1	T	88
hybrid-O1	smpGenerateLtk	T	94
hybrid-O1	SmpHandlerInit	T	96
hybrid-O1	smpL2cCtrlCback	t	100
hybrid-O1	smpL2cDataCback	t	116
hybrid-O1	SmpDmGetStk	T	124
hybrid-O1	SmpHandler	T	164
hybrid-O1	smpCb	B	252
hybrid-O1	smpDmConnCback	t	268
hybrid-O1	smpCalcC1Part1	T	288
hybrid-O1	smpCalcC1Part2	T	292
