lane	config	function	start	end	candidate_symbol	evidence	candidate_size	stock_size	size_delta	raw_match	strict_normalized_match	candidate_sha256	stock_sha256	candidate_normalized_sha256	stock_normalized_sha256	compile_ns	link_ns	assert_object_sha256	trace_object_sha256	linked_sha256
stockabi_1024__O0	O0	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	100	54	46	no	no	61141dea187162bd9de17aad79a5c50b1fefc74dceb8738beaae6ab5a443a092	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	38d949e146587433838d9feede62cac1805c7bf1dfeab3c7bdc09c535e2c7830	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	60932407	13158929	877c1019cc0b6cef7362990f72c6aa7647c5528c3d5cef135cf241b46c056469	33d49d86ddc7707be8dd3d7330b1c07ec7c10f74c357d622fc0550b003efca1b	f090696451a4b62c2e158a26864cb942358a2022ac16c74ca2af248c1b889932
stockabi_1024__O0	O0	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	36	154	-118	no	no	d0fc64263fd4823c9dff9e1cbfd9f796e43a3651e705a647c57fffb02789e5e3	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	bcb25ee6bbe190042d10c94519abe355b77d14452c7058ca1401c49ed91f4266	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	60932407	13158929	877c1019cc0b6cef7362990f72c6aa7647c5528c3d5cef135cf241b46c056469	33d49d86ddc7707be8dd3d7330b1c07ec7c10f74c357d622fc0550b003efca1b	f090696451a4b62c2e158a26864cb942358a2022ac16c74ca2af248c1b889932
stockabi_1024__O1	O1	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	72	54	18	no	no	b0be16073d13626169b635934f04da63c0f25367ef8ce32c347b343477fe50a3	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	cae6e8d38ed617793ae02bd5917a3433b5004acc4df32e8f63ef1ec8b3ef2260	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	70464033	12870936	db0bdf81ccb0335da540fd50404c073caa2219d1733dd91553a2811da3be7ed8	c88502bc74d6b7a86cefe46d718d81071ea1725f35cf334e406d918abb0baa7e	03d0727138cf0aea4cf33fbe758d0868b70274cef13fede7103d7535145b2452
stockabi_1024__O1	O1	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	20	154	-134	no	no	0f8dc8783555659d15a8c5dcdef8eda17688aca0cfda3d60578f26a27830e868	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	54a9791e9e2647ca1f5e9bddab0edf1ad60ff13b7312d2bf2fa2ed0e75820405	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	70464033	12870936	db0bdf81ccb0335da540fd50404c073caa2219d1733dd91553a2811da3be7ed8	c88502bc74d6b7a86cefe46d718d81071ea1725f35cf334e406d918abb0baa7e	03d0727138cf0aea4cf33fbe758d0868b70274cef13fede7103d7535145b2452
stockabi_1024__Og	Og	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	72	54	18	no	no	b0be16073d13626169b635934f04da63c0f25367ef8ce32c347b343477fe50a3	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	cae6e8d38ed617793ae02bd5917a3433b5004acc4df32e8f63ef1ec8b3ef2260	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	64414616	12758595	db0bdf81ccb0335da540fd50404c073caa2219d1733dd91553a2811da3be7ed8	ad7b40f1eee232c45683518e638614cbb65cb201dac65e10fc96d3711e5fc0a2	5d31c2569b75b2a2b87dc8fb94af3c8e57b11abdba18ac4ea8c08e27d7fcf7ea
stockabi_1024__Og	Og	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	20	154	-134	no	no	0f8dc8783555659d15a8c5dcdef8eda17688aca0cfda3d60578f26a27830e868	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	54a9791e9e2647ca1f5e9bddab0edf1ad60ff13b7312d2bf2fa2ed0e75820405	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	64414616	12758595	db0bdf81ccb0335da540fd50404c073caa2219d1733dd91553a2811da3be7ed8	ad7b40f1eee232c45683518e638614cbb65cb201dac65e10fc96d3711e5fc0a2	5d31c2569b75b2a2b87dc8fb94af3c8e57b11abdba18ac4ea8c08e27d7fcf7ea
stockabi_1024__Og_nosibling	Og_nosibling	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	72	54	18	no	no	b0be16073d13626169b635934f04da63c0f25367ef8ce32c347b343477fe50a3	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	cae6e8d38ed617793ae02bd5917a3433b5004acc4df32e8f63ef1ec8b3ef2260	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	62566675	13339069	db0bdf81ccb0335da540fd50404c073caa2219d1733dd91553a2811da3be7ed8	ad7b40f1eee232c45683518e638614cbb65cb201dac65e10fc96d3711e5fc0a2	5d31c2569b75b2a2b87dc8fb94af3c8e57b11abdba18ac4ea8c08e27d7fcf7ea
stockabi_1024__Og_nosibling	Og_nosibling	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	20	154	-134	no	no	0f8dc8783555659d15a8c5dcdef8eda17688aca0cfda3d60578f26a27830e868	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	54a9791e9e2647ca1f5e9bddab0edf1ad60ff13b7312d2bf2fa2ed0e75820405	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	62566675	13339069	db0bdf81ccb0335da540fd50404c073caa2219d1733dd91553a2811da3be7ed8	ad7b40f1eee232c45683518e638614cbb65cb201dac65e10fc96d3711e5fc0a2	5d31c2569b75b2a2b87dc8fb94af3c8e57b11abdba18ac4ea8c08e27d7fcf7ea
stockabi_1024__O2	O2	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	72	54	18	no	no	44a0d67b6c1ac33e2e77a7ba9ea5d1db088d5b85f0a2ac2fad73e2e13be93a5c	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	112c268c9c1cd01075e34201e5860ba5e40c94e46deec75fbced9e8a601b9cdb	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	75461797	14694822	dae39310f7e25478ba7d8565e1dbe1dd490d0fd40a41bddde5def12a1ba97563	67ba134436ed0bbe8c2a53c569ae5bddd8ae339ce29811bfb893a84d7adde0ac	fc91fd0b17d705893f6cb0f29a000aedff65fc4ae3feac40ab9ceea6eaea7e5a
stockabi_1024__O2	O2	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	20	154	-134	no	no	44e17c61a76af4a5c682f85103366909d94388a354b892afbcb707dc46988350	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	5b8881fc82acb88d81810f075a96aedf89c96b1fbc577bb25375f54b36ddbd4f	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	75461797	14694822	dae39310f7e25478ba7d8565e1dbe1dd490d0fd40a41bddde5def12a1ba97563	67ba134436ed0bbe8c2a53c569ae5bddd8ae339ce29811bfb893a84d7adde0ac	fc91fd0b17d705893f6cb0f29a000aedff65fc4ae3feac40ab9ceea6eaea7e5a
