lane	config	translation_unit	symbol	size
stockabi_1024__O0	O0	wsf_assert	WsfAssert	36
stockabi_1024__O0	O0	wsf_trace	WsfTrace	100
stockabi_1024__O0	O0	wsf_trace	WsfPacketTrace	104
stockabi_1024__O1	O1	wsf_assert	WsfAssert	20
stockabi_1024__O1	O1	wsf_trace	WsfTrace	72
stockabi_1024__O1	O1	wsf_trace	WsfPacketTrace	84
stockabi_1024__Og	Og	wsf_assert	WsfAssert	20
stockabi_1024__Og	Og	wsf_trace	WsfPacketTrace	68
stockabi_1024__Og	Og	wsf_trace	WsfTrace	72
stockabi_1024__Og_nosibling	Og_nosibling	wsf_assert	WsfAssert	20
stockabi_1024__Og_nosibling	Og_nosibling	wsf_trace	WsfPacketTrace	68
stockabi_1024__Og_nosibling	Og_nosibling	wsf_trace	WsfTrace	72
stockabi_1024__O2	O2	wsf_assert	WsfAssert	20
stockabi_1024__O2	O2	wsf_trace	WsfTrace	72
stockabi_1024__O2	O2	wsf_trace	WsfPacketTrace	84
stockabi_1024__O2_noinline	O2_noinline	wsf_assert	WsfAssert	20
stockabi_1024__O2_noinline	O2_noinline	wsf_trace	WsfTrace	72
stockabi_1024__O2_noinline	O2_noinline	wsf_trace	WsfPacketTrace	84
stockabi_1024__O3	O3	wsf_assert	WsfAssert	20
stockabi_1024__O3	O3	wsf_trace	WsfTrace	72
stockabi_1024__O3	O3	wsf_trace	WsfPacketTrace	108
stockabi_1024__O3_noinline	O3_noinline	wsf_assert	WsfAssert	20
stockabi_1024__O3_noinline	O3_noinline	wsf_trace	WsfTrace	72
stockabi_1024__O3_noinline	O3_noinline	wsf_trace	WsfPacketTrace	108
stockabi_1024__Os	Os	wsf_assert	WsfAssert	20
stockabi_1024__Os	Os	wsf_trace	WsfTrace	72
stockabi_1024__Os	Os	wsf_trace	WsfPacketTrace	80
stockabi_1024__Os_noinline	Os_noinline	wsf_assert	WsfAssert	20
stockabi_1024__Os_noinline	Os_noinline	wsf_trace	WsfTrace	72
stockabi_1024__Os_noinline	Os_noinline	wsf_trace	WsfPacketTrace	80
stockabi_1024__Os_nosibling	Os_nosibling	wsf_assert	WsfAssert	20
stockabi_1024__Os_nosibling	Os_nosibling	wsf_trace	WsfTrace	72
stockabi_1024__Os_nosibling	Os_nosibling	wsf_trace	WsfPacketTrace	80
stockabi_1024__Oz	Oz	wsf_assert	WsfAssert	20
stockabi_1024__Oz	Oz	wsf_trace	WsfTrace	72
stockabi_1024__Oz	Oz	wsf_trace	WsfPacketTrace	80
stockabi_1024__Oz_nosibling	Oz_nosibling	wsf_assert	WsfAssert	20
stockabi_1024__Oz_nosibling	Oz_nosibling	wsf_trace	WsfTrace	72
stockabi_1024__Oz_nosibling	Oz_nosibling	wsf_trace	WsfPacketTrace	80
