lane	variant	config	function	start	end	candidate_symbol	evidence	candidate_size	stock_size	size_delta	raw_match	strict_normalized_match	candidate_sha256	stock_sha256	candidate_normalized_sha256	stock_normalized_sha256	compile_ns	link_ns	object_sha256	linked_sha256
archive_notrace__O0	archive_notrace	O0	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	364	226	138	no	no	3b33a2424f601a6f34ab9a294dc7ccfc71c650234ed75c92d12c3266fab1a953	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	aeb29530da038a99f794f48c73fc224577c29cf2142b08ee2249a2f2e3db46f0	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	44736208	13467301	97941cb8a33cf30120bc1575922a86b2c4b037d58c3aa997788a54f28cc5f97f	884bb6c1cf1546152a3ecd2f40eba5ba9fdd5364299ef7eb6fa6bdd533835301
archive_notrace__O0	archive_notrace	O0	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	124	142	-18	no	no	c12a7b22ecf3abce76c913d4734ea6bccf0d915bed64898e52c26f987cfeb370	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	ed4e64bc0d28e58268b8b1d558cfb5497ef4f08824a27725099f6837f395ae36	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	44736208	13467301	97941cb8a33cf30120bc1575922a86b2c4b037d58c3aa997788a54f28cc5f97f	884bb6c1cf1546152a3ecd2f40eba5ba9fdd5364299ef7eb6fa6bdd533835301
archive_notrace__O0	archive_notrace	O0	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	112	62	50	no	no	d8733c8c418c4ae0bf26ee1038f4e7795a74d31515b578630876fdf4099b99c7	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	65b585c6db21daff1f31025640a889cfccc98cfb83f452e30b7b5090594e1548	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	44736208	13467301	97941cb8a33cf30120bc1575922a86b2c4b037d58c3aa997788a54f28cc5f97f	884bb6c1cf1546152a3ecd2f40eba5ba9fdd5364299ef7eb6fa6bdd533835301
archive_notrace__O1	archive_notrace	O1	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	236	226	10	no	no	420dd8bc7d41277f05b314e717acf6221d3dc37fd315423f67a11f10771c456f	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	8ceac12d78ec0a9b85dcebde51854bbab18478435943ef45c4bb999aee3514cc	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	63219999	10297890	d03bfde4609c30891e6796bfa22b9b902862a1aa095c35acc9a7f0212a2547e5	8fe9402d302b1ceffdbbd813e8809c555c5ad4f43ee804b54b23dd2014240284
archive_notrace__O1	archive_notrace	O1	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	84	142	-58	no	no	51df71bbfebdbb6502c0a714e2072b1cf0431aa6b7a14f04feb3d939176b3522	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	b12c6f82a84cbb475ab4ffdfad1dccc5fef128ec979dc70d289f873853b01db1	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	63219999	10297890	d03bfde4609c30891e6796bfa22b9b902862a1aa095c35acc9a7f0212a2547e5	8fe9402d302b1ceffdbbd813e8809c555c5ad4f43ee804b54b23dd2014240284
archive_notrace__O1	archive_notrace	O1	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	72	62	10	no	no	93eb584f53737e463e279f011a91c58fd6d7b343b8c0498b6c8cfd8ad99a96a9	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	b78edec86bc7213e0c97938c8b49e0df45fcb9b4c9b8d97edd61e5135ce8b56a	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	63219999	10297890	d03bfde4609c30891e6796bfa22b9b902862a1aa095c35acc9a7f0212a2547e5	8fe9402d302b1ceffdbbd813e8809c555c5ad4f43ee804b54b23dd2014240284
archive_notrace__Og	archive_notrace	Og	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	184	226	-42	no	no	831c3c63a5b05ca591dc07b8b64608c013f4c2af59c398a0e2e28639cf95126f	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	38e5c42992295270ba12f0c5b88b483d010f4f4044d7f74d9e915c09ed642826	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	50425496	10593588	0d66fb22db35f208f059e6b9d3f6f13dfb1b88b91729616bf0fa42276b20184f	9edec1352bd84221be4cb987cf0a8567c9a7cadad4bae06e87f014a792c6ff84
archive_notrace__Og	archive_notrace	Og	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	72	142	-70	no	no	a16bfabf1127a9f231d21ce0d520d791fd762fadf295602fb8b682e34d455871	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	f27183ba9465107fd2ac0dc4d53bd4b06ec7c2ca26f46f97e4e37b923c8fc099	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	50425496	10593588	0d66fb22db35f208f059e6b9d3f6f13dfb1b88b91729616bf0fa42276b20184f	9edec1352bd84221be4cb987cf0a8567c9a7cadad4bae06e87f014a792c6ff84
archive_notrace__Og	archive_notrace	Og	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	68	62	6	no	no	7d64423a59cfb7d2ec730b5d30d35e6ed55a30018790ff283215b7191adf4d1f	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	4936a419f04f850ce55b8451882f80778f3bd184eb951f1525f2e7eebdf84755	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	50425496	10593588	0d66fb22db35f208f059e6b9d3f6f13dfb1b88b91729616bf0fa42276b20184f	9edec1352bd84221be4cb987cf0a8567c9a7cadad4bae06e87f014a792c6ff84
archive_notrace__Og_nosibling	archive_notrace	Og_nosibling	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	184	226	-42	no	no	831c3c63a5b05ca591dc07b8b64608c013f4c2af59c398a0e2e28639cf95126f	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	38e5c42992295270ba12f0c5b88b483d010f4f4044d7f74d9e915c09ed642826	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	51796168	11115190	0d66fb22db35f208f059e6b9d3f6f13dfb1b88b91729616bf0fa42276b20184f	9edec1352bd84221be4cb987cf0a8567c9a7cadad4bae06e87f014a792c6ff84
