lane	variant	config	functions	exact_size	aggregate_abs_size_delta	raw_matches	strict_normalized_matches
archive_notrace__O0	archive_notrace	O0	3	0	206	0	0
archive_notrace__O1	archive_notrace	O1	3	0	78	0	0
archive_notrace__Og	archive_notrace	Og	3	0	118	0	0
archive_notrace__Og_nosibling	archive_notrace	Og_nosibling	3	0	118	0	0
archive_notrace__O2	archive_notrace	O2	3	0	102	0	0
archive_notrace__O2_noinline	archive_notrace	O2_noinline	3	0	102	0	0
archive_notrace__O3	archive_notrace	O3	3	0	82	0	0
archive_notrace__O3_noinline	archive_notrace	O3_noinline	3	0	82	0	0
archive_notrace__Os	archive_notrace	Os	3	0	142	0	0
archive_notrace__Os_noinline	archive_notrace	Os_noinline	3	0	142	0	0
archive_notrace__Os_nosibling	archive_notrace	Os_nosibling	3	0	138	0	0
archive_notrace__Oz	archive_notrace	Oz	3	0	142	0	0
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	3	0	138	0	0
stock_warn_seam__O0	stock_warn_seam	O0	3	0	214	0	0
stock_warn_seam__O1	stock_warn_seam	O1	3	0	38	0	0
stock_warn_seam__Og	stock_warn_seam	Og	3	0	74	0	0
stock_warn_seam__Og_nosibling	stock_warn_seam	Og_nosibling	3	0	74	0	0
stock_warn_seam__O2	stock_warn_seam	O2	3	0	54	0	0
stock_warn_seam__O2_noinline	stock_warn_seam	O2_noinline	3	0	54	0	0
stock_warn_seam__O3	stock_warn_seam	O3	3	0	34	0	0
stock_warn_seam__O3_noinline	stock_warn_seam	O3_noinline	3	0	34	0	0
stock_warn_seam__Os	stock_warn_seam	Os	3	0	98	0	0
stock_warn_seam__Os_noinline	stock_warn_seam	Os_noinline	3	0	98	0	0
stock_warn_seam__Os_nosibling	stock_warn_seam	Os_nosibling	3	0	94	0	0
stock_warn_seam__Oz	stock_warn_seam	Oz	3	0	98	0	0
stock_warn_seam__Oz_nosibling	stock_warn_seam	Oz_nosibling	3	0	94	0	0
