lane	variant	config	symbol	size
archive_notrace__O0	archive_notrace	O0	WsfBufGetAllocStats	6
archive_notrace__O0	archive_notrace	O0	WsfBufDiagRegister	10
archive_notrace__O0	archive_notrace	O0	WsfBufGetNumPool	12
archive_notrace__O0	archive_notrace	O0	WsfBufFree	112
archive_notrace__O0	archive_notrace	O0	WsfBufAlloc	124
archive_notrace__O0	archive_notrace	O0	WsfBufGetPoolStats	128
archive_notrace__O0	archive_notrace	O0	WsfBufInit	364
archive_notrace__O1	archive_notrace	O1	WsfBufDiagRegister	2
archive_notrace__O1	archive_notrace	O1	WsfBufGetAllocStats	4
archive_notrace__O1	archive_notrace	O1	WsfBufGetNumPool	12
archive_notrace__O1	archive_notrace	O1	WsfBufGetPoolStats	68
archive_notrace__O1	archive_notrace	O1	WsfBufFree	72
archive_notrace__O1	archive_notrace	O1	WsfBufAlloc	84
archive_notrace__O1	archive_notrace	O1	WsfBufInit	236
archive_notrace__Og	archive_notrace	Og	WsfBufDiagRegister	2
archive_notrace__Og	archive_notrace	Og	WsfBufGetAllocStats	4
archive_notrace__Og	archive_notrace	Og	WsfBufGetNumPool	12
archive_notrace__Og	archive_notrace	Og	WsfBufFree	68
archive_notrace__Og	archive_notrace	Og	WsfBufGetPoolStats	68
archive_notrace__Og	archive_notrace	Og	WsfBufAlloc	72
archive_notrace__Og	archive_notrace	Og	WsfBufInit	184
archive_notrace__Og_nosibling	archive_notrace	Og_nosibling	WsfBufDiagRegister	2
archive_notrace__Og_nosibling	archive_notrace	Og_nosibling	WsfBufGetAllocStats	4
archive_notrace__Og_nosibling	archive_notrace	Og_nosibling	WsfBufGetNumPool	12
archive_notrace__Og_nosibling	archive_notrace	Og_nosibling	WsfBufFree	68
archive_notrace__Og_nosibling	archive_notrace	Og_nosibling	WsfBufGetPoolStats	68
archive_notrace__Og_nosibling	archive_notrace	Og_nosibling	WsfBufAlloc	72
archive_notrace__Og_nosibling	archive_notrace	Og_nosibling	WsfBufInit	184
archive_notrace__O2	archive_notrace	O2	WsfBufDiagRegister	2
archive_notrace__O2	archive_notrace	O2	WsfBufGetAllocStats	4
archive_notrace__O2	archive_notrace	O2	WsfBufGetNumPool	12
archive_notrace__O2	archive_notrace	O2	WsfBufGetPoolStats	72
archive_notrace__O2	archive_notrace	O2	WsfBufFree	76
archive_notrace__O2	archive_notrace	O2	WsfBufAlloc	84
archive_notrace__O2	archive_notrace	O2	WsfBufInit	196
archive_notrace__O2_noinline	archive_notrace	O2_noinline	WsfBufDiagRegister	2
archive_notrace__O2_noinline	archive_notrace	O2_noinline	WsfBufGetAllocStats	4
archive_notrace__O2_noinline	archive_notrace	O2_noinline	WsfBufGetNumPool	12
archive_notrace__O2_noinline	archive_notrace	O2_noinline	WsfBufGetPoolStats	72
archive_notrace__O2_noinline	archive_notrace	O2_noinline	WsfBufFree	76
archive_notrace__O2_noinline	archive_notrace	O2_noinline	WsfBufAlloc	84
archive_notrace__O2_noinline	archive_notrace	O2_noinline	WsfBufInit	196
archive_notrace__O3	archive_notrace	O3	WsfBufDiagRegister	2
archive_notrace__O3	archive_notrace	O3	WsfBufGetAllocStats	4
archive_notrace__O3	archive_notrace	O3	WsfBufGetNumPool	12
archive_notrace__O3	archive_notrace	O3	WsfBufGetPoolStats	72
archive_notrace__O3	archive_notrace	O3	WsfBufFree	76
archive_notrace__O3	archive_notrace	O3	WsfBufAlloc	84
archive_notrace__O3	archive_notrace	O3	WsfBufInit	216
archive_notrace__O3_noinline	archive_notrace	O3_noinline	WsfBufDiagRegister	2
archive_notrace__O3_noinline	archive_notrace	O3_noinline	WsfBufGetAllocStats	4
archive_notrace__O3_noinline	archive_notrace	O3_noinline	WsfBufGetNumPool	12
archive_notrace__O3_noinline	archive_notrace	O3_noinline	WsfBufGetPoolStats	72
archive_notrace__O3_noinline	archive_notrace	O3_noinline	WsfBufFree	76
archive_notrace__O3_noinline	archive_notrace	O3_noinline	WsfBufAlloc	84
archive_notrace__O3_noinline	archive_notrace	O3_noinline	WsfBufInit	216
archive_notrace__Os	archive_notrace	Os	WsfBufDiagRegister	2
archive_notrace__Os	archive_notrace	Os	WsfBufGetAllocStats	4
archive_notrace__Os	archive_notrace	Os	WsfBufGetNumPool	12
archive_notrace__Os	archive_notrace	Os	WsfBufAlloc	68
archive_notrace__Os	archive_notrace	Os	WsfBufFree	68
archive_notrace__Os	archive_notrace	Os	WsfBufGetPoolStats	72
archive_notrace__Os	archive_notrace	Os	WsfBufInit	164
archive_notrace__Os_noinline	archive_notrace	Os_noinline	WsfBufDiagRegister	2
archive_notrace__Os_noinline	archive_notrace	Os_noinline	WsfBufGetAllocStats	4
archive_notrace__Os_noinline	archive_notrace	Os_noinline	WsfBufGetNumPool	12
archive_notrace__Os_noinline	archive_notrace	Os_noinline	WsfBufAlloc	68
archive_notrace__Os_noinline	archive_notrace	Os_noinline	WsfBufFree	68
archive_notrace__Os_noinline	archive_notrace	Os_noinline	WsfBufGetPoolStats	72
archive_notrace__Os_noinline	archive_notrace	Os_noinline	WsfBufInit	164
archive_notrace__Os_nosibling	archive_notrace	Os_nosibling	WsfBufDiagRegister	2
archive_notrace__Os_nosibling	archive_notrace	Os_nosibling	WsfBufGetAllocStats	4
archive_notrace__Os_nosibling	archive_notrace	Os_nosibling	WsfBufGetNumPool	12
archive_notrace__Os_nosibling	archive_notrace	Os_nosibling	WsfBufFree	64
archive_notrace__Os_nosibling	archive_notrace	Os_nosibling	WsfBufAlloc	68
archive_notrace__Os_nosibling	archive_notrace	Os_nosibling	WsfBufGetPoolStats	68
archive_notrace__Os_nosibling	archive_notrace	Os_nosibling	WsfBufInit	164
archive_notrace__Oz	archive_notrace	Oz	WsfBufDiagRegister	2
archive_notrace__Oz	archive_notrace	Oz	WsfBufGetAllocStats	4
archive_notrace__Oz	archive_notrace	Oz	WsfBufGetNumPool	12
archive_notrace__Oz	archive_notrace	Oz	WsfBufAlloc	68
archive_notrace__Oz	archive_notrace	Oz	WsfBufFree	68
archive_notrace__Oz	archive_notrace	Oz	WsfBufGetPoolStats	72
archive_notrace__Oz	archive_notrace	Oz	WsfBufInit	164
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufDiagRegister	2
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufGetAllocStats	4
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufGetNumPool	12
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufFree	64
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufAlloc	68
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufGetPoolStats	68
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufInit	164
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufGetAllocStats	6
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufDiagRegister	10
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufGetNumPool	12
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufFree	112
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufGetPoolStats	128
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufAlloc	168
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufInit	364
stock_warn_seam__O1	stock_warn_seam	O1	WsfBufDiagRegister	2
stock_warn_seam__O1	stock_warn_seam	O1	WsfBufGetAllocStats	4
