config	unit	function	start	end	candidate_symbol	candidate_size	stock_size	size_delta	raw_match	strict_normalized_match	candidate_sha256	stock_sha256	candidate_normalized_sha256	stock_normalized_sha256	compile_ns	link_ns	os_object_sha256	queue_object_sha256	linked_sha256
O0	wsf_os	WsfCsEnter	0x0052b8a4	0x0052b8b6	WsfCsEnter	32	18	14	no	no	a5aa61ea1e29bebdab1879805fda9834007f4ee30387b0a0cd9c5e9df44ffd0e	e0ff3f4fa338e939616823c70ae7fc13df075b7de32178db2810cf9eb39edb87	740c651603283a18f29de68183fcaad6226febfc474b7bca6a16354664c341ee	ecaf8feb6f26e60789b06550c8f5d908cf7d6913e4d9d2e720cf316635ebaca0	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
O0	wsf_os	WsfCsExit	0x0052b8b6	0x0052b8c8	WsfCsExit	32	18	14	no	no	de85b00abcc4a24d36365f884a36db9164f346ff7478c7063e9c3e3a581bf94b	8685a9a54cba4040bb297f58f5bc9e0d5beed1f46a7159363edc8f80648e824c	54d34de30e802745f7e5f3d0d5cbd3b2f84c51a4591d45de9e9091b46046929d	73e498637a31e7c030c730926d7834c10dc05c3f4c0cbf655a3556e4b43d9ce6	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
O0	wsf_os	WsfTaskLock	0x0052b8c8	0x0052b8d0	WsfTaskLock	10	8	2	no	no	b4e86d586fbc0895f6adbfea39efd86c5f38cebdaea69daa3e99bdb77dff86ad	4ae68a8cc15e75c482171f6fdd1e56d9bf7a9a787f56a9761e89af9833911f02	33bde3044f017aa8753dec3048a73bb17c54756ff99dfac0b1b7d30b55a838a1	022696e747ab8995c84888fefe1e49b1538690e052ef6bcbb4af6d0c94541069	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
O0	wsf_os	WsfTaskUnlock	0x0052b8d0	0x0052b8d8	WsfTaskUnlock	10	8	2	no	no	b4e86d586fbc0895f6adbfea39efd86c5f38cebdaea69daa3e99bdb77dff86ad	19785a8c5eb6c2e10cd274c554a5d7d1b649a94433f558511c02cdb5405397a1	33bde3044f017aa8753dec3048a73bb17c54756ff99dfac0b1b7d30b55a838a1	022696e747ab8995c84888fefe1e49b1538690e052ef6bcbb4af6d0c94541069	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
O0	wsf_os	WsfSetOsSpecificEvent	0x0052b8d8	0x0052b91e	WsfSetOsSpecificEvent	108	70	38	no	no	e3ea3a49848227264aec095857b37f5fd89c81fb90e02d3126bab68d8e4fb4f1	a7a1285078ac515a4fea7ad18a50ab44ec84ba9f1c39e07df875dfa0f8681465	94bfb1dd6558eb5d821b1c910f9df0b72b8080e294abd934644b214c375a36fb	5bab032b9a03b5da1e125a9f2f46925b105b213fc0e1b627f14929a7e3c1310e	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
O0	wsf_os	WsfSetEvent	0x0052b91e	0x0052b95e	WsfSetEvent	104	64	40	no	no	4efcd33ee71c9e5aebea3647a5e4698cf10b34de100cb29bcf96c478be94f827	62fda22da8f5aec6255e52e820a4570a593fa4637a710ce93ebfbdca428f7db8	67680271cbbc973b29d3e8ae73d0982ec4ddf2b0c4dedae3e13fd10b8353bae9	724f5a993959a0c2b9228dcf808ca0727989c8c92002333808523bc1b8e9945d	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
O0	wsf_os	WsfTaskSetReady	0x0052b95e	0x0052b97c	WsfTaskSetReady	64	30	34	no	no	7969d5be2c18024d2c3e1a8b71c3f81185e69f1b5feff59610d57935bba01df9	feaf10178e32248aebd53109fd9c1a95e1d757484102fc7a775203160e257ff7	cb61041565efb5023703d1f05273e69dea2dfc36375b9ad7dd0557321427821a	0639a0781d3e05d201e72ada9ed84a87c59621cfa0099c68397bebe84ed90129	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
O0	wsf_os	WsfTaskMsgQueue	0x0052b97c	0x0052b980	WsfTaskMsgQueue	20	4	16	no	no	df4e2e9869173f7f303b0d4a4f40d0fc7a8a473059430a11c4dee9fcb91bcd67	c38df642688ef2e1df139d8ba9e7854fe109c68c84bfe8e97010f955fa56291b	5cd44f81bddfe23f1fc639dfe2881f091347e7f172c0fd09570c98ef19688580	df329c59cf0ae884d28a341c86d7f784817e685c5d35445414c5570c45e4ee46	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
O0	wsf_os	WsfOsSetNextHandler	0x0052b980	0x0052b99e	WsfOsSetNextHandler	52	30	22	no	no	5903105d65560a8d175d71dde4954adcf9e7c07041d558160ab7d95f8b53cbf0	614f7f6c030d12ac7cb0ace224d26318a3089bc47a0d1fc24a17cf51cb7a396b	6f5b8ece02d2b30f07d4377cd97d764bb9c70470c77a4f9b0382c2b6e6f491ba	6f20c8e8b4cca9a3c57d5215c9a15858808a9905762264a6bd8c8961694d4f02	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
O0	wsf_os	wsfOsReadyToSleep	0x0052b99e	0x0052b9b2	wsfOsReadyToSleep	24	20	4	no	no	3721a8019ca183427501ca405d56f2d4d8161bb551a29f88dab8ec28470bf598	633892695925666e4dc9d7d89588807653985ae2321217b58b5c215bb6ab6ebc	b68f62f8bfa0e8a48d9522c8f587333693e17531d7a230b44fc6e2b96256473c	2ee7fe67a3ef343a69cf87889f2316f44515d27ec5c6d70f7c699b49eca4fb5a	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
O0	wsf_os	WsfOsInit	0x0052b9b2	0x0052b9d0	WsfOsInit	44	30	14	no	no	1372f732d1b01dd01cb6e63b1a029794b0517598c20af85a0beed05dbb660ffe	f9c905e97f08e91afc84d8c6df9ed24e71e26accbea503f8f423f98e8e8ff6bb	372aeca8b1ed5ea293f593579ad4bb5f6b2d3802fc2a7e105ccb2ccbc9023c9b	9a0606e882bde29307699799161a591e273941b5e42466ad9f77c1418086a549	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
O0	wsf_os	wsfOsDispatcher	0x0052b9d0	0x0052bab8	wsfOsDispatcher	340	232	108	no	no	112b60c58ab77921625b766586795d66b2c741aae6aeadf69410e1a6cd4a0c2a	49ba08ce0c35eb58c098babd1ad0e4d68c303c67bf8e2543be552511732474d8	5957333243944c7036e807fd52d40a722cedbf369ec6eb308b4d211c469a99e1	c52f0e9655fc23f90c04e7533369fcb2b5f4ae5dcf6b1d4a95e6a216b5dd0d73	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
O0	wsf_queue	WsfQueueEnq	0x00538c24	0x00538c4a	WsfQueueEnq	66	38	28	no	no	a2009ade897f870b7051ba4588ed4415d94e872c188046fadf21620f2b074ed2	30b8240daf336d4037b57b11a420f9adbddf40659ec964e078e736cbeeca94dd	2fc279d586128aacca779592541ff6978fb28850e1e2e40860ba035dc3787d74	1417a3153f994f11d983514fa775d65a7ca2245b4d06aa6314d5a7331ef90771	75535054	18847247	f185e24cabaea96949bbbae518c708b7b56f7d814f237574110c044212026995	5f7c42312b35c78d836619df4cd9b6c55bacc0e1042a9707b796f8f8721f7e67	b319a6b128781a01b8a15e9b3f3ff2474a769987ade06a1f8e52a51351d015df
