config	functions	os_functions	queue_functions	exact_size	os_exact_size	queue_exact_size	aggregate_abs_size_delta	os_abs_size_delta	queue_abs_size_delta	raw_matches	strict_normalized_matches
O0	18	12	6	0	0	0	464	308	156	0	0
O1	18	12	6	3	3	0	94	72	22	0	0
Og	18	12	6	5	3	2	86	72	14	0	0
Og_nosibling	18	12	6	5	3	2	86	72	14	0	0
O2	18	12	6	2	1	1	302	232	70	0	0
O2_noinline	18	12	6	2	1	1	122	80	42	0	0
O3	18	12	6	2	1	1	370	300	70	0	0
O3_noinline	18	12	6	2	1	1	122	80	42	0	0
Os	18	12	6	1	1	0	86	68	18	0	0
Os_noinline	18	12	6	1	1	0	82	64	18	0	0
Os_nosibling	18	12	6	4	3	1	74	52	22	0	0
Oz	18	12	6	1	1	0	86	68	18	0	0
Oz_nosibling	18	12	6	4	3	1	74	52	22	0	0
