unit	stock_name	start	end	candidate_symbol
wsf_os	WsfCsEnter	0x0052b8a4	0x0052b8b6	WsfCsEnter
wsf_os	WsfCsExit	0x0052b8b6	0x0052b8c8	WsfCsExit
wsf_os	WsfTaskLock	0x0052b8c8	0x0052b8d0	WsfTaskLock
wsf_os	WsfTaskUnlock	0x0052b8d0	0x0052b8d8	WsfTaskUnlock
wsf_os	WsfSetOsSpecificEvent	0x0052b8d8	0x0052b91e	WsfSetOsSpecificEvent
wsf_os	WsfSetEvent	0x0052b91e	0x0052b95e	WsfSetEvent
wsf_os	WsfTaskSetReady	0x0052b95e	0x0052b97c	WsfTaskSetReady
wsf_os	WsfTaskMsgQueue	0x0052b97c	0x0052b980	WsfTaskMsgQueue
wsf_os	WsfOsSetNextHandler	0x0052b980	0x0052b99e	WsfOsSetNextHandler
wsf_os	wsfOsReadyToSleep	0x0052b99e	0x0052b9b2	wsfOsReadyToSleep
wsf_os	WsfOsInit	0x0052b9b2	0x0052b9d0	WsfOsInit
wsf_os	wsfOsDispatcher	0x0052b9d0	0x0052bab8	wsfOsDispatcher
wsf_queue	WsfQueueEnq	0x00538c24	0x00538c4a	WsfQueueEnq
wsf_queue	WsfQueueDeq	0x00538c4a	0x00538c6e	WsfQueueDeq
wsf_queue	WsfQueuePush	0x00538c6e	0x00538c8c	WsfQueuePush
wsf_queue	WsfQueueInsert	0x00538c8c	0x00538cc8	WsfQueueInsert
wsf_queue	WsfQueueRemove	0x00538cc8	0x00538cf6	WsfQueueRemove
wsf_queue	WsfQueueCount	0x00538cf6	0x00538d16	WsfQueueCount
