unit	function	start	end	stock_size	stock_sha256	stock_normalized_sha256
wsf_os	WsfCsEnter	0x0052b8a4	0x0052b8b6	18	e0ff3f4fa338e939616823c70ae7fc13df075b7de32178db2810cf9eb39edb87	ecaf8feb6f26e60789b06550c8f5d908cf7d6913e4d9d2e720cf316635ebaca0
wsf_os	WsfCsExit	0x0052b8b6	0x0052b8c8	18	8685a9a54cba4040bb297f58f5bc9e0d5beed1f46a7159363edc8f80648e824c	73e498637a31e7c030c730926d7834c10dc05c3f4c0cbf655a3556e4b43d9ce6
wsf_os	WsfTaskLock	0x0052b8c8	0x0052b8d0	8	4ae68a8cc15e75c482171f6fdd1e56d9bf7a9a787f56a9761e89af9833911f02	022696e747ab8995c84888fefe1e49b1538690e052ef6bcbb4af6d0c94541069
wsf_os	WsfTaskUnlock	0x0052b8d0	0x0052b8d8	8	19785a8c5eb6c2e10cd274c554a5d7d1b649a94433f558511c02cdb5405397a1	022696e747ab8995c84888fefe1e49b1538690e052ef6bcbb4af6d0c94541069
wsf_os	WsfSetOsSpecificEvent	0x0052b8d8	0x0052b91e	70	a7a1285078ac515a4fea7ad18a50ab44ec84ba9f1c39e07df875dfa0f8681465	5bab032b9a03b5da1e125a9f2f46925b105b213fc0e1b627f14929a7e3c1310e
wsf_os	WsfSetEvent	0x0052b91e	0x0052b95e	64	62fda22da8f5aec6255e52e820a4570a593fa4637a710ce93ebfbdca428f7db8	724f5a993959a0c2b9228dcf808ca0727989c8c92002333808523bc1b8e9945d
wsf_os	WsfTaskSetReady	0x0052b95e	0x0052b97c	30	feaf10178e32248aebd53109fd9c1a95e1d757484102fc7a775203160e257ff7	0639a0781d3e05d201e72ada9ed84a87c59621cfa0099c68397bebe84ed90129
wsf_os	WsfTaskMsgQueue	0x0052b97c	0x0052b980	4	c38df642688ef2e1df139d8ba9e7854fe109c68c84bfe8e97010f955fa56291b	df329c59cf0ae884d28a341c86d7f784817e685c5d35445414c5570c45e4ee46
wsf_os	WsfOsSetNextHandler	0x0052b980	0x0052b99e	30	614f7f6c030d12ac7cb0ace224d26318a3089bc47a0d1fc24a17cf51cb7a396b	6f20c8e8b4cca9a3c57d5215c9a15858808a9905762264a6bd8c8961694d4f02
wsf_os	wsfOsReadyToSleep	0x0052b99e	0x0052b9b2	20	633892695925666e4dc9d7d89588807653985ae2321217b58b5c215bb6ab6ebc	2ee7fe67a3ef343a69cf87889f2316f44515d27ec5c6d70f7c699b49eca4fb5a
wsf_os	WsfOsInit	0x0052b9b2	0x0052b9d0	30	f9c905e97f08e91afc84d8c6df9ed24e71e26accbea503f8f423f98e8e8ff6bb	9a0606e882bde29307699799161a591e273941b5e42466ad9f77c1418086a549
wsf_os	wsfOsDispatcher	0x0052b9d0	0x0052bab8	232	49ba08ce0c35eb58c098babd1ad0e4d68c303c67bf8e2543be552511732474d8	c52f0e9655fc23f90c04e7533369fcb2b5f4ae5dcf6b1d4a95e6a216b5dd0d73
wsf_queue	WsfQueueEnq	0x00538c24	0x00538c4a	38	30b8240daf336d4037b57b11a420f9adbddf40659ec964e078e736cbeeca94dd	1417a3153f994f11d983514fa775d65a7ca2245b4d06aa6314d5a7331ef90771
wsf_queue	WsfQueueDeq	0x00538c4a	0x00538c6e	36	b89add9a6f39622dc9277b91669b4978b136cf95d4c09bff5a8f65d02c3a7080	8103a892191018303c7aac80c6e2d8443cc3a1b4e90534d631789e4749e0b6e9
wsf_queue	WsfQueuePush	0x00538c6e	0x00538c8c	30	19728a8dcc2b9905325e0994927d36eb35491245cf2646e7b329ffe1b7eb09e5	45ac902d523706d379482ce5cbf82fcbd2a345b3ee1f559caf41ff99941e7d9d
wsf_queue	WsfQueueInsert	0x00538c8c	0x00538cc8	60	1aac6c02a0605d67564caa4d190a532bf4a1ef9c0f6e11c053326d7812fcc112	ad205bc8b9784b036aa690a1cb3032244863a38fb815fbe7d18f392c919672ba
wsf_queue	WsfQueueRemove	0x00538cc8	0x00538cf6	46	b550d2696c6f4516dd4c4bcb2b3af6c5b79a51092103ddc667cd886042ba5033	35d67e5ced61586a5a215162e33f64fce082df13d34b8c8a2dcccedbd8e94e58
wsf_queue	WsfQueueCount	0x00538cf6	0x00538d16	32	270837f505709362f84fc36cc7da2dbd98046cb7c6b69b6037244885361bb86a	3b18a8f182a79b859ca79bfd5f9a9068dc1b6497f2f8d4cb2ce4a8163f523e8e
