lane	config	function	start	end	candidate_symbol	evidence	candidate_size	stock_size	size_delta	raw_match	strict_normalized_match	candidate_sha256	stock_sha256	candidate_normalized_sha256	stock_normalized_sha256	compile_ns	link_ns	object_sha256	linked_sha256
ambiq_exact__O0	O0	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	84	44	40	no	no	e42a5b52ba00f26495db5c4ffb4c8de6e484c15e3188ef92dd64177b59fa100d	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	6f9b2d2c4c13e97f2b4607125d3e800f1f0b7f5f52e76255ff59ce002f3ee8f2	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	52657387	13807020	c090f4b738ec0477cf118db2bf3503fc0f6681579ba8934280f044b229be6e81	20100ff2dacbe93752232eb77da6e1b0b9c96eed4905e5820c67d2cc9fad37ac
ambiq_exact__O0	O0	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	116	74	42	no	no	446102e66574aa3ff5cac742ee92065ef0a97f6bd0f7faa3248d71cc9d696a69	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	902ba8a76b760be66a751e8282d9325417028a578a59720770aa01fba02a1a13	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	52657387	13807020	c090f4b738ec0477cf118db2bf3503fc0f6681579ba8934280f044b229be6e81	20100ff2dacbe93752232eb77da6e1b0b9c96eed4905e5820c67d2cc9fad37ac
ambiq_exact__O1	O1	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	38	44	-6	no	no	a1bcbdb20eaebfecfa755d2f470d322319517cc72cf3a10c1e78f723d2af53d8	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	71be3516b01fd8d8be2043dc75b3121b7d2b504bb1c7b3d36ee00b6a39a41265	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	66792214	13058280	bb23668a21699a97bfe87be015a8f9eed6a8388defa4678bdfa8e573cbe548fc	02ae6b8e43fbd72253a6a5ef20bfa75cc89e54e555dc6b8882c9fef4dfe990e5
ambiq_exact__O1	O1	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	70	74	-4	no	no	09e1d79f61dba9fe2b4a340ea44439d3034a8874d65ee6ec816c06720ceb8655	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	c8714558e111229696e25190032bba0a4cac01c6fe6eb9ef7e8a226496720a9f	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	66792214	13058280	bb23668a21699a97bfe87be015a8f9eed6a8388defa4678bdfa8e573cbe548fc	02ae6b8e43fbd72253a6a5ef20bfa75cc89e54e555dc6b8882c9fef4dfe990e5
ambiq_exact__Og	Og	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	38	44	-6	no	no	decc9b9bfe8325099456d9b7c779328d5802fd0a11acf30dada608bfd6834899	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	fc0bd2121714c156bbc775621209f056bbdda7672599b618fded6189453ed779	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	56623960	13260180	0476a893e0d29334a8b6625f3373ea8c3f725847f65eb50f65fb1e09963f9d01	041e1373f86ae0b29e67fe6c8dc3dd02c2635ffb5dda566c1fd81b5f1e2d6e55
ambiq_exact__Og	Og	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	46	74	-28	no	no	c50e6adc5adcbb20b7abeb82235f4f9940cc072a87f0657e859098757e268289	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	fe4d5f6caafaf9ac2c0fe6be802eefb134ab7aeb2145bbc83b8814ec5c24a9d3	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	56623960	13260180	0476a893e0d29334a8b6625f3373ea8c3f725847f65eb50f65fb1e09963f9d01	041e1373f86ae0b29e67fe6c8dc3dd02c2635ffb5dda566c1fd81b5f1e2d6e55
ambiq_exact__Og_nosibling	Og_nosibling	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	38	44	-6	no	no	decc9b9bfe8325099456d9b7c779328d5802fd0a11acf30dada608bfd6834899	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	fc0bd2121714c156bbc775621209f056bbdda7672599b618fded6189453ed779	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	58423670	13403169	0476a893e0d29334a8b6625f3373ea8c3f725847f65eb50f65fb1e09963f9d01	041e1373f86ae0b29e67fe6c8dc3dd02c2635ffb5dda566c1fd81b5f1e2d6e55
ambiq_exact__Og_nosibling	Og_nosibling	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	46	74	-28	no	no	c50e6adc5adcbb20b7abeb82235f4f9940cc072a87f0657e859098757e268289	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	fe4d5f6caafaf9ac2c0fe6be802eefb134ab7aeb2145bbc83b8814ec5c24a9d3	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	58423670	13403169	0476a893e0d29334a8b6625f3373ea8c3f725847f65eb50f65fb1e09963f9d01	041e1373f86ae0b29e67fe6c8dc3dd02c2635ffb5dda566c1fd81b5f1e2d6e55
ambiq_exact__O2	O2	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	36	44	-8	no	no	3269ea0eadbcbfbccf3a7215b40fb7442defced077181efeb3a9a6f21bae314e	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	67f3914213d34a2c5500ae5dd85bd3b8b35650cf399f2d84b79bb406623f4fe6	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	73775250	13710248	f39b0bb2c80e53ed4879e1121b455fc6c6667772475c0e72aff1a9f88a355cdd	0b72371d35e16ff6b298348c2be8d936a73fba60803b38a7cf999cd55deccd37
ambiq_exact__O2	O2	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	36	74	-38	no	no	5d17173383283ab5fb54c766267f9db3605615c5fb71fc17e87995087d8058bf	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	bf3999c1173b78a3f628354b2e21920f152b91ce13b1839e15b40017b9eb9874	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	73775250	13710248	f39b0bb2c80e53ed4879e1121b455fc6c6667772475c0e72aff1a9f88a355cdd	0b72371d35e16ff6b298348c2be8d936a73fba60803b38a7cf999cd55deccd37
