metric	value
physical_interval	[0x0052AE38,0x0052B8A4)
physical_bytes	2668
physical_sha256	dc34dc1f11085b6c7e8748c7edebf2e1b4dbc1568774dd8352b7fc064ca15119
linked_functions	50
source_only_functions	22
linked_body_bytes	2654
linked_body_concat_sha256	cab0777a869c367127b83c0f51c76bb8c7fec32582d7b3f634f8e4f157ccecc1
literal_alignment_interval	[0x0052B6AE,0x0052B6BC)
literal_alignment_sha256	f68646989009779d7d768ce66f33d6b64840a54198ac3d03e6e4d814d174907c
direct_bl_ingress_sites	156
direct_bl_ingress_digest	af3562ba738d194152c84607bfa487699037fe1b459428f67db29bb8b093e57e
direct_body_call_sites	127
direct_body_call_digest	104e66103d9d8f30c9074d632616557d9e6dc23c7f55fee81ce2fe7bc507fec3
stored_entry_pointers	0
accepted_strict_interior_pointers	0
source_only_names	HciLeAddDevWhiteListCmd;HciLeClearWhiteListCmd;HciLeReadDefDataLen;HciLeReadAdvTXPowerCmd;HciLeReadChanMapCmd;HciLeRemoveDevWhiteListCmd;HciLeSetHostChanClassCmd;HciReadLocalSupFeatCmd;HciReadLocalVerInfoCmd;HciReadRemoteVerInfoCmd;HciReadTxPwrLvlCmd;HciReadAuthPayloadTimeout;HciLeReadPeerResolvableAddr;HciLeReadLocalResolvableAddr;HciLeSetResolvablePrivateAddrTimeout;HciLeReceiverTestCmd;HciLeTransmitterTestCmd;HciLeTestEndCmd;HciLeReceiverTestCmdV3;HciLeTransmitterTestCmdV3;HciLeReadBufSizeCmdV2;HciLeSetHostFeatureCmd
