source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r44_lines	r44_body_sha256	ingress
1	hciCoreConnAlloc	linked	0x0052A67C	0x0052A6B0	52	9ab78b64cbb032ed4a1649911b7e82b917f60a959d67eea0c394164ed2a0b915	163-184	0c835921ae8a3d76e590ca24d8566fbc379181d4138ad205b58946c75698ae3b	internal direct call from hciCoreConnOpen
2	hciCoreConnFree	linked	0x0052A6B0	0x0052A704	84	1efbfa454bea66d2ea28f883ed131f8668e669518b24ad7ec2fd9fc487c1a38d	197-234	6ebc28ccc60ef718ad72d11797499026b325e80c45903defc2f5aacb557151b1	internal direct call from hciCoreConnClose
3	hciCoreConnByHandle	linked	0x0052A704	0x0052A72E	42	5ec3041ddc746fb3b07ef316b8338ab3acd4208354e60cda5979325d0ab8a51a	247-262	1f970037d425299a373a3465843001ecc004b769fe1d2618743e42a5de593e4c	four direct calls
4	hciCoreNextConnFragment	linked	0x0052A72E	0x0052A758	42	ff070deb78bdc56a6ac3bbc7fe7da875f4be7ef26c127f401e09d288cba57b25	273-288	afd7906a14fda80109b4a87fd50e5080f450e0c350d885142b4772e1a3a6f1d8	internal direct call from hciCoreTxAclContinue
5	hciCoreConnOpen	linked	0x0052A758	0x0052A762	10	1d387cb3465f35d8f855f14d4c27f95baa79068af7494fc56793530fdb8c92f4	301-305	334c72f32af0625f5f79bdf435ba0f21a4f629bee02dac79035d60abf7fa9b48	two direct calls from HCI event handling
6	hciCoreConnClose	linked	0x0052A762	0x0052A76C	10	993b153feac966341e02c9ef4c51f3de8fbe9a482e18814e956ee80a2bb3e8ef	318-322	642c2072bc8751c80289ccacc552a1e785548479c15ebdfb12cd8b6388211b01	direct call from HCI event handling
7	hciCoreSendAclData	linked	0x0052A76C	0x0052A79E	50	ce947bf744e67a5a5cf5e76def60a3eb2e2a435f863e2b2e497a436765ba4a80	337-357	befae566c326802fb82388974a621f22dcb3df7da5b1434ea47f99692de53c1e	three internal direct calls
8	hciCoreTxReady	linked	0x0052A79E	0x0052A850	178	ed0e2640bbd88622832fe3530df0c43cc61fdf50727095506fbb14575b92c108	370-436	1fb8dc4259cb250882e6b02ad5084cfaa56e843352728a0f1f8171607a3fd2bf	four direct calls
9	hciCoreTxAclStart	linked	0x0052A850	0x0052A8B0	96	2cf06425c443670b3f81fb1b7331735e04e2eea2042a4cafa4da75e11f5790bc	451-505	df02732573f6a46b54e1c96c5dc006ed1c8041facb688bc286a1dbed892905c3	internal direct call from hciCoreTxReady
10	hciCoreTxAclContinue	linked	0x0052A8B0	0x0052A936	134	76a36c11ced4c5d7e241ba097ec819b126530007aba9b1fdfbf96b9bcc26df95	520-562	76fe967510014d08e34a337e1cd88109eb069ef438a72f89f7dabd0b41965604	internal direct call from hciCoreTxReady
