metric	value
linked_surface	12
source_only_surface	4
linked_body_bytes	1188
linked_body_concat_sha256	82d378d8a979e3cede7a46f2d0c9027840afbeb931c42e3484acf15b6bde154a
main_code_interval	[0x004B48A6,0x004B4D2C)
main_code_bytes	1158
main_code_sha256	809a750836b2494d4d71125db43181e4f84f12333a07b2d4d8147ee59a9be983
shared_literal_pool	[0x004B4D2C,0x004B4DC4)
shared_literal_pool_bytes	152
shared_literal_pool_sha256	ad18de8bc3c1e8d0d93235970032a5f454accb1f7ec00754cd246490ef5fb421
direct_bl_entry_sites	30
direct_bl_entry_digest	dd5ba8621127cc9da55598cd275660ae451e0c13fda09f9b035c9f5156ff089d
direct_body_call_sites	66
direct_body_call_digest	1377686e170b02115760d51927b017b1769f3e30136e732896703a7665eb68d3
stored_entry_pointers	1
stored_entry_pointer	0x004B8798:0x004B4AB3
stored_entry_pointer_digest	c4eff16a72bf973327f7fe0338bee417852aaf07cd0ad4c5993f72197a906468
excluded_aligned_interior_lookalikes	30
excluded_aligned_interior_digest	fea72084fa4ed05130f3cbca57e1e6a3d7b6e3c55c28cbbe69fb3ba94f10c55b
accepted_strict_interior_pointers	0
direct_bl_strict_interior_targets	0
source_only_names	HciDrvErrorHandlerSet;HciVscConstantTransmission;HciVscCarrierWaveMode;HciDrvBleSleepSet
