metric	value
retained_path	platform\ble\profiles\ancc\profile_ancc.c
linked_functions	21
source_derived_stock_functions	12
g2_local_stock_functions	9
upstream_source_definitions	17
body_bytes	3712
body_concat_sha256	fc95fcf77551c5c0153b44108bfc34d7d29e740f10d7e4a2a9c8390683f8ff06
physical_interval	[0x004BEA04,0x004BF990)
physical_bytes	3980
physical_sha256	5a89c723bca33d424ca99ebfdfd2ac69b567f7a09f23b0be5c98549e70758d67
owned_noncode_bytes	268
direct_bl_entry_sites	26
direct_bl_entry_digest	c7298293655f1254c7fa10c4c9546401068e7995e59cb99b79c6a6c81d80415f
direct_body_call_sites	155
direct_body_call_digest	5580498eba990612a12fff9c5b0b85445bb7b5b6daf99bfaa8d712469b2eded0
stored_entry_pointers	2
stored_entry_pointer_digest	06fbae0a57c10cf0b787440a1c52666e6e0206763982f461cbba8667c42c68b9
direct_bl_strict_interior_targets	0
upstream_component	AmbiqSuite ANCC profile
selected_release	2.5.1
selected_commit	de5c6ba3044f4ef0f0c907c3f83fbbaa5795262f
selected_source_blob	4023359bf02612b07ed95f51561e7b8e7936810c
compatible_implementation_interval	AmbiqSuite 2.2.0 through at least 4.5.0
historical_g2_generating_commit	null
production_routed	false
