recovery_order	function	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	upstream_source	ownership	qualification
1	profileAnccConnOpenAdapter	0x004BEA04	0x004BEA14	16	0797dbc5070ce60e91009f2b7c23b33a0471489900a14414a1714cbc1bbdef33	ancc_main.c:AnccConnOpen	ambiq_derived	stores connId/handle list; product reset replaces discovery timer
2	profileAnccConnCloseAdapter	0x004BEA14	0x004BEA24	16	c564652c40e715469bd6065ccc5de980b25e3a75d8297dd024078ee04b406cf8	ancc_main.c:AnccConnClose	ambiq_derived	clears connId; product reset replaces timer stop
3	anccNoConnActive	0x004BEA24	0x004BEA36	18	63cb8d36b4b7ab7c8db0556a0221817ec76b1c0529cb7778ea63527087d508cc	ancc_main.c:anccNoConnActive	ambiq_derived	exact control-block predicate
4	anccActionListPop	0x004BEA36	0x004BEA7A	68	3530867c11e2e15185c4d2ce31d8807fcf8b43403a82fdb306983f8f511aa8a1	ancc_main.c:anccActionListPop	ambiq_derived	exact 64-entry reverse-pop topology
5	_anccGetNextNotificationHandler	0x004BEA7A	0x004BEAE8	110	b77e5b3d39772fc103cbad5709fb8c0ad3a32dc88ecdbb2fef7891d893fe666f	product extension	g2_local	message-based replacement for upstream timer action scheduling
6	AnccGetNotificationAttribute	0x004BEAE8	0x004BEB82	154	933570e03d53bbc9a377930bcfcc5e10184e9a19af95505776a8b27e7e1520fb	ancc_main.c:AnccGetNotificationAttribute	ambiq_derived	exact 19-byte eight-attribute request schema
7	AncsPerformNotiAction	0x004BEB82	0x004BEBC4	66	7f4a3b608531e73d27b17dfdb72005703ad6e86e73703afa3ebea8568c9c8b99	ancc_main.c:AncsPerformNotiAction	ambiq_derived	exact six-byte notification action command
8	AncsGetAppAttribute	0x004BEBC4	0x004BEC20	92	02d525a9d934c10dd19c0d18df83b8d3ca9be84534cfa982cae2a6571a43d884	ancc_main.c:AncsGetAppAttribute	ambiq_derived	exact 64-byte app-identifier command topology
9	anccActionListPush	0x004BEC20	0x004BED0E	238	6df93b0fac487fa989454ad622aa31ea56f2b3e5bc92ce77a5e5774738a757a2	ancc_main.c:anccActionListPush	ambiq_derived	exact update-first then first-free 64-entry scan
10	_rxSyncEventCallback	0x004BED0E	0x004BEDAC	158	5320c732f563e889c35feaa3f146564234a0265cb2f99b602edff97085d488ed	product extension	g2_local	dual-glasses synchronization callback and diagnostics
11	_anccSendCompleteNotificationMsg	0x004BEDAC	0x004BEE0A	94	899224b84ccdf4d4052f7daaef8f3163fc60f42f59b80f346accb9b2e5ed1d91	product extension	g2_local	posts product notification-complete message
12	_anccNotiRemoveCback	0x004BEE0A	0x004BEE5A	80	0a4bbe84c963d6f9019c9b6a768517b47543368a2457d8e461f7e218e4ee37b6	product extension	g2_local	product removal callback
13	_anccNtfValueUpdate	0x004BEE5A	0x004BEFCE	372	94d5b31260c27b4a96125b1c9e6fe2f0407cec919eac5ea4887c30c69f115074	ancc_main.c:AnccNtfValueUpdate	ambiq_derived	preserves notification-source/data-source split with product logging and dispatch
14	_ancsValueUpdate	0x004BEFCE	0x004BF06C	158	eb9bf5dd978d5666b61d9e24d45125e9c5b5ca7a9fe4f59e30d6985b185741b4	product extension	g2_local	connection/policy gate before profile value update
15	_ancsAnccAttrCback	0x004BF06C	0x004BF214	424	2e3a474233f20b9e75126841c69bb22e643fbacb7dfb84a4dc155267e80feb61	product extension	g2_local	maps parsed ANCS attributes into product notification state
16	_anccAttrHandler	0x004BF228	0x004BF6BE	1174	bc06d4ecf494c659484b6c7c2860c7b34257befd73f4d6f491a53e2793047a7d	ancc_main.c:anccAttrHandler	ambiq_derived	preserves 512-byte fragmented parser/eight-attribute state machine with whitelist policy
17	_anccResetStateMachine	0x004BF6C4	0x004BF742	126	82d40c231057a51eac657fcbfd0a67cac25d0f7efa510227a1dd3239fb306dd4	product extraction of anccAttrHandler reset paths	g2_local	centralizes upstream parser reset state plus product buffers
18	profileAnccInit	0x004BF742	0x004BF780	62	5c1510e5353ea51cc194d9e2de00252c8bb33181d874d1632934af41a7f99cab	ancc_main.c:AnccInit/AnccCbackRegister	ambiq_derived	initializes 64-entry list and binds product callback tables
19	profileAnccProcMsg	0x004BF780	0x004BF81A	154	5f089b412accb1d0b5e598981b0510064d5cfbdfe32bbcb42fc856f9cc6f0772	product event adapter	g2_local	dispatches Cordio connection/ATT/product timer events
20	APP_BleAnccSvcDiscover	0x004BF82C	0x004BF8AC	128	4afa2754369afea854ab7086e90ee95c75bc98308215bae463a1db1fd0d342ac	ancc_main.c:AnccSvcDiscover	ambiq_derived	preserves 128-bit ANCS discovery with five-handle list after EasyLogger expansion
21	profileAnccGetActive	0x004BF8AC	0x004BF8B0	4	b438d3ce89a26cce73f80efc5d271ebc96b97445d27f50aa3bbd255956a2e1dc	product extension	g2_local	returns product active-notification control block
