# AmbiqSuite 2.5.1 proprietary source is not redistributed; line spans and hashes authenticate the inspected official archive.
stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ambiq_source_start_line	ambiq_source_end_line	ambiq_source_span_bytes	ambiq_source_span_sha256	classification
wsfTimerRemove	0x0052A3FC	0x0052A424	40	1e9937d03fdee4825c1892be2e2c3e827958c7b59cba5b003119a847ff44ff24	62	87	469	d2c97dc4aa9890ab53eb6f422df1f1944717402cbd5eb211097ebf4195237770	exact implementation-family mapping; clean-room candidate present
wsfTimerInsert	0x0052A424	0x0052A468	68	6ade528a5c9550cafa544a171fcf0a61de09a99bb8c2f1afaeb225882a89825f	101	136	703	b78249f7345636dc3b288fba7960b9f0d50ef700088556f1a62f2b8144e1c960	exact implementation-family mapping; clean-room candidate present
WsfTimer_handler	0x0052A468	0x0052A474	12	1be15d416ce5b63f7a8fac522c4a491afa338d894a6a1820fe02d895d536a058	138	141	94	ad30e70d6634993f17241ba366f15db4997d2096cd7715266d87e5083efca148	exact implementation-family mapping; sole callback pointer closed; clean-room candidate present
WsfTimerInit	0x0052A474	0x0052A4B8	68	e5a91cf26e8c063a07fd7571bc0b4bb2f0fe4990c5e5f6aacb0069d0a43153fd	153	164	289	829970713c9bdf7325aa48704821d380bc94487a361112bd18303ec211b33c35	exact implementation-family mapping and 2.5.1 discriminator; minor assertion-line drift; clean-room candidate present
WsfTimerStartSec	0x0052A4B8	0x0052A4C4	12	44cbe78f1cdfebe661d765a009db12d4743c8946d77fdc86c3d4bb2bd41558fd	178	184	262	7d71a3ba12eb2f43e088d2055d719ed48e518a4d9c1b3e642ddf82b13b569218	exact implementation-family mapping; clean-room candidate present
WsfTimerStartMs	0x0052A4C4	0x0052A4D2	14	80ddfad6118861222d1b9940915b74f4cd3597208013dfe536caa9f960ef8bfb	198	204	255	c8f3f920e646f73a7283782ab218aadde8ba9c38344741658f8b23f623b5874a	exact implementation-family mapping; clean-room candidate present
WsfTimerStop	0x0052A4D2	0x0052A4E6	20	d30de33bdcea30247f1929d761140365da810af3d442225570eb510034fdc184	217	228	218	6abacdea8ae4e81bebdce31be47914b9d91b704ec98bb8676d140f5eea8ef4c1	exact implementation-family mapping; clean-room candidate present
WsfTimerUpdate	0x0052A4E6	0x0052A51A	52	9312c7bd4ca2c5dc0979bd0db22ff28b1045888621e6025e496f978b85790502	241	271	596	b41b5b9bce797a3fe9fdff7da8b8354ece6993ad1793c212bc8f44193a8318af	exact implementation-family mapping; clean-room candidate present
WsfTimerNextExpiration	0x0052A51A	0x0052A542	40	482d2cf4e1ef251d51309b8b6235f691c618f037d30a2bf172b2e22f4cd86c4b	286	308	398	502c74f1227eb6442e01939c759101d5543cbeca7f70435519ca81806fb5e47b	exact implementation-family mapping; Packetcraft r19.02 public semantic oracle; clean-room candidate present
WsfTimerServiceExpired	0x0052A542	0x0052A574	50	30e6992250bdfe0b6bad728ae0a8f1b114fe7f435981e50d8ffd551fb113435f	321	354	678	e657252e2f84ce3048e9ab1255828fc7bceb863a4057eeac16d16e6549d9073b	exact implementation-family mapping; Packetcraft public semantic oracle; clean-room candidate present
WsfTimerUpdateTicks	0x0052A574	0x0052A614	160	cf614de8167182c5bb63b000714586fda2b2f639abcd3793967a1ab871533d5e	361	407	1302	5a3b39387461d26649eeccc46cbe87bf7dc0505c480d3e9140644612908f74b0	exact implementation-family mapping; logging/assert text drift remains; clean-room candidate present
