function	start	end_exclusive	bytes	sha256	external_bl_callers	classification
IRQ_Context	0x0044900E	0x0044903C	46	702b19799a5ff8295597cd1b903ba5a5b6f9db91d872fdf311c9221c44660f33	0	private wrapper helper
osKernelInitialize	0x0044903C	0x0044906C	48	70065824750aff11e5e4b17a7996f4aa72d42be6a4739515a6b7a22d5679b775	1	public CMSIS-RTOS2 API
osKernelGetState	0x0044906C	0x00449094	40	279b1f9ba1e6f1a319637906efa9c1dd9ccbc54e5e343ed60f351d0add2e4dda	2	public CMSIS-RTOS2 API
osKernelStart	0x00449094	0x004490CC	56	01d0e472c73fbab1af81f34ee5916c26978d5358e7a24075b790028aeabe8911	1	public CMSIS-RTOS2 API
osKernelGetTickCount	0x004490CC	0x004490E2	22	e71b740a75cc5b6be604febe03034833fd10def82df65b66e453bcca1402564d	144	public CMSIS-RTOS2 API
osThreadNew	0x004490E2	0x004491AA	200	9c6a8120325e47a0a098156f0a03d4716d0c8cb99df99144bb33f869d7b7aac6	20	public CMSIS-RTOS2 API
osThreadGetId	0x004491AA	0x004491B2	8	a6178d2c6ee09a3f8dd462980fd9a198af2b57d83776da3d9c7914b5dd5959c6	6	public CMSIS-RTOS2 API
osThreadSetPriority	0x004491B2	0x004491E4	50	076a7d980114be9f392de41e1f1d058cb45a27bb5f6f831c3171c36039c4c388	3	public CMSIS-RTOS2 API
osThreadYield	0x004491E4	0x004491FE	26	b8041c6d93a504e7b04c942da7e83b370bf58ca1d567b2d938587ba8ecf1ffa7	1	public CMSIS-RTOS2 API
osThreadTerminate	0x004491FE	0x00449238	58	d89f27dd18cbf97e9e82e793f812b6354b85d56f125220edb8cec9ae6993adc2	14	public CMSIS-RTOS2 API
osThreadFlagsSet	0x00449238	0x004492C2	138	c9e8658cde4a293b9d193cc15a854564445a8f399ad838450ef48c12eb9b6e11	19	public CMSIS-RTOS2 API
osThreadFlagsWait	0x004492C2	0x00449376	180	be6894be51ea1a3131610342eb0806c96d2ddc298e5642481d207263de96c4fe	9	public CMSIS-RTOS2 API
osDelay	0x00449376	0x00449398	34	86584b9833b32e166acbeeea1a4c08671b20ac1fa10b15746d824c4b03311718	78	public CMSIS-RTOS2 API
TimerCallback	0x00449398	0x004493B0	24	bf6d5f543d1e89b912b7a2f6d108791ef9158d4e206ec00c42ea7187d166d5ab	0	private wrapper callback
osTimerNew	0x004493B0	0x00449498	232	164802e5b4bea4aaeef33a296bf4641ad47579367fc04accb3d62b04a0cc8146	12	public CMSIS-RTOS2 API
osTimerStart	0x00449498	0x004494D8	64	db1c7749aa74828b87e3e52adb5aede0ec33854ae7a23f41becf56161727c71d	18	public CMSIS-RTOS2 API
osTimerStop	0x004494D8	0x00449522	74	4aa92a7e2312a8f631872730fb5f653cf9d161ec48921258d0f52d82ccab8002	22	public CMSIS-RTOS2 API
osTimerIsRunning	0x00449522	0x0044953E	28	3802dd7a15e7c36c1e9490f9f538aef562959fae8e695917bc665a9ef435c482	2	public CMSIS-RTOS2 API
osTimerDelete	0x0044953E	0x00449590	82	ff0de25911fdae3e67d317f6db72bf1121d224a73d4599c63910b841bc31fef9	6	public CMSIS-RTOS2 API
osEventFlagsNew	0x00449590	0x004495E4	84	6dfae64ebf472c51d4105d50434acfccd26b723a6d6da790eee981a529f4ed83	3	public CMSIS-RTOS2 API
osEventFlagsSet	0x004495E4	0x00449642	94	11de6c596381befd11300bd6383f97b334847c3eafc74a7392bfe956629acce7	24	public CMSIS-RTOS2 API
osEventFlagsClear	0x00449642	0x00449694	82	40de3905b1832d076c51eed224d82c791e472d36de1ec4307b57cd518e54e647	7	public CMSIS-RTOS2 API
osEventFlagsWait	0x0044969C	0x0044971C	128	55efe563c27f16d40c0488e9a86351c934313b894a1428c89ddde96194ea8a08	4	public CMSIS-RTOS2 API
osMutexNew	0x0044971C	0x004497B6	154	09f88d8a6a64730936a52aa0c2f90d9bcb0152f6e2439919f6409110148999ec	30	public CMSIS-RTOS2 API
osMutexAcquire	0x004497B6	0x0044981C	102	86928d597f8f7b7f8f4519b40983a9384dfb72830fd2cec49809678bb1ff88a7	134	public CMSIS-RTOS2 API
osMutexRelease	0x0044981C	0x0044986E	82	290de52cf203c2aaf8c554a686c675212c79382a696e46e0b70030363714eb71	153	public CMSIS-RTOS2 API
osMutexDelete	0x0044986E	0x0044989A	44	649cee0eb99f62128cd191253b2d15f446b0867ab11fd406e36eb2d527102a40	8	public CMSIS-RTOS2 API
osSemaphoreNew	0x0044989A	0x0044994E	180	ebdcf69b866e35e468ba9ce84d7e7ac9b58377b5ffcc439762d729f7d99a098c	5	public CMSIS-RTOS2 API
osSemaphoreAcquire	0x0044994E	0x004499B8	106	c433dde9706e80eb67706ed801cbf64b544c39c88bab6a946d0fdcd02c23c700	5	public CMSIS-RTOS2 API
osSemaphoreRelease	0x004499B8	0x00449A0E	86	5ff08a165bcf058ae1696528b092d64cbe7f6464b949763bc429597ad77b9d65	5	public CMSIS-RTOS2 API
osSemaphoreGetCount	0x00449A0E	0x00449A32	36	0b2a6b35d6d4391bb5b28e36399afc11f3d697bd4a88dcf14c9e0169222ef9d0	1	public CMSIS-RTOS2 API
osMessageQueueNew	0x00449A32	0x00449ABE	140	52d0abf097914cc84b2cdfe7f628dc61f9efb40bac880112062315d2b1bfba47	15	public CMSIS-RTOS2 API
osMessageQueuePut	0x00449ABE	0x00449B3C	126	aba43426edc09754ce5ae6c619ba1bfe1f5ad0f0f36687b4315db9dc32a48998	43	public CMSIS-RTOS2 API
osMessageQueueGet	0x00449B3C	0x00449BBC	128	ba577117e8cc2833921c4d0ab5f8dcf8122fab6090ccb32571ff62231dfd52ba	17	public CMSIS-RTOS2 API
osMessageQueueGetCapacity	0x00449BBC	0x00449BC8	12	9f79c94a7cfd4e3f855e902cf158167326d290169a09053a13c5a88775e88d32	2	public CMSIS-RTOS2 API
osMessageQueueGetCount	0x00449BC8	0x00449BEC	36	6edaf25d5366032cefe8cab997a6a3db472878543f7a42b99f3016eb81c75b56	6	public CMSIS-RTOS2 API
osMessageQueueDelete	0x00449BEC	0x00449C14	40	dc66684591191cbe28c76ffd3154eef13bd038db3bde6184e65b4cca6a336212	6	public CMSIS-RTOS2 API
osMemoryPoolNew	0x00449C14	0x00449D3E	298	c108de1748627d51427e2771a74fe9b3ddcd5b53c5816ebb2f82972e8bdc6136	1	public CMSIS-RTOS2 API
osMemoryPoolAlloc	0x00449D3E	0x00449DD0	146	048b16e65e5ea016a21f9061a83050d478077dba03ad165003c9c8e757913913	1	public CMSIS-RTOS2 API
osMemoryPoolFree	0x00449DD4	0x00449E8E	186	aa5d91c466dd3682f69892e9a19af8fd75c713afcf8938a601c1a8c550cf87e3	3	public CMSIS-RTOS2 API
