cluster	start	end	size	sha256	name	object	archive_size	status	archive_insns	stock_insns	matched	longest_run	sequence_ratio	evidence
slave_connection	0x00329888	0x00329FD6	1870	99a73c81f0b0b16df5d9f77ebacd741c4fc16eb90858b229e2ebe90d884e61cb	lctrSlvConnEndOp	lctr_isr_conn_slave.c.obj	1866	vendor_modified_opcode_aligned	588	591	569	160	0.965225	link_order_bracket:lctrSlvConnDisp->lctrSlvConnUpdateOp;opcode_alignment:569/588
slave_connection	0x00329FD8	0x00329FFE	38	137340641ee0e455564bfc29f1e7a107ddecbc8fe258da6a095695e74aee4076	lctrSlvConnExecute	lctr_main_conn_slave.c.obj	38	opcode_sequence_exact_size_exact	13	13	13	13	1.000000	link_order_bracket:lctrSlvConnDisp->lctrSlvConnUpdateOp;opcode_alignment:13/13
slave_connection	0x0032A000	0x0032A216	534	8a85df82679c8a74fab531a537fc27c7a68f68e25a605a2afbfa32f6cbc0f15e	lctrSlvConnExecuteSm	lctr_sm_conn_slave.c.obj	554	vendor_modified_opcode_aligned	187	184	165	45	0.889488	link_order_bracket:lctrSlvConnDisp->lctrSlvConnUpdateOp;opcode_alignment:165/187
slave_connection	0x0032A218	0x0032A22E	22	0f3641bda66dabfedd5cc888e4b833e4230ef1c543c249ec46c99e0b842c106a	lctrSlvConnResetHandler	lctr_main_conn_slave.c.obj	22	opcode_sequence_exact_size_exact	7	7	7	7	1.000000	link_order_bracket:lctrSlvConnDisp->lctrSlvConnUpdateOp;opcode_alignment:7/7
slave_connection	0x0032A230	0x0032A47C	588	5976a1985cf0db85b8e66e60d6360326d360ce1f3435aec73e80658c431d0f4c	lctrSlvConnRxCompletion	lctr_isr_conn_slave.c.obj	554	vendor_modified_opcode_aligned	185	197	180	82	0.942408	link_order_bracket:lctrSlvConnDisp->lctrSlvConnUpdateOp;opcode_alignment:180/185
slave_connection	0x0032A47C	0x0032A4BE	66	346fbe7c747edabb178b903b452604c14efc36f4458859feeeb365b84addab8c	lctrSlvConnTxCompletion	lctr_isr_conn_slave.c.obj	38	vendor_modified_divergent	14	24	11	6	0.578947	link_order_bracket:lctrSlvConnDisp->lctrSlvConnUpdateOp;opcode_alignment:11/14;shared_context_offsets_341_630;extra_event_case_0xa;counter_global_0x0080568C
master_periodic_scan_pawr	0x00321C30	0x00321E14	484	8f74070caffcaede5e606614ee3c7f0ef7c755a287c4e5ad4c1d14828c4dbcca	lctrMstPerScanRxPerAdvPktPostHandler	lctr_isr_adv_master_ae.c.obj	500	vendor_modified_divergent	170	164	137	24	0.820359	link_order_bracket:lctrMstPerScanRxPerAdvPktHandler->lctrMstPerScanWithRspEndOp;opcode_alignment:137/170;link_order_position_pinned
master_periodic_scan_pawr	0x00321E14	0x00322178	868	df4784fcbc7a3624f7bf6c04ff22d99159ebc7d6f601bbe94054debe77659978	lctrMstPerScanTransferOpCommit	lctr_main_adv_master_ae.c.obj	868	vendor_modified_opcode_aligned	283	283	267	36	0.943463	link_order_bracket:lctrMstPerScanRxPerAdvPktHandler->lctrMstPerScanWithRspEndOp;opcode_alignment:267/283
master_periodic_scan_pawr	0x00322178	0x00322182	10	fe9b95826f8876fb0b5cc3c35e4211c60fcf5631108e95e77a9d2e4e0d8b6066	lctrMstPerScanWithRspAbortOp	lctr_isr_adv_central_pawr.c.obj	10	opcode_sequence_exact_size_exact	3	3	3	3	1.000000	link_order_bracket:lctrMstPerScanRxPerAdvPktHandler->lctrMstPerScanWithRspEndOp;opcode_alignment:3/3;relocation_only_branch_to_right_anchor
master_periodic_scan_pawr	0x00322184	0x0032233C	440	e70986eda9470d4ac535ea3a919c486e4fb7e24bf6c4b826a700a7071ff93453	lctrMstPerScanWithRspCommitOp	lctr_main_adv_central_pawr.c.obj	432	vendor_modified_opcode_aligned	141	145	132	49	0.923077	link_order_bracket:lctrMstPerScanRxPerAdvPktHandler->lctrMstPerScanWithRspEndOp;opcode_alignment:132/141
