# SPDX-License-Identifier: MIT
start	end	size	sha256	readiness	decision	decision_origin
0x00302508	0x00302518	16	ebea3a2bb204126f35c765599ebde22a2dc11a32e4fb8cb97c842ad88f13e901	unavailable_proprietary_controller_code	em_vendor_rom_stub	authenticated_residual_provenance
0x00302664	0x0030299a	822	60ac29e8f3b990e27619d33532df6c1c267212f354d91489d8f725cff3ed1d86	concrete_source_available	metaware_runtime_production_route	metaware_runtime_production_route
0x00302a1c	0x00302ae6	202	cae2a87dbb8e498b5c2e2025ea6a98a6fe9f3dea8cb158adfb32efd671d4506b	unavailable_proprietary_controller_code	packetcraft_modern_controller	authenticated_residual_provenance
0x00302d80	0x00302d82	2	5c36fa627b751f9f87419f9e6ed40beb9a3bab13ac1b5ec7506a34d0eb630bc4	concrete_source_available	reconstructible_no_op	tail_reconstructible_production_route
0x00302e14	0x00302e64	80	55ebd0fd55359efbfc6da757970cc801bed255a1cbbbfbc3a86a411a4b326f68	unavailable_proprietary_controller_code	em_vendor_system	authenticated_residual_provenance
0x00302e90	0x00302ea2	18	fc7713ea2c88151d1783e2f4df600f4dfe8c29090f7870ab27f0ef98c8e7fae7	unavailable_proprietary_controller_code	packetcraft_modern_controller	authenticated_residual_provenance
0x00302ff4	0x0030301a	38	fd2c7f27d273e4af00729d456e46624be6206af630376dcd08d1d35a66e13449	unavailable_proprietary_controller_code	packetcraft_modern_controller	authenticated_residual_provenance
0x00303258	0x003032cc	116	ff4a80d87cd27c06453091020ead927e9efc392568461f2162d0ed2c7ee4841a	unavailable_proprietary_controller_code	packetcraft_modern_controller	authenticated_residual_provenance
0x00303e50	0x00303e66	22	45bf7572700d4bbfc3fbc8e62e3ab40ff064cd3a27913b2c84099f5f8bb32ace	concrete_source_available	reconstructible_accessor	tail_reconstructible_production_route
0x00303f50	0x00303f5a	10	8980ae8b46c457511a1acd551265be25d0ed4457161fb69592a6d08b1c860af7	concrete_source_available	reconstructible_accessor	tail_reconstructible_production_route
0x00303f68	0x00303f72	10	dde433034095f84cff668b40e9e00b475a79d3ea4e8ebb5c8d5610c9250bb830	concrete_source_available	reconstructible_accessor	tail_reconstructible_production_route
0x00304604	0x00304624	32	4093caf6c8af6f302fc052f10786b63933029f69af91bd08ca4e7efca652b6bb	unavailable_proprietary_controller_code	packetcraft_modern_controller	authenticated_residual_provenance
0x00304698	0x00304762	202	467422520c7129c23020c38c1e14a081306c0d14c3161bf0c3c1c853bf277284	unavailable_proprietary_controller_code	packetcraft_modern_controller	authenticated_residual_provenance
0x003047b0	0x003047be	14	dd355f9ea943bdb20f653513223a897ffce99fe5fb4831803483e427f5517392	concrete_source_available	reconstructible_accessor	tail_reconstructible_production_route
0x0030482c	0x003048ae	130	1aff5715814514aacc29daa8bee11dc4a20cd3ff573e312f4014b884a38d813f	typed_unsupported_external_boundary	provider-required	first_party_fail_closed_boundary
0x00304994	0x00304a96	258	09a743f61f3c1507f8edef6528bdc16dc9576324a7f3359483289d2e2321967e	unavailable_proprietary_controller_code	packetcraft_modern_controller	authenticated_residual_provenance
