# shard_id	entry	start	end-exclusive
adv_scan_control_gap	0x309aa4	0x309aa4	0x309cb8
rf_control_gap	0x3120a0	0x3120a0	0x31228e
periodic_adv_iso_gap	0x30a37c	0x30a37c	0x30a564
application_sleep_gap	0x30f014	0x30f014	0x30f1cc
em_system_command_gap	0x30592c	0x30592c	0x305ab4
em_system_gpio_gap	0x305b1c	0x305b1c	0x305ca2
protocol_timer_rc_calib_gap	0x306384	0x306384	0x3064fa
ll_reset_scan_gap	0x30cba0	0x30cba0	0x30ccf6
scheduler_base_interval_gap	0x333a94	0x333a94	0x333bea
iso_host_event_gap	0x323268	0x323268	0x3233b2
connection_action_gap	0x315a84	0x315a84	0x315bc6
extended_init_pawr_gap	0x31a408	0x31a408	0x31a538
hci_connection_dispatch_gap	0x30a800	0x30a800	0x30a92e
periodic_adv_power_control_gap	0x307fcc	0x307fcc	0x3080f6
controller_init_runtime_config_gap	0x30c0c8	0x30c0c8	0x30c1e8
tx_queue_acad_gap	0x32d7f4	0x32d7f4	0x32d910
