kind	name	start	end	size	sha256	disposition	provider	license_status	evidence
segment	slave_connection_cluster	0x00329888	0x0032a4be	3126	45c3d2477869a9ace185078ca6b5f59621eeca07ae274414e64637e5b04f12aa	typed_unsupported_external_boundary	OpenCFW adapter	MIT	six authenticated entries plus four exact interior nop_s paddings tile the largest residual segment
entry	lctrSlvConnEndOp	0x00329888	0x00329fd6	1870	99a73c81f0b0b16df5d9f77ebacd741c4fc16eb90858b229e2ebe90d884e61cb	vendor_modified_opcode_aligned	Packetcraft/EM archive comparator	redistribution authority unresolved	569 of 588 archive opcodes align; exact source unavailable
entry	lctrSlvConnExecute	0x00329fd8	0x00329ffe	38	137340641ee0e455564bfc29f1e7a107ddecbc8fe258da6a095695e74aee4076	opcode_sequence_exact_size_exact	Packetcraft/EM archive comparator	redistribution authority unresolved	13 of 13 opcodes align; relocation-masked byte identity not proven
entry	lctrSlvConnExecuteSm	0x0032a000	0x0032a216	534	8a85df82679c8a74fab531a537fc27c7a68f68e25a605a2afbfa32f6cbc0f15e	vendor_modified_opcode_aligned	Packetcraft/EM archive comparator	redistribution authority unresolved	165 of 187 archive opcodes align; exact source unavailable
entry	lctrSlvConnResetHandler	0x0032a218	0x0032a22e	22	0f3641bda66dabfedd5cc888e4b833e4230ef1c543c249ec46c99e0b842c106a	opcode_sequence_exact_size_exact	Packetcraft/EM archive comparator	redistribution authority unresolved	7 of 7 opcodes align; relocation-masked byte identity not proven
entry	lctrSlvConnRxCompletion	0x0032a230	0x0032a47c	588	5976a1985cf0db85b8e66e60d6360326d360ce1f3435aec73e80658c431d0f4c	vendor_modified_opcode_aligned	Packetcraft/EM archive comparator	redistribution authority unresolved	180 of 185 archive opcodes align; exact source unavailable
entry	lctrSlvConnTxCompletion	0x0032a47c	0x0032a4be	66	346fbe7c747edabb178b903b452604c14efc36f4458859feeeb365b84addab8c	vendor_modified_divergent	Packetcraft/EM archive comparator	redistribution authority unresolved	11 of 14 opcodes align; stock adds event 0x0a and counter state
padding	nop_00329fd6	0x00329fd6	0x00329fd8	2	-	authenticated_nop_padding	ARC nop_s	standard instruction semantics	raw bytes e078
padding	nop_00329ffe	0x00329ffe	0x0032a000	2	-	authenticated_nop_padding	ARC nop_s	standard instruction semantics	raw bytes e078
padding	nop_0032a216	0x0032a216	0x0032a218	2	-	authenticated_nop_padding	ARC nop_s	standard instruction semantics	raw bytes e078
padding	nop_0032a22e	0x0032a22e	0x0032a230	2	-	authenticated_nop_padding	ARC nop_s	standard instruction semantics	raw bytes e078
production	production_route	-	-	0	-	disabled	no overlay or package route	fail closed	exact source, ABI, state-machine behavior, link placement, and redistribution authority remain blocked
hardware_validation	deferred by project direction	-	-	0	-	software_only	future authorized G2 qualification	project policy	future connection timing, encryption, retransmission, channel-map, and concurrency evidence remains required
