metric	value
retained_path	driver\sensor\als\als.c
linked_functions	38
ghidra_discovered_functions	22
path_anchored_functions	9
restored_non_anchor_functions	29
body_bytes	3858
body_concat_sha256	e897dd73b49a41d14e891ceacccb389f8323c82c4cb4eb477a8cd33407f0c5db
physical_interval	[0x004AD9B8,0x004AEA40)
physical_bytes	4232
physical_sha256	ee176a8d9ac89fe99a9d93a263a46af28b22c2124a637da55f3309564f56c788
outer_pool_bytes	374
outer_pool_sha256	4f0e94214610db8706ec58fce18ce02e0f6cf4c2711ddaff2a0c5e393baee5ce
reachable_instructions	1461
reachable_instruction_digest	9c5e9ae441c40d23bdc60e2592ef607bcecc8adb65ab9680074659d57cfa5845
direct_body_calls	189
internal_direct_body_calls	50
external_direct_body_calls	139
direct_body_call_digest	7965cd86bfde0f60dd6828c2c76041804df264f654d11daf0b4662958726e75e
indirect_body_calls	1
stored_function_pointers	1 at 0x006A44C4 -> 0x004AE73D
embedded_third_party_definitions	0
production_routed	false
