# G2 Apollo unanchored-function provenance census; regenerated by tools/analyze_g2_apollo_unanchored_census.py
bucket	functions	accepted_envelope_bytes	official_opaque_bytes	evidence_classes	confidence	ownership_category	label
lvgl	1054	103190	97430	call-topology-single-family=613|link-order-sandwich=441	medium=613|low=441	authenticated upstream source (vendor-fork interval)	LVGL 9.3.0-development vendor fork (Ambiq backend)
cordio	383	28254	27356	call-topology-single-family=52|closed-module-manifest=276|link-order-sandwich=55	high=276|medium=52|low=55	authenticated upstream source (compatibility interval)	Packetcraft/Ambiq Cordio BLE host (r20.05-r20.05c interval)
ambiqsuite	141	10154	10154	call-topology-single-family=5|closed-module-manifest=134|link-order-sandwich=2	high=134|medium=5|low=2	licensed or proprietary source dependency	AmbiqSuite proprietary Cordio/WSF port objects
ambiqsuite-ancc	11	888	888	closed-module-manifest=11	high=11	licensed or proprietary source dependency	AmbiqSuite ANCC/ANCS client profile
cmsis-freertos	60	4568	816	call-topology-single-family=17|closed-module-manifest=43	high=43|medium=17	authenticated upstream source	CMSIS-FreeRTOS v10.5.1 os2 wrapper
cjson	21	2572	2572	closed-module-manifest=21	high=21	authenticated upstream source (compatibility interval)	DaveGamble cJSON v1.7.9-v1.7.12 parser
iar-dlib	12	7496	7462	call-topology-single-family=6|library-string-signature=5|link-order-sandwich=1	high=5|medium=6|low=1	licensed or proprietary source dependency	IAR DLIB compiler runtime (EWARM 9.20+ candidate)
littlefs	99	7258	7042	call-topology-single-family=27|link-order-sandwich=72	medium=27|low=72	authenticated upstream source	littlefs v2.10.1-equivalent
tlsf	23	1122	632	call-topology-single-family=12|link-order-sandwich=11	medium=12|low=11	authenticated upstream source	TLSF v3.1-equivalent allocator
tinyframe	11	366	338	call-topology-single-family=2|link-order-sandwich=9	medium=2|low=9	authenticated upstream source	TinyFrame exact-core interval
easylogger	7	666	0	call-topology-single-family=3|link-order-sandwich=4	medium=3|low=4	authenticated upstream source (compatible interval)	EasyLogger 2.2.99-compatible core
nanopb	72	8418	816	call-topology-single-family=8|documented-family-evidence=64	medium=72	authenticated upstream source (compatibility interval)	nanopb 0.4.7-0.4.9.1-compatible protobuf runtime
lz4	3	1220	1190	documented-family-evidence=3	high=3	authenticated upstream source (compatibility selection)	LZ4 v1.10.0 decompress-only decoder
freetype	2	946	946	call-topology-single-family=1|documented-family-evidence=1	high=1|medium=1	authenticated upstream source (exact snapshot)	FreeType 2.9.1 engine (LVGL-bundled)
liblc3	10	1694	1694	documented-family-evidence=4|link-order-sandwich=6	high=4|low=6	authenticated upstream source (compatibility interval)	Google liblc3 v1.1.3-era encoder
first-party	1782	226536	216564	call-topology-single-family=96|closed-module-manifest=1035|link-order-sandwich=651	high=1035|medium=96|low=651	clean-room G2 implementation target (first-party stock code)	Even first-party application/platform code
rejected-oversized-envelope	8	0	0	analyzer-artifact=8	high=8	generated or non-executable content (analyzer artifact)	oversized Ghidra envelope rejected by the trust cap
investigation-required-mixed	38	9380	9032	call-topology-mixed=38	none=38	investigation required	call targets span multiple provider families
investigation-required-no-evidence	1873	312598	290704	none=1873	none=1873	investigation required	no corroborating provenance evidence
