metric	value
retained_path	platform\ble\app_ble_peer_mgr.c
linked_functions	4
body_bytes	446
body_concat_sha256	81083950d25c22d6c5a1737fdb0647daf15715dbe2754618ada2c8fd6980ab21
physical_interval	[0x004D8F4C,0x004D914C)
physical_bytes	512
physical_sha256	f5dd1aeb8bead102c62a66a638d0a45d4cb7bd789f3c7d6361f7932207480a4c
literal_pool_interval	[0x004D910A,0x004D914C)
literal_pool_bytes	66
literal_pool_sha256	3d67da729d7ee705ec6ac8f775e52beba3fdec564a2ca88280136ef0986b2496
path_run_address	0x006FFF4C
path_pointer_cell	0x004D911C
pending_peer_tuple	0x200003D8
connection_record_count	3
connection_record_stride	48
direct_bl_entry_sites	7
direct_bl_entry_digest	e547bf96d2638cec8ec242dcb362017ca814f4cc40b245f91c5dbaf2a1dc8a9c
direct_body_calls	30
direct_body_call_digest	9c4a73bc4de7c22e1dd3d2853aa26f58796dbc8563fbad63544c95fa6182c434
stored_entry_pointers	0
strict_interior_ingress	0
third_party_dependency	none; G2-local Cordio application adapter
historical_source_available	false
production_routed	false
