metric	value
retained_path	platform\ble\app_ble_peripheral.c
linked_functions	31
path_anchored_functions	12
additional_recovered_functions	19
baseline_ghidra_functions	24
recursive_decode_recoveries	7
body_bytes	5888
body_concat_sha256	fe0cd744cb976c15548cde946fd6dab79aa28cedd94c32893731f46130872f75
physical_interval	[0x0046DB04,0x0046F4A4)
physical_bytes	6560
physical_sha256	d03a512b45aaa2cd3d6476a258f54270553bb82f42524838a0b23e0f700d36d3
literal_pool_regions	18
literal_pool_bytes	672
literal_pool_concat_sha256	eea96f23eacda207f425ab48baa9d412b062d647a3611844a59414e023923bee
path_run_address	0x006F809C
path_pointer_cells	0x0046DFF4,0x0046ED64,0x0046F400
direct_bl_entry_sites	44
external_direct_bl_entry_sites	33
direct_bl_entry_digest	52ab634482469bb515f153bb3df5b536bd99461e7da4cd351f912348dc360000
direct_body_calls	374
internal_direct_body_calls	11
external_direct_body_calls	363
direct_body_call_digest	b55b88a4174c1ca4cee78dc3f3b3b2aa99999f627fc7582ab5f0019e3af69c1f
stored_entry_pointers	8
stored_entry_pointer_digest	374ed0235674d907f0326d28943c2c8e7f6bd415ee9e7389990af8e5a6c9acc6
strict_interior_bl_decodes	0
third_party_dependency	none opaque; G2-local peripheral policy over admitted Cordio DM WSF ATT and app-framework providers
historical_source_available	false
prior_g2_named_functions	25 in the earlier peripheral sequence
production_routed	false
