module	metric	value
eus	retained_path	platform\ble\profiles\eus\profile_eus.c
eus	linked_functions	7
eus	body_bytes	892
eus	body_concat_sha256	05f4528346de6738fec136670ac5093039ad8cd953078c4e78cef77424521609
eus	physical_interval	[0x004BDE4C,0x004BE228)
eus	physical_bytes	988
eus	physical_sha256	59c4fc0bdb479aee0c64515a58f318f709560440ea5906121344925c4f3f349b
eus	owned_noncode_bytes	96
eus	direct_bl_entry_sites	4
eus	direct_bl_entry_digest	58e59afb043d86b3510ddc80d5b72d3e27a5f1b45dae6343facc3fa68c161469
eus	direct_body_call_sites	55
eus	direct_body_call_digest	2b727ba0b3cf8ef21eb6315dd083a41dc05c6ec75e1f1fce1d336bc64bcaeede
eus	stored_entry_pointers	3
eus	stored_entry_pointer_digest	bfaa9a67f2d080d4e99a4c0f7a3fc58af4986434a7a09e631fd18ae41f6ae30a
eus	direct_bl_strict_interior_targets	0
eus	upstream_component	none; G2-local Cordio adapter
eus	historical_g2_generating_commit	null
eus	production_routed	true
eus	source_functions	7
eus	compiled_text_bytes	368
eus	alignment_bytes	4
eus	strict_relocations	14
eus	stock_replaced_bytes	892
eus	retained_literal_pool_bytes	96
eus	software_functional_gap	false
eus	hardware_validation	deferred by project direction
eus	hardware_evidence_required	authorized responsive G2/EM9305 peer
ess	retained_path	platform\ble\profiles\ess\profile_ess.c
ess	linked_functions	6
ess	body_bytes	348
ess	body_concat_sha256	b9f57cb56734b5103b06816d661eb6ac98ab07ce9d0047d66ea5193e899c4618
ess	physical_interval	[0x004BE228,0x004BE3A4)
ess	physical_bytes	380
ess	physical_sha256	aa6109f405b2a93f5dda139e5d4c900f42ef482d633dd1acb6f69d8f230798f2
ess	owned_noncode_bytes	32
ess	direct_bl_entry_sites	6
ess	direct_bl_entry_digest	7a0b07839110717b673c6f2fdbfcb5a45083c61d65ea2eea93c461ff06de8a4d
ess	direct_body_call_sites	18
ess	direct_body_call_digest	50af7339be5d9f8687804d44f94cd2a5d378b3b9b172f61e5a7c997d93230eb4
ess	stored_entry_pointers	1
ess	stored_entry_pointer_digest	c5bc5cd791505d3fea3b361db7e655ed23052af1e895098e2396b763e14bed79
ess	direct_bl_strict_interior_targets	0
ess	upstream_component	none; G2-local Cordio adapter
ess	historical_g2_generating_commit	null
ess	production_routed	true
ess	source_functions	6
ess	compiled_text_bytes	280
ess	alignment_bytes	4
ess	strict_relocations	9
ess	stock_replaced_bytes	348
ess	retained_literal_pool_bytes	32
ess	software_functional_gap	false
ess	hardware_validation	deferred by project direction
ess	hardware_evidence_required	authorized responsive G2/EM9305 peer
efs	retained_path	platform\ble\profiles\efs\profile_efs.c
efs	linked_functions	6
efs	body_bytes	754
efs	body_concat_sha256	02368ef29f62cb3c9f0f7efd502403d3040ca93ec4c279cdf2b43b938c7b65ba
efs	physical_interval	[0x004BE3A4,0x004BE6F0)
efs	physical_bytes	844
efs	physical_sha256	811f084f0fa760f10d18fba63af5c9d89302c66d91ce1a0542c5e24f9fa3b7bd
efs	owned_noncode_bytes	90
efs	direct_bl_entry_sites	4
efs	direct_bl_entry_digest	a931864a00d24d75c6de540e939280854dddc680c52d13ddadd2773f01aef632
efs	direct_body_call_sites	47
efs	direct_body_call_digest	04622b9cad600a4a7f58d72232024f4dcfdf98685345025f1ff76887e6902dcd
efs	stored_entry_pointers	1
efs	stored_entry_pointer_digest	9a5bd9aee413bde7c825e3db415616257be771b9ec53318d96955677d2debca7
efs	direct_bl_strict_interior_targets	0
efs	upstream_component	none; G2-local Cordio adapter
efs	historical_g2_generating_commit	null
efs	production_routed	true
efs	source_functions	6
efs	compiled_text_bytes	296
efs	alignment_bytes	0
efs	strict_relocations	11
efs	stock_replaced_bytes	754
efs	retained_literal_pool_bytes	90
efs	software_functional_gap	false
efs	hardware_validation	deferred by project direction
efs	hardware_evidence_required	authorized responsive G2/EM9305 peer
nus	retained_path	platform\ble\profiles\nus\profile_nus.c
nus	linked_functions	6
nus	body_bytes	704
nus	body_concat_sha256	d6a3e6767490928b71e9abbe4bcdab2aabeb591ce1bde62d124b875b11bedf45
nus	physical_interval	[0x004BE6F0,0x004BEA04)
nus	physical_bytes	788
nus	physical_sha256	98a1c7a2a8221cf680e6f6ee6dede0d8235e95e224d37a873b9f95902a952707
nus	owned_noncode_bytes	84
nus	direct_bl_entry_sites	6
nus	direct_bl_entry_digest	4bd1b2d7bc50c0115ac8979311b3576dfb19e2db52aab6f11bc49e401a85ddd4
nus	direct_body_call_sites	43
nus	direct_body_call_digest	c565a326bed282ddc25a07aaea8f366fb833268fd1bafdb0493dd6baac913107
nus	stored_entry_pointers	1
nus	stored_entry_pointer_digest	c13be2f5c904fe93178192e9f5a07f4ada09987f45616bd18af1cbe63fa20fde
nus	direct_bl_strict_interior_targets	0
nus	upstream_component	none; G2-local Cordio adapter
nus	historical_g2_generating_commit	null
nus	production_routed	true
nus	source_functions	6
nus	compiled_text_bytes	296
nus	alignment_bytes	2
nus	strict_relocations	11
nus	stock_replaced_bytes	704
nus	retained_literal_pool_bytes	84
nus	software_functional_gap	false
nus	hardware_validation	deferred by project direction
nus	hardware_evidence_required	authorized responsive G2/EM9305 peer
