kind	name	start	end	size	sha256	status	provider	license_or_authority	notes
function	mspi_cq_init	0x00423f28	0x00423f54	44	8e2e5409620c3c1b334d8c3ede2ea19b20a31471e40a0c8b0c88f6550a7e9b05	exact_upstream_identity_and_production_owned	AmbiqSuite 5.1.0 identity plus openCFW clean-room exact target source	BSD-3-Clause upstream; GPL-3.0-or-later production source	exact upstream fragment; production source emits the stock 44 bytes with one retained-provider relocation
literal	mspi_state_base	0x00424aec	0x00424af0	4	9b725a263fa8efdc9db13e5ad62b70166e989bcf42cb6020b325e954d34983eb	exact_first_party_state_pointer	g_MSPIState at 0x2001caa0	fact-only address; official literal redistribution unresolved	state stride 0x8d0 and command-queue handle offset 0x828
provider	am_hal_cmdq_init	0x00427794	0x00427878	228	ad7e3d6257b791855a8cd7fe90389313dfb9496262724777900d6a4193c09b52	exact_upstream_identity_toolchain_unresolved	AmbiqSuite 5.1.0 am_hal_cmdq_init	BSD-3-Clause source redistributable; official retained bytes unresolved	provider ABI has uint8 command-queue interface, config pointer, and handle-slot pointer
literal	cmdq_state_and_register_table_pointers	0x00427c80	0x00427c88	8	3eacd36ef95e51396f22c8e40064f3edaf94b8a8c1796b757cca3c8ef34e7aca	exact_provider_literals	gAmHalCmdq 0x200262f0 and gAmHalCmdQReg 0x00430880	fact-only addresses; official literal redistribution unresolved	callee terminates at attributable state and register-table providers
data	cmdq_register_table	0x00430880	0x00430a60	480	1ed1fa3682f9c16c403ee0e6cee7761b70ca610656a2b6e56de3f0b05cee7fea	exact_upstream_identity	AmbiqSuite 5.1.0 gAmHalCmdQReg	BSD-3-Clause source redistributable; official table bytes unresolved	12 entries of 40 bytes for IOM0..7 and MSPI0..3
toolchain	apple_clang_default_enum	-	-	40	eab31502d7ca042cdbb3c646be9426b8ce2108b0381a7a2bdaa872e8257012ae	semantic_only_not_exact	unmodified mspi_cq_init with default enum ABI	BSD-3-Clause	call relocation 0x1e and state relocation 0x24
toolchain	homebrew_clang_default_enum	-	-	40	eab31502d7ca042cdbb3c646be9426b8ce2108b0381a7a2bdaa872e8257012ae	semantic_only_not_exact	unmodified mspi_cq_init with default enum ABI	BSD-3-Clause	call relocation 0x1e and state relocation 0x24
toolchain	apple_clang_short_enum	-	-	44	747f4344fbd039cf5f0fa93e55c3748000925237f7410304164b2eb3c491c413	semantic_only_not_exact	unmodified mspi_cq_init with -fshort-enums	BSD-3-Clause	matches stock uint8 enum ABI and size but not instructions or literal placement
toolchain	homebrew_clang_short_enum	-	-	44	747f4344fbd039cf5f0fa93e55c3748000925237f7410304164b2eb3c491c413	semantic_only_not_exact	unmodified mspi_cq_init with -fshort-enums	BSD-3-Clause	matches stock uint8 enum ABI and size but not instructions or literal placement
frontier	next_sequential_entry	0x00423f54	0x00423f8e	58	07a7e8e54305fbecb7f891cd4e843881b73a33186ba1750b147e0647d0041807	exact_upstream_identity_unreviewed_toolchain	AmbiqSuite 5.1.0 mspi_cq_term	BSD-3-Clause source available; exact toolchain and retained provider admission unresolved	exact successor source fragment calls am_hal_cmdq_term at 0x00427ad6
