kind	name	start	end	size	sha256	disposition	provider	license_status	evidence
source_function	mspi_interrupt_service_426536	0x00426536	0x004267fe	712	baf487db99da530690cd9100a3f10947ce5bbbca07dfc93cd76ff57bc87ad313	source_owned_production	AmbiqSuite 5.1.0 am_hal_mspi_interrupt_service	BSD-3-Clause	same 712-byte function and 692 identical bytes in independent Apollo-main link
literal_pool	mspi_interrupt_service_pool_4267fe	0x004267fe	0x00426808	10	f0ef1fedd08c40bdcdbac2afa7a8df77f7a1b6cebf3ccbe24145340afa295b16	retained_typed_data	AmbiqSuite/IAR linked literal pool	upstream data provenance; binary redistribution unresolved	10-byte non-executable constants and alignment
source_function	mspi_power_control_426808	0x00426808	0x00426bfe	1014	80479d7c73fd0238da60b347069e233490562e35122272a235c35827f1e9084a	source_owned_production	AmbiqSuite 5.1.0 am_hal_mspi_power_control	BSD-3-Clause	same 1014-byte function and 985 identical bytes in independent Apollo-main link
literal_pool	mspi_power_control_pool_426bfe	0x00426bfe	0x00426c10	18	6d01aee7b0ea94693ad3e39e729d72dbdcf694fa0bb121442d026ca719b3d5c4	retained_typed_data	AmbiqSuite/IAR linked literal pool	upstream data provenance; binary redistribution unresolved	18-byte non-executable constants and alignment
function_body	post_mspi_function_00426c10	0x00426c10	0x00426c24	20	699cea6088391ec115e8c2476c233c26a51856cf94966dc26c00903d4d1ac5eb	typed_unresolved_executable	bootloader executable; provider pending	redistribution authority unresolved	conservative recovered Thumb function body
function_body	post_mspi_function_00426c24	0x00426c24	0x00426c4e	42	5d56a93dc2746c295ee2b3507ab4e1be4dae68f057dff4f26b519616bfd486df	cross_image_exact_source_candidate	shared Apollo library body; source family pending	candidate only; attribution/license pending	exact complete-body Apollo-main match at 0x004d38ea
function_body	post_mspi_function_00426c4e	0x00426c4e	0x00426c58	10	15eabeb671434c5c1f485fd4600130400e24f0e1ce62364e4b684e1b6e17bfdf	cross_image_exact_source_candidate	shared Apollo library body; source family pending	candidate only; attribution/license pending	exact complete-body Apollo-main match at 0x004d3914
function_body	post_mspi_function_00426c58	0x00426c58	0x00426c72	26	92fca357b06260aa313efd81bb3c38360a6730eab3b08ae30034113f558e4036	typed_unresolved_executable	bootloader executable; provider pending	redistribution authority unresolved	conservative recovered Thumb function body
function_body	post_mspi_function_00426c72	0x00426c72	0x00426c7e	12	2d973a6679b7557ee0db61ece3b5e87083256d7f60d653509001616459a23d5f	typed_unresolved_executable	bootloader executable; provider pending	redistribution authority unresolved	conservative recovered Thumb function body
function_body	post_mspi_function_00426c7e	0x00426c7e	0x00426c8c	14	f71be3e40ad49d191903a723ecf4416161e4f3be2aac50d1ee559eb19b73579e	typed_unresolved_executable	bootloader executable; provider pending	redistribution authority unresolved	conservative recovered Thumb function body
function_body	post_mspi_function_00426c8c	0x00426c8c	0x00426ccc	64	d5d433be0f71af7fbc03305660d1bc32acda58b54d51bbbdde573bdc2437c041	typed_unresolved_executable	bootloader executable; provider pending	redistribution authority unresolved	conservative recovered Thumb function body
function_body	post_mspi_function_00426ccc	0x00426ccc	0x00426d1e	82	c9ec02c292145c709613ed59045b804cbe0e697d86c83ed579bd2e3075a49b62	typed_unresolved_executable	bootloader executable; provider pending	redistribution authority unresolved	conservative recovered Thumb function body
function_body	post_mspi_function_00426d1e	0x00426d1e	0x00426d2c	14	b6e29296fa925d2ee116e96d5fa22e60265cdccedfe9072766a7adf69042a70e	typed_unresolved_executable	bootloader executable; provider pending	redistribution authority unresolved	conservative recovered Thumb function body
mixed_gap	post_mspi_gap_00426d2c	0x00426d2c	0x00426d48	28	30f0e66dd252b9acdfb5b00d677bb6ea54ea2252753fa16db8f7e5b5d6de2624	typed_nonentry_mixed_or_data	linked literal/table/string/alignment or undiscovered code	redistribution authority unresolved	no recovered function entry in this exact interval; not claimed as source
function_body	post_mspi_function_00426d48	0x00426d48	0x00426db2	106	f6d214ecce42adb7ca36928d8d457c2d6c18af45c10cc68da953d3252290eeed	typed_unresolved_executable	bootloader executable; provider pending	redistribution authority unresolved	conservative recovered Thumb function body
mixed_gap	post_mspi_gap_00426db2	0x00426db2	0x00426db4	2	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	typed_nonentry_mixed_or_data	linked literal/table/string/alignment or undiscovered code	redistribution authority unresolved	no recovered function entry in this exact interval; not claimed as source
function_body	post_mspi_function_00426db4	0x00426db4	0x00426eac	248	4082869f6c1884fe571d7d8335b2fc32ee6326cfb02b78d01f07c1da5bacc3dd	typed_unresolved_executable	bootloader executable; provider pending	redistribution authority unresolved	conservative recovered Thumb function body
function_body	post_mspi_function_00426eac	0x00426eac	0x00426f6a	190	d289cc7f7ccd0c61ba49a4bf7c176573ceebe7d8725720ac00459716c6852cad	typed_unresolved_executable	bootloader executable; provider pending	redistribution authority unresolved	conservative recovered Thumb function body
mixed_gap	post_mspi_gap_00426f6a	0x00426f6a	0x00426f6c	2	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	typed_nonentry_mixed_or_data	linked literal/table/string/alignment or undiscovered code	redistribution authority unresolved	no recovered function entry in this exact interval; not claimed as source
function_body	post_mspi_function_00426f6c	0x00426f6c	0x00427032	198	fabedc0c5c95c2523e6f867830085f0eb2c20e3f5798998b0e4aaa82bd57615d	cross_image_exact_source_candidate	shared Apollo library body; source family pending	candidate only; attribution/license pending	exact complete-body Apollo-main match at 0x005395a0
mixed_gap	post_mspi_gap_00427032	0x00427032	0x00427040	14	94542922bcc73242bc10178a2790c3d10c998df2f5b6a9c93d840957f402f3f4	typed_nonentry_mixed_or_data	linked literal/table/string/alignment or undiscovered code	redistribution authority unresolved	no recovered function entry in this exact interval; not claimed as source
function_body	post_mspi_function_00427040	0x00427040	0x0042714c	268	7fc066eeef20eeb8b3bf91c3746fdeac37b6eaabc66d004de1757ad005436422	typed_unresolved_executable	bootloader executable; provider pending	redistribution authority unresolved	conservative recovered Thumb function body
