metric	value
retained_path	app\gui\anim\bounce_anim.c
retained_product_path	D:\01_workspace\s200_ap510b_iar_git\app\gui\anim\bounce_anim.c
disposition	linked-unanchored
recovery_method	corpus-gap Thumb block recovery; path literal-reference membership; whole-image ingress scans
linked_functions	7
ghidra_discovered_functions	0
path_anchored_functions	0
raw_path_referencing_functions	4
body_bytes	1114
body_concat_sha256	4fdc23ee6169ac4b3d70a13e07a3e581366d75456ae16536dc0ad7018b6106da
physical_interval	[0x0058A3FC,0x0058A8E0)
physical_bytes	1252
physical_sha256	3ac4d3b625dbbee0518aad6fa5fcb5b3b100d0af714f97c825b0013aa38fc956
outer_pool_bytes	138
outer_pool_sha256	cf066894351fe6eba85895079ac087ecb0668cc925774f9c1ccda50858dd8bb7
reachable_instructions	451
reachable_instruction_digest	3ce14752cadd1f2ecf7163b20108b3576d8a24de78d8ad3d4aeeb63504de5849
direct_body_calls	67
direct_body_call_digest	166a699257e35947966b9a2685181f7c7c7ec61b4cacc5583a6eb8f2130cb70b
internal_direct_body_calls	1
indirect_body_calls	1
indirect_body_call_digest	aec4133a223e20b2c087b8e82a631988ce4e5176e4d6c1b6055eb8277219b3a2
function_escapes	0
function_escape_digest	-
direct_bl_entry_sites	7
direct_bl_entry_digest	3ddd35c5101bebf4a6c0f9fc5f99c38e84bf382dda9f86c668a8039d72896221
direct_bl_strict_interior_sites	0
direct_bl_strict_interior_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_bw_entry_sites	0
direct_bw_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_b16_entry_sites	0
direct_b16_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stored_entry_pointer_words	2
stored_entry_pointer_digest	e0edc3d41e161772e09e43bee20e1c0744cbb68f00d9a81564ec23c2b60500a4
path_string_run_address	0x007097A4
retained_path_pointer_cells	0x0058A860
path_literal_references	11
path_literal_reference_digest	6e209f2d202d9cb3db6da4ae08668fe8f6a1d07760e322477bd2177d315802c4
boundary_before_16_sha256	b2ab59fe6314162b3d2a60d51a4c9d68197c8010f4a8c8b58e57146c58c7482a
boundary_after_16_sha256	59e4e8b251be1766cee0f8d48d9a2065c789d0bc02594e9107b1c53dd96ac05c
tag_strings	11
tag_string_digest	ce711ba80e5fd05f76426001c51a537c3c86c0129eada1ee106466620368196e
path_cell_outside_physical_interval	false
production_routed	false
source_inventory	unavailable; zero-anchor census complete but source-only function count unknown
