string_vaddr	referencing_functions
0x08000110	
0x08000c6f	
0x08000c7b	
0x08000c93	
0x08000c9c	
0x08000cb0	
0x08000cb8	
0x08000cc4	
0x08000ccc	
0x08000cf8	
0x08000d07	
0x08000d28	0x08000928
0x08000d4b	
0x08000d60	0x08000928
0x08000d7f	
0x08000db8	0x08000928
0x08000dd0	
0x08000dd8	0x08000928
0x08000df0	0x08000928
0x08000e0f	
0x08000fd2	
0x08001172	
0x0800118f	
0x080011d4	0x08000e1c
0x080011fc	0x08000e1c
0x08001204	0x08000e1c
0x0800120c	0x08000e1c
0x08001224	0x08000e1c
0x0800123c	0x08000e1c
0x08001254	0x08000e1c
0x08001270	0x08000e1c
0x0800128c	0x08000e1c
0x080012a0	0x08000e1c
0x080012b8	0x08000e1c
0x0800131b	
0x0800137b	
0x080013f3	
0x0800140a	
0x08001517	
0x0800153c	0x08001408
0x0800158b	
0x08001777	
0x080017a0	0x08001574
0x080017bc	0x08001574
0x080017db	
0x08001800	0x08001574
0x0800181c	0x08001574
0x08001838	0x08001574
0x0800184c	0x08001574
0x08001868	0x08001574
0x08001884	0x08001574
0x080018b0	0x08001574
0x08001992	
0x08001adb	
0x08001b0c	0x080018e4
0x08001b38	0x080018e4
0x08001b6c	0x080018e4
0x08001b98	0x080018e4
0x08001bd4	0x080018e4
0x08001bf8	0x080018e4
0x08001d13	
0x08001d40	0x08001c1c
0x08001e1f	
0x08001e5b	
0x08001e78	0x08001d68
0x08002186	
0x08002234	
0x0800225b	
0x0800227c	0x08001e94
0x080022bf	
0x080022eb	
0x08002320	0x08001e94
0x08002354	0x08001e94
0x08002378	0x08001e94
0x0800239c	0x08001e94
0x080023bc	0x08001e94
0x08002467	
0x08002494	0x080023f4
0x08002533	
0x08002560	0x080024c0
0x080026c7	
0x080026e0	0x0800258c
0x08002700	0x0800258c
0x08002720	0x0800258c
0x08002837	
0x08002860	0x08002744
0x08002b03	
0x08002c0f	
0x08002d1b	
0x08002dc7	
0x08002ebc	0x08002e04
0x08003347	
0x08003350	0x08002fc8
0x0800337f	
0x080033b4	0x08002fc8
0x080033cc	0x08002fc8
0x080033e8	0x08002fc8
0x08003400	0x08002fc8
0x08003437	
0x08003450	0x08002fc8
0x08003464	0x08002fc8
0x0800347f	
0x080034a0	0x08002fc8
0x080034d4	0x08002fc8
0x080034ec	0x08002fc8
0x08003520	0x08002fc8
0x0800353c	0x08002fc8
0x0800359f	
0x0800370c	0x08003664
0x08003724	0x08003664
0x08003818	0x0800373c
0x08003834	0x0800373c
0x08003963	
0x08003990	0x080038e0
0x080039b8	0x080038e0
0x08003b37	
0x08003b54	0x08003a84
0x08003b70	0x08003a84
0x08003c1b	
0x08003ceb	
0x08003d07	
0x08003e33	
0x08003e53	
0x08003e74	0x08003d24
0x080040f8	0x08004330
0x08004641	
0x080046d5	
0x080047e8	0x080047d4
0x08004a7d	
0x08004aa1	
0x08004b00	
0x08004b59	
0x08004c9b	
0x08004db7	
0x08004e2f	
0x08004e41	
