metric	value
retained_path	platform\device_mgr\box_uart_mgr.c
retained_product_path	D:\01_workspace\s200_ap510b_iar_git\platform\device_mgr\box_uart_mgr.c
disposition	linked-unanchored
recovery_method	corpus-gap Thumb block recovery; path literal-reference membership; whole-image ingress scans
linked_functions	5
ghidra_discovered_functions	0
path_anchored_functions	0
raw_path_referencing_functions	2
body_bytes	1298
body_concat_sha256	08fc6828806a6830c6542c27e7349505643a6c3d61d40f31f0c6cc1321b7832d
physical_interval	[0x00539E92,0x0053A414)
physical_bytes	1410
physical_sha256	6e1ba9470189a6da0abe61010fc201a96f846d2933336a59f74227a83d55d7a3
outer_pool_bytes	112
outer_pool_sha256	b3c5f4efa6adef47bed35d84667ee452239a75e2c37ad0741721a7eb89433a6b
reachable_instructions	502
reachable_instruction_digest	bb062c5f970b49a3ee1a6e8c5d617a79a550903081e2d02a9d758c9977e643b0
direct_body_calls	75
direct_body_call_digest	6405f5be1f8f2eac027b6790e5ac9cb3e2b8f70e1fe26149b215ed1d4ff87e42
internal_direct_body_calls	1
indirect_body_calls	0
indirect_body_call_digest	-
function_escapes	0
function_escape_digest	-
direct_bl_entry_sites	2
direct_bl_entry_digest	41a8623059a76ea861f76455666586c61e6fe66452d0cf579c218bdd98d27920
direct_bl_strict_interior_sites	3
direct_bl_strict_interior_digest	67a8ce963d9579c5218ca81e9e38dbc1b7d458f39247f0d27df2adbaf4c570b2
direct_bw_entry_sites	0
direct_bw_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_b16_entry_sites	0
direct_b16_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stored_entry_pointer_words	2
stored_entry_pointer_digest	e090c206bc447de2299ad168fc2aa9f7173a68d86465f3f2c32637746dc1fad4
path_string_run_address	0x006F890C
retained_path_pointer_cells	0x0053A3AC
path_literal_references	11
path_literal_reference_digest	c9370edecb923e3c89d6fc10b5979f1cd4e9e03155ea02bcab875190edfc3a0f
boundary_before_16_sha256	0cd1f72ddf9ec8f332e3c7568687371e5ad77107efb0b3c50001834452cd8df1
boundary_after_16_sha256	228adbf7d252de6592988f87b5bfebde50f62cf4a046165238a8bcbf185f6522
tag_strings	10
tag_string_digest	57d8cef1dbf0796cbb0a25d0bf689598f44f04430cde49d9d29eed46183cc583
path_cell_outside_physical_interval	false
production_routed	false
source_inventory	unavailable; zero-anchor census complete but source-only function count unknown
